kind,snr,metric,n,undefined,mean,sd,max
bandpass,20,covariance_relative_frobenius,2158,0,6.364588651737152e-09,8.883209103758139e-10,1.031086238994213e-08
bandpass,20,correlation_mae,2158,0,1.5343560856112053e-09,1.7898725625257442e-10,2.181066922706798e-09
bandpass,20,correlation_undefined_cells,2158,0,0.0,0.0,0.0
bandpass,20,variance_relative_error_max,2158,0,1.07282153537645e-08,2.734531526993305e-09,2.3068323741642738e-08
bandpass,20,variance_zero_denominators,2158,0,0.0,0.0,0.0
bandpass,20,actual_snr_abs_difference_db,2158,0,5.6714481859684705e-09,4.232757437231311e-09,2.8491729864299487e-08
bandpass,20,I_welch_total_reference_mv2,2158,0,0.0006900987946848274,0.0009054757094894264,0.02202190178185431
bandpass,20,I_welch_relative_l1,2158,0,0.45969515596948024,0.04183487518901726,0.6260181106923344
bandpass,20,I_requested_reference_mv2,2158,0,0.0006847219540513555,0.000898234375984544,0.021840747321799303
bandpass,20,I_requested_abs_error_mv2,2158,0,2.4006519964127734e-05,4.323642973828168e-05,0.0009299796002765655
bandpass,20,I_requested_relative_band_error,2158,0,0.03458564487496426,0.026218158058222786,0.16684144287073815
bandpass,20,I_requested_relative_total_error,2158,0,0.03431739535010091,0.026015607289150654,0.16509549982907057
bandpass,20,I_baseline_0_0.5_reference_mv2,2158,0,2.9036870130065133e-06,4.367650703234646e-06,8.390080312107044e-05
bandpass,20,I_baseline_0_0.5_abs_error_mv2,2158,0,1.7028905372445042e-06,2.9323579088997623e-06,7.343956363451414e-05
bandpass,20,I_baseline_0_0.5_relative_band_error,2158,0,0.8052135321769543,1.2100944723209803,24.204700373659033
bandpass,20,I_baseline_0_0.5_relative_total_error,2158,0,0.002566907977888659,0.0022809320985013224,0.017085499585905526
bandpass,20,I_ecg_0.5_40_reference_mv2,2158,0,0.0006847219540513555,0.000898234375984544,0.021840747321799303
bandpass,20,I_ecg_0.5_40_abs_error_mv2,2158,0,2.4006519964127734e-05,4.323642973828168e-05,0.0009299796002765655
bandpass,20,I_ecg_0.5_40_relative_band_error,2158,0,0.03458564487496426,0.026218158058222786,0.16684144287073815
bandpass,20,I_ecg_0.5_40_relative_total_error,2158,0,0.03431739535010091,0.026015607289150654,0.16509549982907057
bandpass,20,I_high_40_nyquist_reference_mv2,2158,0,2.4731536204648205e-06,3.915257957771214e-06,9.725365693393528e-05
bandpass,20,I_high_40_nyquist_abs_error_mv2,2158,0,1.31507556920738e-06,2.2068947981450095e-06,3.9536512406551145e-05
bandpass,20,I_high_40_nyquist_relative_band_error,2158,0,0.68354685816641,0.8778612356705239,9.37765790458366
bandpass,20,I_high_40_nyquist_relative_total_error,2158,0,0.0019374100608738477,0.0016695291175155818,0.011995795642118128
bandpass,20,II_welch_total_reference_mv2,2158,0,0.0006916663732163198,0.0009204989898520646,0.02271295635080696
bandpass,20,II_welch_relative_l1,2158,0,0.4592229423692874,0.04120809589428716,0.6083138879708084
bandpass,20,II_requested_reference_mv2,2158,0,0.0006863096425238301,0.0009128190341618183,0.022485757579037185
bandpass,20,II_requested_abs_error_mv2,2158,0,2.3773792714702885e-05,4.095950134246351e-05,0.0006598373383911692
bandpass,20,II_requested_relative_band_error,2158,0,0.0342600604140417,0.026168386330960865,0.1574913113792732
bandpass,20,II_requested_relative_total_error,2158,0,0.03399121213381166,0.02595534040894084,0.15679132776231972
bandpass,20,II_baseline_0_0.5_reference_mv2,2158,0,2.984669967676343e-06,4.880184706401432e-06,0.00010897860189099338
bandpass,20,II_baseline_0_0.5_abs_error_mv2,2158,0,1.7316499302359166e-06,2.968061087172277e-06,6.460924672654607e-05
bandpass,20,II_baseline_0_0.5_relative_band_error,2158,0,0.7607077018727864,1.003335328688032,11.016284114792015
bandpass,20,II_baseline_0_0.5_relative_total_error,2158,0,0.00254102869946095,0.0021912021124216334,0.0161912558119021
