model,kind,snr,condition,active,metric,outcome,n_noise_replays,n_fixed_training_seeds,mean,std,uncertainty
resnet,bandpass,0,covariance,all,ap_CD,absolute,5,3,0.6977675237099497,0.004528068100888646,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,covariance,all,ap_CD,clean_drop,5,3,0.108821358925465,0.0045280681008886174,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,covariance,all,ap_CD,normalized_robustness,5,3,0.8651988823154986,0.0056097909228459576,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,covariance,all,ap_HYP,absolute,5,3,0.5429799579388623,0.00135737184661074,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,covariance,all,ap_HYP,clean_drop,5,3,0.09862198304246214,0.001357371846610729,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,covariance,all,ap_HYP,normalized_robustness,5,3,0.8466582170303092,0.002272921199346051,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,covariance,all,ap_MI,absolute,5,3,0.539135144305321,0.005522618309286316,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,covariance,all,ap_MI,clean_drop,5,3,0.22397490455970753,0.005522618309286297,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,covariance,all,ap_MI,normalized_robustness,5,3,0.7055541538295191,0.0071747511153053434,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,covariance,all,ap_NORM,absolute,5,3,0.7959706230890364,0.003971099915048633,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,covariance,all,ap_NORM,clean_drop,5,3,0.11108959860861016,0.003971099915048633,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,covariance,all,ap_NORM,normalized_robustness,5,3,0.8774365515127538,0.004416841122304969,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,covariance,all,ap_STTC,absolute,5,3,0.597819912842614,0.0069334521420179466,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,covariance,all,ap_STTC,clean_drop,5,3,0.21416369906963756,0.006933452142017936,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,covariance,all,ap_STTC,normalized_robustness,5,3,0.7358893698652387,0.008512606071974583,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,covariance,all,auroc_CD,absolute,5,3,0.8287637239108212,0.0018563134430475187,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,covariance,all,auroc_CD,clean_drop,5,3,0.06948524416754004,0.0018563134430474493,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,covariance,all,auroc_CD,normalized_robustness,5,3,0.9227050394003184,0.0020587286198465475,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,covariance,all,auroc_HYP,absolute,5,3,0.8471037190925585,0.001920386229170356,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,covariance,all,auroc_HYP,clean_drop,5,3,0.04574556317840696,0.0019203862291703748,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,covariance,all,auroc_HYP,normalized_robustness,5,3,0.9487775548750236,0.002152591198015179,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,covariance,all,auroc_MI,absolute,5,3,0.7364387532036785,0.0033175177197367297,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,covariance,all,auroc_MI,clean_drop,5,3,0.15397584049449728,0.0033175177197367774,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,covariance,all,auroc_MI,normalized_robustness,5,3,0.826888166918722,0.0037472410925874864,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,covariance,all,auroc_NORM,absolute,5,3,0.8494631345849426,0.0015745535737691342,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,covariance,all,auroc_NORM,clean_drop,5,3,0.0841103246914062,0.0015745535737690742,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,covariance,all,auroc_NORM,normalized_robustness,5,3,0.909881150030482,0.0016893454124901107,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,covariance,all,auroc_STTC,absolute,5,3,0.8056935916120768,0.0031963725760905627,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,covariance,all,auroc_STTC,clean_drop,5,3,0.11839354717425057,0.003196372576090561,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,covariance,all,auroc_STTC,normalized_robustness,5,3,0.8717992639485136,0.0034581652612396293,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,covariance,all,brier,absolute,5,3,0.17753233611583707,0.00035331901531686426,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,covariance,all,clean_agreement,absolute,5,3,0.7260549891875193,0.0005835387805062283,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,covariance,all,ece,absolute,5,3,0.15851732109826094,0.000529534385468501,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,covariance,all,f1_CD,absolute,5,3,0.584225934980492,0.003112097185913543,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,covariance,all,f1_CD,clean_drop,5,3,0.12467716859434785,0.0031120971859135474,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,covariance,all,f1_CD,normalized_robustness,5,3,0.823980120034113,0.004382553289168013,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,covariance,all,f1_HYP,absolute,5,3,0.5017873131730265,0.00790996450153523,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,covariance,all,f1_HYP,clean_drop,5,3,0.09977189397709284,0.007909964501535202,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,covariance,all,f1_HYP,normalized_robustness,5,3,0.8346202985318897,0.013289944554688876,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,covariance,all,f1_MI,absolute,5,3,0.4602723137901008,0.003964006824664042,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,covariance,all,f1_MI,clean_drop,5,3,0.22455666866565416,0.003964006824664023,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,covariance,all,f1_MI,normalized_robustness,5,3,0.6722330313011099,0.005831646949759472,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,covariance,all,f1_NORM,absolute,5,3,0.34440833440352303,0.007127276868962911,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,covariance,all,f1_NORM,clean_drop,5,3,0.5024244119988073,0.00712727686896291,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,covariance,all,f1_NORM,normalized_robustness,5,3,0.40684673788709463,0.008418232871653965,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,covariance,all,f1_STTC,absolute,5,3,0.5231476103076755,0.00594427537127195,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,covariance,all,f1_STTC,clean_drop,5,3,0.22340750273812934,0.005944275371271959,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,covariance,all,f1_STTC,normalized_robustness,5,3,0.7011186699400176,0.007851280809169357,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,covariance,all,macro_ap,absolute,5,3,0.6347346323771567,0.0020385820871707252,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,covariance,all,macro_ap,clean_drop,5,3,0.1513343088411765,0.0020385820871707083,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,covariance,all,macro_ap,normalized_robustness,5,3,0.8074233906564956,0.0025869382698324875,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,covariance,all,macro_auroc,absolute,5,3,0.8134925844808156,0.0011782839661811798,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,covariance,all,macro_auroc,clean_drop,5,3,0.0943421039412202,0.0011782839661812368,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,covariance,all,macro_auroc,normalized_robustness,5,3,0.8960679081550854,0.001298170018954172,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,covariance,all,macro_f1,absolute,5,3,0.48276830133096355,0.002561180292766493,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,covariance,all,macro_f1,clean_drop,5,3,0.2349675291948063,0.002561180292766469,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,covariance,all,macro_f1,normalized_robustness,5,3,0.6725985794344351,0.0035587114319420546,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,covariance,all,mean_confidence,absolute,5,3,0.7802059292793275,0.00048365643802338336,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,covariance,all,mean_entropy,absolute,5,3,0.4638714783920417,0.0004700813995342472,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,covariance,all,mean_loss,absolute,5,3,0.5296209510200289,0.0011726417453765624,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,covariance,all,micro_ap,absolute,5,3,0.5097429061411868,0.0019096049307333802,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,covariance,all,micro_auroc,absolute,5,3,0.7335114416736944,0.001025007522851045,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,covariance,all,micro_f1,absolute,5,3,0.4794234875021677,0.002239359362055773,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,covariance,all,probability_shift,absolute,5,3,0.21997235020001726,0.0002799958001634235,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,electrode,all,ap_CD,absolute,5,3,0.7030283128908674,0.005145466173283236,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,electrode,all,ap_CD,clean_drop,5,3,0.1035605697445473,0.0051454661732832025,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,electrode,all,ap_CD,normalized_robustness,5,3,0.8717066943336684,0.006382349799128607,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,electrode,all,ap_HYP,absolute,5,3,0.5465430624169618,0.004526947086842118,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,electrode,all,ap_HYP,clean_drop,5,3,0.09505887856436261,0.004526947086842099,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,electrode,all,ap_HYP,normalized_robustness,5,3,0.8522708170314608,0.007087344385029082,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,electrode,all,ap_MI,absolute,5,3,0.5395579674588002,0.005582084250844482,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,electrode,all,ap_MI,clean_drop,5,3,0.2235520814062281,0.0055820842508444634,descriptive_noise_replay_sd_after_training_seed_average_no_CI
resnet,bandpass,0,electrode,all,ap_MI,normalized_robustness,5,3,0.7060978021109227,0.00735970756697904,descriptive_noise_replay_sd_after_training_seed_average_no_CI
