model,kind,snr,condition,active,metric,outcome,noise_seed,n_training_seeds,mean_over_training_seeds
resnet,bandpass,0,covariance,all,ap_CD,absolute,101,3,0.6922685241182935
resnet,bandpass,0,covariance,all,ap_CD,absolute,202,3,0.6955708800890822
resnet,bandpass,0,covariance,all,ap_CD,absolute,303,3,0.7045895478834153
resnet,bandpass,0,covariance,all,ap_CD,absolute,404,3,0.698322113242548
resnet,bandpass,0,covariance,all,ap_CD,absolute,505,3,0.6980865532164091
resnet,bandpass,0,covariance,all,ap_CD,clean_drop,101,3,0.11432035851712112
resnet,bandpass,0,covariance,all,ap_CD,clean_drop,202,3,0.11101800254633243
resnet,bandpass,0,covariance,all,ap_CD,clean_drop,303,3,0.1019993347519994
resnet,bandpass,0,covariance,all,ap_CD,clean_drop,404,3,0.10826676939286654
resnet,bandpass,0,covariance,all,ap_CD,clean_drop,505,3,0.10850232941900555
resnet,bandpass,0,covariance,all,ap_CD,normalized_robustness,101,3,0.8583927862102043
resnet,bandpass,0,covariance,all,ap_CD,normalized_robustness,202,3,0.8625100996460792
resnet,bandpass,0,covariance,all,ap_CD,normalized_robustness,303,3,0.8736693886849017
resnet,bandpass,0,covariance,all,ap_CD,normalized_robustness,404,3,0.8658728906239176
resnet,bandpass,0,covariance,all,ap_CD,normalized_robustness,505,3,0.8655492464123897
resnet,bandpass,0,covariance,all,ap_HYP,absolute,101,3,0.5426130708541699
resnet,bandpass,0,covariance,all,ap_HYP,absolute,202,3,0.5420756144507514
resnet,bandpass,0,covariance,all,ap_HYP,absolute,303,3,0.5421777938657416
resnet,bandpass,0,covariance,all,ap_HYP,absolute,404,3,0.542670468023101
resnet,bandpass,0,covariance,all,ap_HYP,absolute,505,3,0.5453628425005479
resnet,bandpass,0,covariance,all,ap_HYP,clean_drop,101,3,0.09898887012715467
resnet,bandpass,0,covariance,all,ap_HYP,clean_drop,202,3,0.09952632653057307
resnet,bandpass,0,covariance,all,ap_HYP,clean_drop,303,3,0.0994241471155829
resnet,bandpass,0,covariance,all,ap_HYP,clean_drop,404,3,0.09893147295822342
resnet,bandpass,0,covariance,all,ap_HYP,clean_drop,505,3,0.09623909848077661
resnet,bandpass,0,covariance,all,ap_HYP,normalized_robustness,101,3,0.8458228316693909
resnet,bandpass,0,covariance,all,ap_HYP,normalized_robustness,202,3,0.8452406789389143
resnet,bandpass,0,covariance,all,ap_HYP,normalized_robustness,303,3,0.8455039262931225
resnet,bandpass,0,covariance,all,ap_HYP,normalized_robustness,404,3,0.8460358341423383
resnet,bandpass,0,covariance,all,ap_HYP,normalized_robustness,505,3,0.8506878141077799
resnet,bandpass,0,covariance,all,ap_MI,absolute,101,3,0.5327394116692566
resnet,bandpass,0,covariance,all,ap_MI,absolute,202,3,0.5389822338355795
resnet,bandpass,0,covariance,all,ap_MI,absolute,303,3,0.5367019086060294
resnet,bandpass,0,covariance,all,ap_MI,absolute,404,3,0.539454107857421
resnet,bandpass,0,covariance,all,ap_MI,absolute,505,3,0.547798059558318
resnet,bandpass,0,covariance,all,ap_MI,clean_drop,101,3,0.23037063719577175
resnet,bandpass,0,covariance,all,ap_MI,clean_drop,202,3,0.22412781502944892
resnet,bandpass,0,covariance,all,ap_MI,clean_drop,303,3,0.22640814025899902
resnet,bandpass,0,covariance,all,ap_MI,clean_drop,404,3,0.22365594100760747
resnet,bandpass,0,covariance,all,ap_MI,clean_drop,505,3,0.2153119893067105
resnet,bandpass,0,covariance,all,ap_MI,normalized_robustness,101,3,0.6971122293723565
resnet,bandpass,0,covariance,all,ap_MI,normalized_robustness,202,3,0.7052451287911198
resnet,bandpass,0,covariance,all,ap_MI,normalized_robustness,303,3,0.7024996229202433
resnet,bandpass,0,covariance,all,ap_MI,normalized_robustness,404,3,0.7061875588565449
resnet,bandpass,0,covariance,all,ap_MI,normalized_robustness,505,3,0.7167262292073314
resnet,bandpass,0,covariance,all,ap_NORM,absolute,101,3,0.7909949257307711
resnet,bandpass,0,covariance,all,ap_NORM,absolute,202,3,0.7977389505367997
resnet,bandpass,0,covariance,all,ap_NORM,absolute,303,3,0.8015485199475658
resnet,bandpass,0,covariance,all,ap_NORM,absolute,404,3,0.7955826549202832
resnet,bandpass,0,covariance,all,ap_NORM,absolute,505,3,0.793988064309762
resnet,bandpass,0,covariance,all,ap_NORM,clean_drop,101,3,0.11606529596687536
resnet,bandpass,0,covariance,all,ap_NORM,clean_drop,202,3,0.10932127116084685
resnet,bandpass,0,covariance,all,ap_NORM,clean_drop,303,3,0.10551170175008069
resnet,bandpass,0,covariance,all,ap_NORM,clean_drop,404,3,0.11147756677736338
resnet,bandpass,0,covariance,all,ap_NORM,clean_drop,505,3,0.11307215738788456
resnet,bandpass,0,covariance,all,ap_NORM,normalized_robustness,101,3,0.8718962650541
resnet,bandpass,0,covariance,all,ap_NORM,normalized_robustness,202,3,0.8794252025112977
