run,model,seed,noise_seed,kind,snr,condition,active,prediction_path,sha256,records,probability_cells,max_probability_error,metadata_intensity_seed_thresholds_exact,passed,matrix_sha256,provenance_type
smoke,resnet,17,8128,bandpass,20,independent_rms,all,results/metrics/smoke/resnet/seed_17/bandpass_20_independent_rms_all.npz,4f8da167c6b683cfdaf9bbf499af90ef35a56f085ff36daf50a4df86ec6f3c5d,100,500,0.0,True,True,4f852acd9c5a4f7b35a207f5078d70f842de3077d648716950a66502951bfe9d,retrospective_verified_provenance
smoke,resnet,17,8128,bandpass,20,electrode,all,results/metrics/smoke/resnet/seed_17/bandpass_20_electrode_all.npz,24ead61efb3c21685451ee3df003eef1560d30aecb20872c75005f8af32b0e01,100,500,0.0,True,True,4f852acd9c5a4f7b35a207f5078d70f842de3077d648716950a66502951bfe9d,retrospective_verified_provenance
smoke,resnet,17,8128,bandpass,20,covariance,all,results/metrics/smoke/resnet/seed_17/bandpass_20_covariance_all.npz,f22f5fb1e5bdf8e371f5a90a494c2ae3b431f752f79805a421a96f3d3d9c807f,100,500,0.0,True,True,4f852acd9c5a4f7b35a207f5078d70f842de3077d648716950a66502951bfe9d,retrospective_verified_provenance
smoke,resnet,17,8128,bandpass,10,independent_rms,all,results/metrics/smoke/resnet/seed_17/bandpass_10_independent_rms_all.npz,7a7abb90e5ef1e5d25e11e32733b9f6de862a76f971d2315abb904a3e962a15a,100,500,0.0,True,True,4f852acd9c5a4f7b35a207f5078d70f842de3077d648716950a66502951bfe9d,retrospective_verified_provenance
smoke,resnet,17,8128,bandpass,10,electrode,all,results/metrics/smoke/resnet/seed_17/bandpass_10_electrode_all.npz,307ae81db7d977bfa35d0ade4321051a9609d0af2dc4aaf92cbd26f44e2fce7b,100,500,0.0,True,True,4f852acd9c5a4f7b35a207f5078d70f842de3077d648716950a66502951bfe9d,retrospective_verified_provenance
smoke,resnet,17,8128,bandpass,10,covariance,all,results/metrics/smoke/resnet/seed_17/bandpass_10_covariance_all.npz,9fdb768ffeb96cddeec0519cabb7b20f62b192c8584bf0db6bbe3acd256dac75,100,500,0.0,True,True,4f852acd9c5a4f7b35a207f5078d70f842de3077d648716950a66502951bfe9d,retrospective_verified_provenance
smoke,resnet,17,8128,bandpass,0,independent_rms,all,results/metrics/smoke/resnet/seed_17/bandpass_0_independent_rms_all.npz,a936fb0cf3494b13a2e694585b8881a10f4e5fb8b326b82a2c70669694baa950,100,500,0.0,True,True,4f852acd9c5a4f7b35a207f5078d70f842de3077d648716950a66502951bfe9d,retrospective_verified_provenance
smoke,resnet,17,8128,bandpass,0,electrode,all,results/metrics/smoke/resnet/seed_17/bandpass_0_electrode_all.npz,993ba64dd59245d8456d8f612d4bd457d333378c208a6ec575e4c8969d2debb3,100,500,0.0,True,True,4f852acd9c5a4f7b35a207f5078d70f842de3077d648716950a66502951bfe9d,retrospective_verified_provenance
smoke,resnet,17,8128,bandpass,0,covariance,all,results/metrics/smoke/resnet/seed_17/bandpass_0_covariance_all.npz,1d74ad5cae97af63406692fc80a1344d0d52ee6173a86f0601f16b70615ee5ad,100,500,0.0,True,True,4f852acd9c5a4f7b35a207f5078d70f842de3077d648716950a66502951bfe9d,retrospective_verified_provenance
smoke,resnet,17,8128,bandpass,10,independent_rms,RA,results/metrics/smoke/resnet/seed_17/bandpass_10_independent_rms_RA.npz,584bb71e0b0e417dba4189ffc19f2da7698222ae2126f579aa85c109710e5f20,100,500,0.0,True,True,4f852acd9c5a4f7b35a207f5078d70f842de3077d648716950a66502951bfe9d,retrospective_verified_provenance
smoke,resnet,17,8128,bandpass,10,electrode,RA,results/metrics/smoke/resnet/seed_17/bandpass_10_electrode_RA.npz,e3212a605b4eccc5c794454b84932155099e2471409ed2115ee832c5944ba6bc,100,500,0.0,True,True,4f852acd9c5a4f7b35a207f5078d70f842de3077d648716950a66502951bfe9d,retrospective_verified_provenance
smoke,resnet,17,8128,bandpass,10,covariance,RA,results/metrics/smoke/resnet/seed_17/bandpass_10_covariance_RA.npz,b72c5333be2f0b7d5bc44b1d964adb0baa2e4c6d304b5721f81f3c503301f1fd,100,500,0.0,True,True,4f852acd9c5a4f7b35a207f5078d70f842de3077d648716950a66502951bfe9d,retrospective_verified_provenance
pilot,resnet,17,8128,bandpass,20,independent_rms,all,results/metrics/pilot/resnet/seed_17/bandpass_20_independent_rms_all.npz,42a5c32f8aef9747f9893405f8c3ec22e09b08ff6809ea9722ea3b512d852a7c,1000,5000,0.0,True,True,4f852acd9c5a4f7b35a207f5078d70f842de3077d648716950a66502951bfe9d,retrospective_verified_provenance
pilot,resnet,29,8128,bandpass,20,independent_rms,all,results/metrics/pilot/resnet/seed_29/bandpass_20_independent_rms_all.npz,df2491e37bd5e129dbe8ba94b301e423d27a16bbe7032e38cb273a5998e2b649,1000,5000,0.0,True,True,4f852acd9c5a4f7b35a207f5078d70f842de3077d648716950a66502951bfe9d,retrospective_verified_provenance
