distribution_index,model,kind,snr,active,noise_seed,training_seed,n_fixed_training_seeds,outcome,lhs,rhs,metric,point,ci95_low,ci95_high,n_bootstrap,n_valid,n_invalid,ci_method,conditioning
0,resnet,clean,100,all,8128,17,1,absolute,clean,,macro_auroc,0.9068922993183458,0.8984058211483298,0.9145645780014767,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
1,resnet,clean,100,all,8128,17,1,absolute,clean,,auroc_NORM,0.9340980287369057,0.9231261877240484,0.9441334542509302,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
2,resnet,clean,100,all,8128,17,1,absolute,clean,,auroc_MI,0.8862347354138399,0.8691939957354807,0.9016779858514655,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
3,resnet,clean,100,all,8128,17,1,absolute,clean,,auroc_STTC,0.9193764165289954,0.906775989024433,0.9322082498543203,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
4,resnet,clean,100,all,8128,17,1,absolute,clean,,auroc_CD,0.9032148887853733,0.8847432239000356,0.9203776748955511,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
5,resnet,clean,100,all,8128,17,1,absolute,clean,,auroc_HYP,0.8915374271266144,0.8692180932642399,0.9112068781968798,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
6,resnet,clean,100,all,8128,29,1,absolute,clean,,macro_auroc,0.907911261424449,0.8997538554428672,0.9157478866894114,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
7,resnet,clean,100,all,8128,29,1,absolute,clean,,auroc_NORM,0.9316023410107014,0.9202530303630172,0.9420853626034459,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
8,resnet,clean,100,all,8128,29,1,absolute,clean,,auroc_MI,0.887587064676617,0.8699064571492134,0.9041055892260524,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
9,resnet,clean,100,all,8128,29,1,absolute,clean,,auroc_STTC,0.9271289998440573,0.9145354945855739,0.9394939198131815,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
10,resnet,clean,100,all,8128,29,1,absolute,clean,,auroc_CD,0.8963537420907574,0.8777637028533761,0.9137897742200072,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
11,resnet,clean,100,all,8128,29,1,absolute,clean,,auroc_HYP,0.8968841595001127,0.8747131235931191,0.9169773287477916,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
12,resnet,clean,100,all,8128,43,1,absolute,clean,,macro_auroc,0.9087005045233127,0.9007757115271565,0.9165857624608663,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
13,resnet,clean,100,all,8128,43,1,absolute,clean,,auroc_NORM,0.93502000808144,0.9244638430148895,0.9447797771979585,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
14,resnet,clean,100,all,8128,43,1,absolute,clean,,auroc_MI,0.8974219810040706,0.882137145665755,0.9117678433295837,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
15,resnet,clean,100,all,8128,43,1,absolute,clean,,auroc_STTC,0.92575599998593,0.9130506076816768,0.9378511794621398,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
16,resnet,clean,100,all,8128,43,1,absolute,clean,,auroc_CD,0.8951782733589535,0.8760464955228976,0.9131598298427348,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
17,resnet,clean,100,all,8128,43,1,absolute,clean,,auroc_HYP,0.8901262601861694,0.8693662749369054,0.9106258762654956,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
