model,kind,snr,condition,active,metric,outcome,noise_seed,uncertainty,n_seeds,mean,std,ci95_low,ci95_high
resnet,bandpass,0,covariance,all,ap_CD,absolute,8128,training_seed_student_t_95,3,0.698237496542616,0.021679302975164662,0.6443831224582157,0.7520918706270163
resnet,bandpass,0,covariance,all,ap_CD,clean_drop,8128,training_seed_student_t_95,3,0.10835138609279867,0.026193815289878342,0.043282341717395825,0.1734204304682015
resnet,bandpass,0,covariance,all,ap_CD,normalized_robustness,8128,training_seed_student_t_95,3,0.8657912899128734,0.03172851491538765,0.7869732894747028,0.9446092903510439
resnet,bandpass,0,covariance,all,ap_HYP,absolute,8128,training_seed_student_t_95,3,0.5498245053664603,0.0260920491072848,0.48500826220301585,0.6146407485299048
resnet,bandpass,0,covariance,all,ap_HYP,clean_drop,8128,training_seed_student_t_95,3,0.09177743561486414,0.015162102696657496,0.05411268451713263,0.12944218671259564
resnet,bandpass,0,covariance,all,ap_HYP,normalized_robustness,8128,training_seed_student_t_95,3,0.8568474800331117,0.02451107152148199,0.7959586029119433,0.9177363571542801
resnet,bandpass,0,covariance,all,ap_MI,absolute,8128,training_seed_student_t_95,3,0.5289477644895162,0.05337919429308876,0.39634649492484963,0.6615490340541827
resnet,bandpass,0,covariance,all,ap_MI,clean_drop,8128,training_seed_student_t_95,3,0.23416228437551226,0.037212677649509876,0.1417208684723017,0.3266037002787228
resnet,bandpass,0,covariance,all,ap_MI,normalized_robustness,8128,training_seed_student_t_95,3,0.6923717577103656,0.0555913575380867,0.5542751700043198,0.8304683454164115
resnet,bandpass,0,covariance,all,ap_NORM,absolute,8128,training_seed_student_t_95,3,0.7954258172947838,0.0322399337033088,0.7153373821590564,0.8755142524305112
resnet,bandpass,0,covariance,all,ap_NORM,clean_drop,8128,training_seed_student_t_95,3,0.11163440440286265,0.027194307085873858,0.044080000626761345,0.17918880817896396
resnet,bandpass,0,covariance,all,ap_NORM,normalized_robustness,8128,training_seed_student_t_95,3,0.8768162307775698,0.030753825397453537,0.8004194933281171,0.9532129682270224
resnet,bandpass,0,covariance,all,ap_STTC,absolute,8128,training_seed_student_t_95,3,0.6088779306042174,0.042485455386010125,0.5033382086802514,0.7144176525281833
resnet,bandpass,0,covariance,all,ap_STTC,clean_drop,8128,training_seed_student_t_95,3,0.20310568130803422,0.03314718101747985,0.12076351890531827,0.28544784371075016
resnet,bandpass,0,covariance,all,ap_STTC,normalized_robustness,8128,training_seed_student_t_95,3,0.74953153096576,0.043810250291624574,0.6407008360564631,0.8583622258750568
resnet,bandpass,0,covariance,all,auroc_CD,absolute,8128,training_seed_student_t_95,3,0.8265841938071762,0.013455240879120365,0.7931595225190828,0.8600088650952695
resnet,bandpass,0,covariance,all,auroc_CD,clean_drop,8128,training_seed_student_t_95,3,0.07166477427118507,0.017783833661525434,0.027487282413642254,0.11584226612872789
resnet,bandpass,0,covariance,all,auroc_CD,normalized_robustness,8128,training_seed_student_t_95,3,0.9202794999803866,0.01936762071954921,0.8721676629646735,0.9683913369960997
resnet,bandpass,0,covariance,all,auroc_HYP,absolute,8128,training_seed_student_t_95,3,0.8457140920754554,0.007921942776436269,0.8260348952744259,0.865393288876485
resnet,bandpass,0,covariance,all,auroc_HYP,clean_drop,8128,training_seed_student_t_95,3,0.04713519019551008,0.006936437260498248,0.029904124811729767,0.06436625557929039
resnet,bandpass,0,covariance,all,auroc_HYP,normalized_robustness,8128,training_seed_student_t_95,3,0.9472067814593385,0.00779338970374605,0.9278469281941361,0.9665666347245409
resnet,bandpass,0,covariance,all,auroc_MI,absolute,8128,training_seed_student_t_95,3,0.7348727951153324,0.04708050880864917,0.6179183276968228,0.8518272625338421
resnet,bandpass,0,covariance,all,auroc_MI,clean_drop,8128,training_seed_student_t_95,3,0.15554179858284337,0.04217007674574173,0.05078552063263887,0.2602980765330479
resnet,bandpass,0,covariance,all,auroc_MI,normalized_robustness,8128,training_seed_student_t_95,3,0.8251417175567598,0.04831741417997554,0.7051146068595098,0.9451688282540098
resnet,bandpass,0,covariance,all,auroc_NORM,absolute,8128,training_seed_student_t_95,3,0.8516572021127606,0.021874043850344613,0.7973190648763125,0.9059953393492087
resnet,bandpass,0,covariance,all,auroc_NORM,clean_drop,8128,training_seed_student_t_95,3,0.08191625716358826,0.02026119587880957,0.031584656396500765,0.13224785793067576
resnet,bandpass,0,covariance,all,auroc_NORM,normalized_robustness,8128,training_seed_student_t_95,3,0.9122301230690306,0.02187721122368305,0.8578841176410255,0.9665761284970358
resnet,bandpass,0,covariance,all,auroc_STTC,absolute,8128,training_seed_student_t_95,3,0.8128991636543136,0.022336505170240505,0.7574122088129005,0.8683861184957267
resnet,bandpass,0,covariance,all,auroc_STTC,clean_drop,8128,training_seed_student_t_95,3,0.11118797513201399,0.018199586543537396,0.06597769586150917,0.1563982544025188
resnet,bandpass,0,covariance,all,auroc_STTC,normalized_robustness,8128,training_seed_student_t_95,3,0.8796175164656016,0.0202793790262721,0.8292407462561847,0.9299942866750185
resnet,bandpass,0,covariance,all,brier,absolute,8128,training_seed_student_t_95,3,0.1777720898389816,0.022637719225834785,0.12153687780276681,0.2340073018751964
resnet,bandpass,0,covariance,all,clean_agreement,absolute,8128,training_seed_student_t_95,3,0.7236021007105343,0.04896704016765552,0.6019612295987755,0.8452429718222931
resnet,bandpass,0,covariance,all,ece,absolute,8128,training_seed_student_t_95,3,0.1600945895012372,0.01756718851287744,0.11645527402751195,0.20373390497496247
resnet,bandpass,0,covariance,all,f1_CD,absolute,8128,training_seed_student_t_95,3,0.5897149619216951,0.029877610007554962,0.5154948641658785,0.6639350596775118
resnet,bandpass,0,covariance,all,f1_CD,clean_drop,8128,training_seed_student_t_95,3,0.11918814165314473,0.026396428050553068,0.053615779278074205,0.18476050402821526
resnet,bandpass,0,covariance,all,f1_CD,normalized_robustness,8128,training_seed_student_t_95,3,0.8317451415033191,0.038029349851321934,0.7372749993854743,0.926215283621164
resnet,bandpass,0,covariance,all,f1_HYP,absolute,8128,training_seed_student_t_95,3,0.5035364569416719,0.018441342723455757,0.45772562202759065,0.5493472918557533
resnet,bandpass,0,covariance,all,f1_HYP,clean_drop,8128,training_seed_student_t_95,3,0.09802275020844732,0.012031560792392317,0.06813469631321926,0.1279108041036754
resnet,bandpass,0,covariance,all,f1_HYP,normalized_robustness,8128,training_seed_student_t_95,3,0.8374447878615011,0.011641648918802455,0.8085253287557048,0.8663642469672974
resnet,bandpass,0,covariance,all,f1_MI,absolute,8128,training_seed_student_t_95,3,0.4664654082950979,0.009163820128937948,0.4437012171293885,0.48922959946080735
resnet,bandpass,0,covariance,all,f1_MI,clean_drop,8128,training_seed_student_t_95,3,0.218363574160657,0.018015159320526938,0.17361143750990016,0.2631157108114138
resnet,bandpass,0,covariance,all,f1_MI,normalized_robustness,8128,training_seed_student_t_95,3,0.6813541204003656,0.02105465044065059,0.6290514692336729,0.7336567715670582
resnet,bandpass,0,covariance,all,f1_NORM,absolute,8128,training_seed_student_t_95,3,0.33425815158222777,0.12287752724555988,0.02901345222868651,0.639502850935769
resnet,bandpass,0,covariance,all,f1_NORM,clean_drop,8128,training_seed_student_t_95,3,0.5125745948201025,0.12406695083604233,0.2043752034702349,0.8207739861699701
resnet,bandpass,0,covariance,all,f1_NORM,normalized_robustness,8128,training_seed_student_t_95,3,0.39485198175616665,0.1457554602069072,0.032775346367150904,0.7569286171451823
resnet,bandpass,0,covariance,all,f1_STTC,absolute,8128,training_seed_student_t_95,3,0.525113365689681,0.019162284706136713,0.4775116116084601,0.572715119770902
resnet,bandpass,0,covariance,all,f1_STTC,clean_drop,8128,training_seed_student_t_95,3,0.22144174735612385,0.032046047138578726,0.1418349531476382,0.3010485415646095
resnet,bandpass,0,covariance,all,f1_STTC,normalized_robustness,8128,training_seed_student_t_95,3,0.7038439796446635,0.03772386376542218,0.6101327070332078,0.7975552522561192
resnet,bandpass,0,covariance,all,macro_ap,absolute,8128,training_seed_student_t_95,3,0.6362627028595188,0.021425686271951253,0.583038347591893,0.6894870581271446
resnet,bandpass,0,covariance,all,macro_ap,clean_drop,8128,training_seed_student_t_95,3,0.14980623835881443,0.017871740250396173,0.10541037442874918,0.19420210228887969
resnet,bandpass,0,covariance,all,macro_ap,normalized_robustness,8128,training_seed_student_t_95,3,0.8093565920551661,0.023607289024075682,0.7507128351189968,0.8680003489913354
resnet,bandpass,0,covariance,all,macro_auroc,absolute,8128,training_seed_student_t_95,3,0.8143454893530077,0.015983668054016454,0.7746398567684184,0.8540511219375969
resnet,bandpass,0,covariance,all,macro_auroc,clean_drop,8128,training_seed_student_t_95,3,0.09348919906902826,0.015078715335028919,0.05603159366099911,0.13094680447705742
resnet,bandpass,0,covariance,all,macro_auroc,normalized_robustness,8128,training_seed_student_t_95,3,0.8970084713175702,0.01671541882213135,0.855485069054327,0.9385318735808135
resnet,bandpass,0,covariance,all,macro_f1,absolute,8128,training_seed_student_t_95,3,0.48381766888607475,0.025722374962363757,0.4199197472070763,0.5477155905650732
resnet,bandpass,0,covariance,all,macro_f1,clean_drop,8128,training_seed_student_t_95,3,0.23391816163969512,0.024974363534282038,0.17187840335799168,0.2959579199213986
resnet,bandpass,0,covariance,all,macro_f1,normalized_robustness,8128,training_seed_student_t_95,3,0.6740699745256536,0.03490375671574975,0.5873642361873753,0.760775712863932
resnet,bandpass,0,covariance,all,mean_confidence,absolute,8128,training_seed_student_t_95,3,0.780004064242045,0.03364569767908552,0.696423517800314,0.8635846106837761
