noise_seed,snr,empirical_marginals_exact_mean,empirical_marginals_exact_std,empirical_marginals_exact_min,empirical_marginals_exact_max,variance_max_relative_error_mean,variance_max_relative_error_std,variance_max_relative_error_min,variance_max_relative_error_max,rms_max_relative_error_mean,rms_max_relative_error_std,rms_max_relative_error_min,rms_max_relative_error_max,snr_absolute_difference_db_mean,snr_absolute_difference_db_std,snr_absolute_difference_db_min,snr_absolute_difference_db_max,periodogram_l1_max_lead_relative_error_mean,periodogram_l1_max_lead_relative_error_std,periodogram_l1_max_lead_relative_error_min,periodogram_l1_max_lead_relative_error_max,welch_l1_max_lead_relative_error_mean,welch_l1_max_lead_relative_error_std,welch_l1_max_lead_relative_error_min,welch_l1_max_lead_relative_error_max,welch_l1_all_leads_relative_error_mean,welch_l1_all_leads_relative_error_std,welch_l1_all_leads_relative_error_min,welch_l1_all_leads_relative_error_max,electrode_abs_offdiagonal_correlation_mean,electrode_abs_offdiagonal_correlation_std,electrode_abs_offdiagonal_correlation_min,electrode_abs_offdiagonal_correlation_max,shifted_abs_offdiagonal_correlation_mean,shifted_abs_offdiagonal_correlation_std,shifted_abs_offdiagonal_correlation_min,shifted_abs_offdiagonal_correlation_max,periodic_baseline_band_error_relative_to_total_max_mean,periodic_baseline_band_error_relative_to_total_max_std,periodic_baseline_band_error_relative_to_total_max_min,periodic_baseline_band_error_relative_to_total_max_max,welch_baseline_band_error_relative_to_total_max_mean,welch_baseline_band_error_relative_to_total_max_std,welch_baseline_band_error_relative_to_total_max_min,welch_baseline_band_error_relative_to_total_max_max,periodic_low_band_error_relative_to_total_max_mean,periodic_low_band_error_relative_to_total_max_std,periodic_low_band_error_relative_to_total_max_min,periodic_low_band_error_relative_to_total_max_max,welch_low_band_error_relative_to_total_max_mean,welch_low_band_error_relative_to_total_max_std,welch_low_band_error_relative_to_total_max_min,welch_low_band_error_relative_to_total_max_max,periodic_middle_band_error_relative_to_total_max_mean,periodic_middle_band_error_relative_to_total_max_std,periodic_middle_band_error_relative_to_total_max_min,periodic_middle_band_error_relative_to_total_max_max,welch_middle_band_error_relative_to_total_max_mean,welch_middle_band_error_relative_to_total_max_std,welch_middle_band_error_relative_to_total_max_min,welch_middle_band_error_relative_to_total_max_max,periodic_high_ecg_band_error_relative_to_total_max_mean,periodic_high_ecg_band_error_relative_to_total_max_std,periodic_high_ecg_band_error_relative_to_total_max_min,periodic_high_ecg_band_error_relative_to_total_max_max,welch_high_ecg_band_error_relative_to_total_max_mean,welch_high_ecg_band_error_relative_to_total_max_std,welch_high_ecg_band_error_relative_to_total_max_min,welch_high_ecg_band_error_relative_to_total_max_max,periodic_above_ecg_band_error_relative_to_total_max_mean,periodic_above_ecg_band_error_relative_to_total_max_std,periodic_above_ecg_band_error_relative_to_total_max_min,periodic_above_ecg_band_error_relative_to_total_max_max,welch_above_ecg_band_error_relative_to_total_max_mean,welch_above_ecg_band_error_relative_to_total_max_std,welch_above_ecg_band_error_relative_to_total_max_min,welch_above_ecg_band_error_relative_to_total_max_max
101,0,1.0,0.0,True,True,6.937312572106783e-16,2.206739371897892e-16,1.842411086731812e-16,1.7553921217514622e-15,1.5219923731110016e-16,6.160731270998075e-17,0.0,4.136117776944645e-16,1.700308623708711e-16,3.9812793140268334e-16,0.0,1.928654935786918e-15,3.5159806419049775e-16,1.1238616420672061e-17,3.2068930479557677e-16,3.963544153041538e-16,0.30872406431030136,0.020493910294119476,0.24522094528007657,0.39072851936461944,0.23616515663856688,0.017984474252062243,0.16642061794545635,0.29582104005149606,0.19763742565602746,0.0051936595726094536,0.18315329870355387,0.22041662483075458,0.028604638765293545,0.002844746422202479,0.02024638433849984,0.054383956207936714,1.2572281630310365e-18,7.251194240080491e-19,1.1969274849224378e-19,5.938482053114358e-18,0.0027863308442120554,0.0012534730704935446,0.0005150095514894475,0.01120703433683529,3.858661764905106e-17,1.1534522109911327e-17,1.433972347611969e-17,1.0163840530988949e-16,0.027812735237106652,0.008733732147100721,0.008377863305483789,0.07871207269259466,8.410436036942296e-17,2.624055693961695e-17,2.966196071474936e-17,2.60540408917526e-16,0.04235162528166749,0.012472755315283046,0.012519602209639828,0.10274081382629209,2.079769159730417e-16,6.264012598809532e-17,8.057031208496989e-17,4.962930619257483e-16,0.06708716590537889,0.01972192465718652,0.017928660174061667,0.19534863005710706,1.0891873373245391e-18,6.771781022642786e-19,1.2295797468398085e-19,8.450065273711538e-18,0.001970961476809564,0.0009026035033451745,0.0003420973955367613,0.0072690359791615046
101,10,1.0,0.0,True,True,7.024197435517043e-16,2.2087294099162305e-16,1.7612332625007017e-16,1.7528490839717542e-15,1.516759103150826e-16,6.320868824863765e-17,0.0,4.2763612100853657e-16,1.7862346346147097e-16,6.50412329797206e-16,0.0,3.552713678800501e-15,3.517024792262411e-16,1.1328933674726715e-17,3.215192195071524e-16,4.0275440426827445e-16,0.30872406427800136,0.020493910226927838,0.24522094417150508,0.39072851739233844,0.2361651566137776,0.017984474232915135,0.16642061785256265,0.2958210390627053,0.1976374256517765,0.005193659569307425,0.1831532985817484,0.2204166249207192,0.028604638763199026,0.0028447464157562658,0.020246384312541336,0.05438395602897514,1.243409835795713e-18,7.181149259464842e-19,1.3686144157906485e-19,6.35334933320642e-18,0.0027863308451820824,0.0012534730723417647,0.0005150095217812938,0.011207034446858917,3.944769670429358e-17,1.255039096200094e-17,1.441861146394287e-17,1.1094420272513091e-16,0.02781273524171858,0.008733732159567178,0.008377863175703944,0.07871207215021012,8.435445115819841e-17,2.5380807749607363e-17,3.0181863395292664e-17,2.1035984872294814e-16,0.04235162526914889,0.012472755337136156,0.012519602274881405,0.10274081409381476,2.0851997094094968e-16,6.20754073785652e-17,8.468993006360004e-17,4.61189579121242e-16,0.06708716589042654,0.0197219246481757,0.017928659915135203,0.195348626046073,1.0652395424475513e-18,6.462469765432192e-19,1.07862578585988e-19,7.677646146594411e-18,0.001970961479841956,0.0009026035019763056,0.0003420974050635171,0.007269035928701552
101,20,1.0,0.0,True,True,6.919071580814163e-16,2.2214254358453503e-16,1.7269235838959686e-16,1.7394246594538467e-15,1.5160026639730145e-16,6.466860362621101e-17,0.0,3.102713228580962e-16,1.6133732183616732e-16,7.398710994840152e-16,0.0,3.552713678800501e-15,3.520647729803269e-16,1.122768199846527e-17,3.181980178762598e-16,4.098514189195142e-16,0.30872406432260496,0.02049391035399962,0.24522094577157044,0.3907285223605146,0.2361651566491041,0.017984474250536252,0.16642061820626963,0.295821040455676,0.19763742565646666,0.005193659571817576,0.1831532985930349,0.2204166245747162,0.02860463876498426,0.002844746417746932,0.020246384619952398,0.054383956252757375,1.2566419645076551e-18,7.135869692045811e-19,9.613788596441441e-20,8.129128580118185e-18,0.002786330844474827,0.001253473071138893,0.0005150095052232389,0.01120703435992336,3.8678590805337136e-17,1.1769396081686801e-17,1.4597226044275355e-17,9.401228788384584e-17,0.02781273523150213,0.008733732139324036,0.008377862963348078,0.07871207454197524,8.361880791361733e-17,2.5214817698904725e-17,3.0617402323454764e-17,1.971492294366445e-16,0.04235162527745577,0.012472755306951307,0.012519601299530505,0.10274081414167013,2.0788424625079403e-16,6.371166461788326e-17,7.097941752896113e-17,5.685426914823609e-16,0.06708716600353301,0.019721924694679326,0.01792865917893069,0.19534862909952402,1.0730001984465428e-18,6.453684987728147e-19,9.209444252672335e-20,5.743070223326373e-18,0.001970961477475214,0.0009026035060640102,0.00034209732252150237,0.007269035973471527
202,0,1.0,0.0,True,True,6.916617706101148e-16,2.242936761024215e-16,1.7924834745065523e-16,1.5269219884991192e-15,1.5485920376366927e-16,6.220185664570206e-17,0.0,3.9475939469575714e-16,1.7941495727873592e-16,4.092823453383265e-16,0.0,1.9286549366140987e-15,3.518081132213823e-16,1.1002221072929233e-17,3.1992415203170216e-16,3.9742926409642656e-16,0.3090891086851411,0.02006039650964526,0.24059342822761154,0.40242318858176873,0.2365653796857918,0.017858625831374368,0.17633048422148806,0.28848995295587526,0.19773202264371142,0.005147918584043137,0.18113970507588034,0.22236097713183564,0.028728441207841286,0.002957624337894884,0.02029493354264827,0.04853068089294209,1.2302644228225195e-18,7.147165159607435e-19,1.7638692882711686e-19,6.926411339345513e-18,0.0028062720204997584,0.0012467414976838319,0.0006229211632252288,0.00877687309588741,3.910964676148845e-17,1.256509834441348e-17,0.0,1.0335141553377975e-16,0.02775155825652161,0.008738578899525198,0.00793828519694893,0.07381941286070351,8.399156206100597e-17,2.5111128462343627e-17,3.247247478589982e-17,2.083871374272252e-16,0.04167369156073326,0.01228737594246967,0.014285167216292952,0.11985026654431966,2.0743060178499976e-16,6.284061576591596e-17,7.374839884077892e-17,5.213891018264468e-16,0.06683872568033056,0.020380649897502916,0.022381794074695323,0.15581778606262672,1.0929275646924256e-18,6.393577443283556e-19,5.583513508534348e-20,5.360501001723133e-18,0.0019699294995811833,0.0008914295802395085,0.0002496485101273484,0.007059888945125362
202,10,1.0,0.0,True,True,6.927028019596984e-16,2.258736225573739e-16,1.9716035384661117e-16,1.577043908569189e-15,1.5301696996094936e-16,6.457023643689011e-17,0.0,4.0521787608654905e-16,1.3581968419881434e-16,5.600173455918715e-16,0.0,3.552713678800501e-15,3.516343597476929e-16,1.094868896424164e-17,3.2123404382656936e-16,3.955290554097509e-16,0.3090891086967518,0.02006039651918715,0.2405934304242293,0.40242318700902613,0.23656537969239752,0.017858625834619068,0.17633048399614132,0.2884899527777474,0.1977320226424814,0.005147918585924182,0.18113970504649057,0.22236097698331203,0.028728441206321762,0.0029576243386447484,0.020294933615402144,0.048530680817743935,1.230141023068406e-18,7.031647041106864e-19,1.6098558367537861e-19,6.157249883597531e-18,0.0028062720218265903,0.0012467414950083305,0.0006229211742942299,0.008776872959879145,3.933169914853019e-17,1.2446762846960419e-17,1.5311461197553804e-17,1.165901394118584e-16,0.027751558268467365,0.008738578903414894,0.007938285460507183,0.07381941434662832,8.456855492878683e-17,2.6168685202651397e-17,3.266250194345193e-17,2.139900366503155e-16,0.04167369158979967,0.012287375932958495,0.014285168567018123,0.11985026582137606,2.0875617077184115e-16,6.251935158783436e-17,7.807684420821061e-17,6.075969317249537e-16,0.0668387256774441,0.02038064986308447,0.022381794764002497,0.1558177835732565,1.0939104226933636e-18,6.320730856763863e-19,1.2826527064895592e-19,5.186079139364337e-18,0.0019699295004468246,0.0008914295811145567,0.0002496485527951196,0.007059889066168806
202,20,1.0,0.0,True,True,6.861717295173385e-16,2.242806078294977e-16,2.1146848502380609e-16,2.0676327082690407e-15,1.5383311600678098e-16,6.568535531387788e-17,0.0,3.8285135339158085e-16,1.4322803060965875e-16,6.989708933394931e-16,0.0,3.552713678800501e-15,3.5165773088522746e-16,1.153758821316294e-17,3.1290410364085194e-16,4.084173739965085e-16,0.30908910874330403,0.020060396513610114,0.2405934274832366,0.40242318955010853,0.236565379695403,0.017858625816901733,0.1763304844541326,0.2884899534478776,0.1977320226486108,0.005147918584145061,0.1811397050114729,0.22236097704707528,0.028728441209882254,0.0029576243351218533,0.020294933499626598,0.0485306807945612,1.2494117473721615e-18,7.485293330691806e-19,1.229355140092668e-19,7.365181724261992e-18,0.002806272015678374,0.0012467414944823752,0.0006229212016986836,0.008776873088019454,3.9578074389061244e-17,1.2735449681838667e-17,1.3471418309099944e-17,1.156170719512468e-16,0.027751558269184632,0.00873857888748859,0.007938284889360669,0.07381941334369965,8.510302835877315e-17,2.602276335604616e-17,3.042365750243289e-17,2.2899732457905767e-16,0.04167369158021724,0.012287375912583528,0.01428516708736468,0.11985026531158526,2.0816969558836142e-16,6.22274088767179e-17,8.217648228815581e-17,4.865876996896229e-16,0.06683872573503384,0.020380649844706562,0.022381793594723736,0.1558177885731385,1.091196707044007e-18,6.274307920925603e-19,1.286115145742724e-19,6.597989740604266e-18,0.0019699294965700776,0.0008914295783357973,0.00024964856495695187,0.0070598889885588965
303,0,1.0,0.0,True,True,6.893089505941356e-16,2.261448739425414e-16,2.189215316288303e-16,1.7730338521633787e-15,1.524688490644918e-16,6.295049081152247e-17,0.0,3.5492766230627303e-16,1.6779655407639854e-16,3.990751938560099e-16,0.0,2.4108186670453107e-15,3.521979573144828e-16,1.0987631215853746e-17,3.1835361303036916e-16,3.9855601546616413e-16,0.3091672877315208,0.020342220142179103,0.24867861548623044,0.4129985546196492,0.23624582925763193,0.018091714569957375,0.16136678249986455,0.29337929995018175,0.1977879643166287,0.005173287869438593,0.181803669849781,0.21639103167539056,0.02867672058285409,0.0030171264221178096,0.02051229841959043,0.04561669260367549,1.2520775089737936e-18,7.454347512556683e-19,1.7415514565112234e-19,6.517014794430366e-18,0.0027909109224427157,0.0012930618816145215,0.000519166048484061,0.014031603078836328,3.881035935415824e-17,1.2171112397606703e-17,1.5273547083586467e-17,9.203449112246442e-17,0.027680212107538765,0.008626813392336409,0.010280949575109867,0.0763780136059172,8.51237352803641e-17,2.5884533076673763e-17,3.1769421858199976e-17,2.308147766212832e-16,0.04216450181860414,0.012874271429186427,0.010244703987215761,0.10425994779412613,2.0880443982026428e-16,6.445568525511077e-17,8.343339914582384e-17,4.803691590985604e-16,0.06761605988510579,0.019848944146831513,0.023541406684659733,0.15754211875098298,1.0829287756326368e-18,6.589114932704841e-19,1.1521489835026277e-19,5.627908484279091e-18,0.0019827078138975945,0.000918588338175638,0.0004430456500681079,0.0061402007792147745
303,10,1.0,0.0,True,True,6.910604423385986e-16,2.1802416397235137e-16,1.8033335887432002e-16,2.015716549146989e-15,1.4916357447212597e-16,6.545328567272286e-17,0.0,3.9308202359797314e-16,1.8603180987231538e-16,6.628355473341861e-16,0.0,3.552713678800501e-15,3.5215190922746577e-16,1.1260922336644217e-17,3.211719409560877e-16,4.0198969612460223e-16,0.3091672876764984,0.020342220191628665,0.24867861534987065,0.4129985563817716,0.23624582925798307,0.018091714570253933,0.16136678214062788,0.29337929993619327,0.19778796431363532,0.005173287870241722,0.18180366969871992,0.21639103176135183,0.028676720586264522,0.003017126429768159,0.020512298088014747,0.045616692611932685,1.251839011983516e-18,7.070447719966026e-19,1.5012834316253535e-19,5.680447467363831e-18,0.00279091092470727,0.001293061885559873,0.0005191660540229885,0.01403160327777569,3.935900702830953e-17,1.2328176855403552e-17,1.4976340376209887e-17,1.0285064622931918e-16,0.027680212128057855,0.008626813417668348,0.010280949046826271,0.07637801288816122,8.483322844291331e-17,2.6312011065380307e-17,2.964088259563989e-17,2.426485278015079e-16,0.0421645018456449,0.01287427145728998,0.01024470330958895,0.10425994803281668,2.0770860993834848e-16,6.307937866010504e-17,7.867398185947098e-17,5.751302236658297e-16,0.06761605988558934,0.019848944145834397,0.02354140657962533,0.15754211873979274,1.077775117009675e-18,6.195409770991474e-19,1.035040967952057e-19,4.9743823126519356e-18,0.0019827078133106755,0.0009185883385492496,0.0004430456293775875,0.006140200632295832
303,20,1.0,0.0,True,True,6.960995169590722e-16,2.2224620710442595e-16,2.078302474180716e-16,1.8986422526712834e-15,1.5489356032859625e-16,6.405248203037363e-17,0.0,4.368711385679317e-16,1.6133732183616732e-16,7.398710994840151e-16,0.0,3.552713678800501e-15,3.516692404089225e-16,1.1028601418149792e-17,3.2126157756788664e-16,4.019364347308411e-16,0.30916728769331836,0.020342220137997,0.2486786150064808,0.4129985552486156,0.23624582925483784,0.018091714554116404,0.16136678258994083,0.29337929982843197,0.19778796431653123,0.005173287867205427,0.18180367002783424,0.21639103169819923,0.028676720574779966,0.0030171264184259364,0.020512298471431618,0.04561669247515837,1.2105716409186196e-18,7.004363539712683e-19,1.202915267311962e-19,6.4953876305937266e-18,0.002790910921128348,0.0012930618836520641,0.0005191659666616304,0.014031603156187162,3.8872266560268087e-17,1.2070440022989896e-17,1.5015380921257965e-17,1.180871007530239e-16,0.027680212100075204,0.00862681341458585,0.010280949551409834,0.07637801365287313,8.514938661136614e-17,2.6477394431791306e-17,2.9872476227942176e-17,2.236795592381983e-16,0.042164501815997874,0.012874271403589451,0.01024470459451113,0.10425994687924553,2.0782060251934842e-16,6.296970492947899e-17,7.725037122757709e-17,4.748180803071925e-16,0.06761605977858505,0.01984894417046949,0.02354140617521088,0.15754211864405762,1.0707443547525039e-18,6.5841023164049185e-19,9.9682479132673e-20,6.7719240191840896e-18,0.001982707814445215,0.0009185883395647586,0.00044304562352627996,0.006140200842543994
404,0,1.0,0.0,True,True,6.919715609570473e-16,2.237639086422864e-16,2.2181399692346677e-16,1.7085356302520272e-15,1.5213621196824396e-16,6.43348719420116e-17,0.0,4.343360452902938e-16,1.5908275166069064e-16,3.8665282942698274e-16,0.0,1.928654934132557e-15,3.519854311183169e-16,1.1652176002159257e-17,3.13395243258134e-16,4.0089362765099673e-16,0.3099146460867031,0.020767527051457107,0.25110940659505,0.41269023692280526,0.23680284378756114,0.0181401950096394,0.16168051526798397,0.3006706530248594,0.1975514204940318,0.005059506504337739,0.18121220416868833,0.22115738656021874,0.02876479617341597,0.0030512099998823644,0.019908582280627585,0.045549247432133254,1.2224998093528645e-18,7.040533260412386e-19,1.616286075510229e-19,7.822724202161382e-18,0.002778494662474888,0.0012009059977677063,0.0006269694066204947,0.010704639454871333,3.9229404588445393e-17,1.2081401736672153e-17,1.5074725581597154e-17,9.361621971698373e-17,0.02787973256036555,0.008822028858163385,0.007669253668165606,0.07300778091850456,8.380633921397886e-17,2.6768606287293963e-17,3.2593254468944326e-17,2.2843590578383036e-16,0.042276388075848666,0.012756234623485853,0.012182417149026663,0.10403779771544203,2.0706283425199495e-16,6.404445831558398e-17,8.364178239012691e-17,5.118159777609352e-16,0.0665917219156719,0.019642312815195247,0.020853092782301977,0.15667142733316658,1.0787664303902974e-18,6.691600100134429e-19,5.2028049020533034e-20,5.379038688568117e-18,0.0019909277245518543,0.0009234837487903742,0.00037307729208366106,0.0071415186914546
