noise_seed,snr,lead,frequency_hz,electrode_psd,marginal_shift_psd
8128,20,I,0.0,1.531293048788926e-06,1.5019969063839223e-06
8128,20,I,0.390625,8.148728944416463e-06,8.223718625210756e-06
8128,20,I,0.78125,1.610239354281852e-05,1.6127543940170087e-05
8128,20,I,1.171875,1.7313702460485764e-05,1.726067945880542e-05
8128,20,I,1.5625,1.700965551422624e-05,1.7223831520893506e-05
8128,20,I,1.953125,1.7502720489697193e-05,1.737257383728357e-05
8128,20,I,2.34375,1.7636388480611028e-05,1.766785504222373e-05
8128,20,I,2.734375,1.781274501958619e-05,1.7923299226689096e-05
8128,20,I,3.125,1.7581931800825277e-05,1.757159681170826e-05
8128,20,I,3.515625,1.789664140383918e-05,1.75250129252353e-05
8128,20,I,3.90625,1.7628846267987417e-05,1.7733021234491658e-05
8128,20,I,4.296875,1.730994200858511e-05,1.7235497757027694e-05
8128,20,I,4.6875,1.7479736912917474e-05,1.7208990125474572e-05
8128,20,I,5.078125,1.735447356994032e-05,1.7089225890965565e-05
8128,20,I,5.46875,1.711950763990418e-05,1.7185184404523026e-05
8128,20,I,5.859375,1.7471915511451886e-05,1.7242606502965494e-05
8128,20,I,6.25,1.7361127358672692e-05,1.7247838511927518e-05
8128,20,I,6.640625,1.740801424365626e-05,1.7395646893931e-05
8128,20,I,7.03125,1.7764163142872815e-05,1.7654621496667628e-05
8128,20,I,7.421875,1.718016816991869e-05,1.736472353075116e-05
8128,20,I,7.8125,1.7363832811379615e-05,1.7241139531209347e-05
8128,20,I,8.203125,1.7319297465673212e-05,1.7109955715595014e-05
8128,20,I,8.59375,1.735299332914393e-05,1.728367236806198e-05
8128,20,I,8.984375,1.6922198937140756e-05,1.692318322719636e-05
8128,20,I,9.375,1.7011106222510212e-05,1.6988627553701374e-05
8128,20,I,9.765625,1.7195754910900505e-05,1.7102763280275332e-05
8128,20,I,10.15625,1.7276363707870406e-05,1.7533491065084734e-05
8128,20,I,10.546875,1.713295239616276e-05,1.7301646923052426e-05
8128,20,I,10.9375,1.6778952979877934e-05,1.699563656143248e-05
8128,20,I,11.328125,1.7390913401982374e-05,1.7466846756028025e-05
8128,20,I,11.71875,1.7135544436409585e-05,1.7318543270339735e-05
8128,20,I,12.109375,1.7096643499725955e-05,1.730242762797631e-05
8128,20,I,12.5,1.7459068310455847e-05,1.760234776488664e-05
8128,20,I,12.890625,1.8101289229990383e-05,1.7901444029863896e-05
8128,20,I,13.28125,1.7611005290071557e-05,1.7540823728796654e-05
8128,20,I,13.671875,1.717433913994642e-05,1.7230645792739352e-05
8128,20,I,14.0625,1.7008295992876924e-05,1.7235576072681287e-05
8128,20,I,14.453125,1.7474869957654772e-05,1.7341395603216142e-05
8128,20,I,14.84375,1.701364778759578e-05,1.705009109081409e-05
8128,20,I,15.234375,1.7290107776493956e-05,1.7214514795719702e-05
8128,20,I,15.625,1.76005817823192e-05,1.7636474170681064e-05
8128,20,I,16.015625,1.7431671183651958e-05,1.7762598187099467e-05
8128,20,I,16.40625,1.7494097180408285e-05,1.7577141820762156e-05
8128,20,I,16.796875,1.705619314716253e-05,1.740029508970622e-05
8128,20,I,17.1875,1.6920113043292606e-05,1.7466543322931366e-05
8128,20,I,17.578125,1.7457756822622173e-05,1.754214947093993e-05
8128,20,I,17.96875,1.7644109466624898e-05,1.7709450932638346e-05
8128,20,I,18.359375,1.767400840454142e-05,1.7719681887825977e-05
8128,20,I,18.75,1.7900630155065584e-05,1.7753236061568284e-05
8128,20,I,19.140625,1.7404102460396045e-05,1.7272491278701693e-05
8128,20,I,19.53125,1.711645053092374e-05,1.7094724520043928e-05
8128,20,I,19.921875,1.7175634708871684e-05,1.7165981449441878e-05
8128,20,I,20.3125,1.7427305565063223e-05,1.727142281061485e-05
8128,20,I,20.703125,1.742191979302605e-05,1.7223665188663287e-05
8128,20,I,21.09375,1.7340546719649692e-05,1.7275783472406756e-05
8128,20,I,21.484375,1.7552527725910914e-05,1.7526371607632918e-05
8128,20,I,21.875,1.770994558207331e-05,1.7347325683361348e-05
8128,20,I,22.265625,1.753941095050231e-05,1.7343766019386726e-05
8128,20,I,22.65625,1.7362968311031185e-05,1.7687409383274156e-05
8128,20,I,23.046875,1.7551498944548636e-05,1.7979689627727847e-05
8128,20,I,23.4375,1.7544236986512798e-05,1.75571145663016e-05
8128,20,I,23.828125,1.7408369216327772e-05,1.725103008889326e-05
8128,20,I,24.21875,1.7511813097513248e-05,1.747476506559087e-05
8128,20,I,24.609375,1.7614826406057424e-05,1.7206453797106203e-05
8128,20,I,25.0,1.735310184509606e-05,1.7129558115715686e-05
8128,20,I,25.390625,1.7146267548172183e-05,1.728942728458642e-05
8128,20,I,25.78125,1.732613104256847e-05,1.7353649401410096e-05
8128,20,I,26.171875,1.7113733904407058e-05,1.690223605566863e-05
8128,20,I,26.5625,1.7365323885604145e-05,1.7203152813563078e-05
8128,20,I,26.953125,1.7704286275971938e-05,1.739643319966166e-05
8128,20,I,27.34375,1.7393995604638064e-05,1.7518613522574115e-05
8128,20,I,27.734375,1.694658071224169e-05,1.7274855394500686e-05
8128,20,I,28.125,1.7293971276097333e-05,1.7137273966088346e-05
8128,20,I,28.515625,1.733341121355147e-05,1.752379935149346e-05
8128,20,I,28.90625,1.7276761137418184e-05,1.7428902848490627e-05
8128,20,I,29.296875,1.7453236561080732e-05,1.7906631289829704e-05
8128,20,I,29.6875,1.7441124170284407e-05,1.7684033315031966e-05
8128,20,I,30.078125,1.761727916325538e-05,1.7723589907140307e-05
8128,20,I,30.46875,1.737238320228485e-05,1.7245000007464063e-05
8128,20,I,30.859375,1.7853228157584686e-05,1.7724206038214737e-05
8128,20,I,31.25,1.7903567182271308e-05,1.746457541556617e-05
8128,20,I,31.640625,1.7338997932590234e-05,1.7416137743281517e-05
8128,20,I,32.03125,1.750366755328821e-05,1.788727558712003e-05
8128,20,I,32.421875,1.739679203866267e-05,1.7660631466330784e-05
8128,20,I,32.8125,1.7386577124697603e-05,1.7376889813554935e-05
8128,20,I,33.203125,1.7542475895707914e-05,1.7274427169823037e-05
8128,20,I,33.59375,1.6994037846867954e-05,1.7156686987265245e-05
8128,20,I,33.984375,1.7533274738278246e-05,1.731659378126448e-05
8128,20,I,34.375,1.7571899196111662e-05,1.7128323559023022e-05
8128,20,I,34.765625,1.7301024706146887e-05,1.720454600291747e-05
8128,20,I,35.15625,1.7852966800145022e-05,1.7918901096095368e-05
8128,20,I,35.546875,1.7296262715982007e-05,1.7999729044233462e-05
8128,20,I,35.9375,1.716582215882859e-05,1.7440134381006826e-05
8128,20,I,36.328125,1.7491919487142993e-05,1.7467014066741564e-05
8128,20,I,36.71875,1.769219764018073e-05,1.752081024816872e-05
8128,20,I,37.109375,1.7446077729953403e-05,1.7623624607713272e-05
8128,20,I,37.5,1.7290028960956814e-05,1.7488992946890698e-05
8128,20,I,37.890625,1.732855431998002e-05,1.7424909033118532e-05
8128,20,I,38.28125,1.7320298101347938e-05,1.7662796860901105e-05
8128,20,I,38.671875,1.7707150246004726e-05,1.809229802596675e-05
8128,20,I,39.0625,1.7338049073975903e-05,1.803516498357676e-05
8128,20,I,39.453125,1.759408440416949e-05,1.7865516357709644e-05
8128,20,I,39.84375,1.4883036938822646e-05,1.4780623864756087e-05
8128,20,I,40.234375,3.908306332766074e-06,3.880199875618617e-06
8128,20,I,40.625,5.428599170482791e-08,5.440448121450441e-08
8128,20,I,41.015625,1.972546043004697e-09,1.9942126155021355e-09
8128,20,I,41.40625,2.980747409466298e-10,3.042022951948248e-10
8128,20,I,41.796875,7.72396214294883e-11,7.946381002548531e-11
8128,20,I,42.1875,2.686226438611261e-11,2.781025056799161e-11
8128,20,I,42.578125,1.1267006947316894e-11,1.1719666898629805e-11
8128,20,I,42.96875,5.383850124875828e-12,5.619321907485619e-12
8128,20,I,43.359375,2.8323673574762317e-12,2.9633916562938623e-12
8128,20,I,43.75,1.6045333507888707e-12,1.6815394020538907e-12
8128,20,I,44.140625,9.640180040899542e-13,1.0113977614355016e-12
8128,20,I,44.53125,6.076508475974733e-13,6.379705893337165e-13
8128,20,I,44.921875,3.986531839535365e-13,4.1873055950329816e-13
8128,20,I,45.3125,2.7061061453537225e-13,2.8432249824060044e-13
8128,20,I,45.703125,1.8923167935149903e-13,1.988580263640104e-13
8128,20,I,46.09375,1.3587702577918826e-13,1.4282006567552116e-13
8128,20,I,46.484375,9.996718433628979e-14,1.051061149758968e-13
8128,20,I,46.875,7.527573073173174e-14,7.916951986908802e-14
