model,kind,snr,condition,active,metric,n_seeds,mean,std,ci95_low,ci95_high
resnet,bandpass,0,covariance,all,macro_auroc,1,0.6070427633532455,,,
resnet,bandpass,0,covariance,all,macro_ap,1,0.3973863373648042,,,
resnet,bandpass,0,covariance,all,macro_f1,1,0.3967641831852358,,,
resnet,bandpass,0,covariance,all,micro_auroc,1,0.3736559139784946,,,
resnet,bandpass,0,covariance,all,micro_ap,1,0.2390993448469012,,,
resnet,bandpass,0,covariance,all,micro_f1,1,0.4054054054054054,,,
resnet,bandpass,0,covariance,all,brier,1,0.3550657927989959,,,
resnet,bandpass,0,covariance,all,ece,1,0.3957623495310545,,,
resnet,bandpass,0,covariance,all,mean_loss,1,1.162237680567897,,,
resnet,bandpass,0,covariance,all,mean_confidence,1,0.7164698839187622,,,
resnet,bandpass,0,covariance,all,mean_entropy,1,0.5156685633010047,,,
resnet,bandpass,0,covariance,all,clean_agreement,1,0.66,,,
resnet,bandpass,0,covariance,all,probability_shift,1,0.1189028471708297,,,
resnet,bandpass,0,covariance,all,auroc_NORM,1,0.6278511404561825,,,
resnet,bandpass,0,covariance,all,auroc_MI,1,0.5282651072124757,,,
resnet,bandpass,0,covariance,all,auroc_STTC,1,0.4325396825396825,,,
resnet,bandpass,0,covariance,all,auroc_CD,1,0.581002331002331,,,
resnet,bandpass,0,covariance,all,auroc_HYP,1,0.8655555555555555,,,
resnet,bandpass,0,covariance,all,ap_NORM,1,0.5594786497943147,,,
resnet,bandpass,0,covariance,all,ap_MI,1,0.2755814992547136,,,
resnet,bandpass,0,covariance,all,ap_STTC,1,0.3023287674614318,,,
resnet,bandpass,0,covariance,all,ap_CD,1,0.3014049778839258,,,
resnet,bandpass,0,covariance,all,ap_HYP,1,0.548137792429635,,,
resnet,bandpass,0,covariance,all,f1_NORM,1,0.5681818181818182,,,
resnet,bandpass,0,covariance,all,f1_MI,1,0.3333333333333333,,,
resnet,bandpass,0,covariance,all,f1_STTC,1,0.3508771929824561,,,
resnet,bandpass,0,covariance,all,f1_CD,1,0.3714285714285714,,,
resnet,bandpass,0,covariance,all,f1_HYP,1,0.36,,,
resnet,bandpass,0,electrode,all,macro_auroc,1,0.6157614254033243,,,
resnet,bandpass,0,electrode,all,macro_ap,1,0.4037199772353428,,,
resnet,bandpass,0,electrode,all,macro_f1,1,0.4036928104575163,,,
resnet,bandpass,0,electrode,all,micro_auroc,1,0.3791162634408602,,,
resnet,bandpass,0,electrode,all,micro_ap,1,0.2399279624568051,,,
resnet,bandpass,0,electrode,all,micro_f1,1,0.4258760107816711,,,
resnet,bandpass,0,electrode,all,brier,1,0.3535690307617187,,,
resnet,bandpass,0,electrode,all,ece,1,0.394422369942069,,,
resnet,bandpass,0,electrode,all,mean_loss,1,1.14772001889302,,,
resnet,bandpass,0,electrode,all,mean_confidence,1,0.7149785161018372,,,
resnet,bandpass,0,electrode,all,mean_entropy,1,0.5166184898418653,,,
resnet,bandpass,0,electrode,all,clean_agreement,1,0.686,,,
resnet,bandpass,0,electrode,all,probability_shift,1,0.1188802123069763,,,
resnet,bandpass,0,electrode,all,auroc_NORM,1,0.6442577030812325,,,
resnet,bandpass,0,electrode,all,auroc_MI,1,0.5334632878492528,,,
resnet,bandpass,0,electrode,all,auroc_STTC,1,0.4543650793650793,,,
resnet,bandpass,0,electrode,all,auroc_CD,1,0.5844988344988346,,,
resnet,bandpass,0,electrode,all,auroc_HYP,1,0.8622222222222222,,,
resnet,bandpass,0,electrode,all,ap_NORM,1,0.5785439717678564,,,
resnet,bandpass,0,electrode,all,ap_MI,1,0.2748559752987012,,,
resnet,bandpass,0,electrode,all,ap_STTC,1,0.3294259362961074,,,
resnet,bandpass,0,electrode,all,ap_CD,1,0.3018708841831005,,,
resnet,bandpass,0,electrode,all,ap_HYP,1,0.5339031186309484,,,
resnet,bandpass,0,electrode,all,f1_NORM,1,0.5777777777777777,,,
resnet,bandpass,0,electrode,all,f1_MI,1,0.2666666666666666,,,
resnet,bandpass,0,electrode,all,f1_STTC,1,0.4166666666666667,,,
resnet,bandpass,0,electrode,all,f1_CD,1,0.3823529411764705,,,
resnet,bandpass,0,electrode,all,f1_HYP,1,0.375,,,
resnet,bandpass,0,independent,all,macro_auroc,1,0.5809984425796382,,,
resnet,bandpass,0,independent,all,macro_ap,1,0.3696683486662596,,,
resnet,bandpass,0,independent,all,macro_f1,1,0.387800151115086,,,
resnet,bandpass,0,independent,all,micro_auroc,1,0.3633862567204301,,,
resnet,bandpass,0,independent,all,micro_ap,1,0.2366274733449871,,,
resnet,bandpass,0,independent,all,micro_f1,1,0.4054054054054054,,,
resnet,bandpass,0,independent,all,brier,1,0.3580584824085235,,,
resnet,bandpass,0,independent,all,ece,1,0.4029071915894746,,,
resnet,bandpass,0,independent,all,mean_loss,1,1.1674551717092774,,,
resnet,bandpass,0,independent,all,mean_confidence,1,0.7207626104354858,,,
resnet,bandpass,0,independent,all,mean_entropy,1,0.5113976784751335,,,
resnet,bandpass,0,independent,all,clean_agreement,1,0.66,,,
resnet,bandpass,0,independent,all,probability_shift,1,0.1218235790729522,,,
resnet,bandpass,0,independent,all,auroc_NORM,1,0.6318527410964385,,,
resnet,bandpass,0,independent,all,auroc_MI,1,0.4730344379467186,,,
resnet,bandpass,0,independent,all,auroc_STTC,1,0.3625992063492064,,,
resnet,bandpass,0,independent,all,auroc_CD,1,0.5775058275058275,,,
resnet,bandpass,0,independent,all,auroc_HYP,1,0.86,,,
resnet,bandpass,0,independent,all,ap_NORM,1,0.5659903321805897,,,
resnet,bandpass,0,independent,all,ap_MI,1,0.197475252997621,,,
resnet,bandpass,0,independent,all,ap_STTC,1,0.2223080752101369,,,
resnet,bandpass,0,independent,all,ap_CD,1,0.2977854742472986,,,
resnet,bandpass,0,independent,all,ap_HYP,1,0.5647826086956521,,,
resnet,bandpass,0,independent,all,f1_NORM,1,0.5454545454545454,,,
resnet,bandpass,0,independent,all,f1_MI,1,0.2790697674418604,,,
resnet,bandpass,0,independent,all,f1_STTC,1,0.3859649122807017,,,
resnet,bandpass,0,independent,all,f1_CD,1,0.3888888888888889,,,
resnet,bandpass,0,independent,all,f1_HYP,1,0.3396226415094339,,,
resnet,bandpass,0,independent_rms,all,macro_auroc,1,0.5779391666520887,,,
resnet,bandpass,0,independent_rms,all,macro_ap,1,0.3698476824639191,,,
resnet,bandpass,0,independent_rms,all,macro_f1,1,0.3824304211468123,,,
resnet,bandpass,0,independent_rms,all,micro_auroc,1,0.3626092069892473,,,
resnet,bandpass,0,independent_rms,all,micro_ap,1,0.236481923809756,,,
resnet,bandpass,0,independent_rms,all,micro_f1,1,0.4053333333333333,,,
resnet,bandpass,0,independent_rms,all,brier,1,0.3575417995452881,,,
resnet,bandpass,0,independent_rms,all,ece,1,0.3969283229932189,,,
resnet,bandpass,0,independent_rms,all,mean_loss,1,1.1625534718193271,,,
