kind,condition,lead_i,lead_j,covariance
bandpass,independent,I,I,0.00502848317704657
bandpass,independent,I,II,-1.9153716572943483e-05
bandpass,independent,I,III,-2.822687869114338e-05
bandpass,independent,I,aVR,-2.5947839992932278e-05
bandpass,independent,I,aVL,9.254152082196847e-06
bandpass,independent,I,aVF,-5.180302378054928e-05
bandpass,independent,I,V1,-4.016702774141456e-05
bandpass,independent,I,V2,2.8983846516945808e-05
bandpass,independent,I,V3,1.4611529505358332e-05
bandpass,independent,I,V4,7.313462834671607e-05
bandpass,independent,I,V5,3.96752936147547e-05
bandpass,independent,I,V6,2.0779464152170568e-05
bandpass,independent,II,I,-1.9153716572943483e-05
bandpass,independent,II,II,0.005051265171799759
bandpass,independent,II,III,6.0067421920679905e-05
bandpass,independent,II,aVR,-4.074661966162751e-05
bandpass,independent,II,aVL,-4.473861202942368e-06
bandpass,independent,II,aVF,-5.906124235878603e-05
bandpass,independent,II,V1,2.290124972512724e-05
bandpass,independent,II,V2,-3.352432417183464e-05
bandpass,independent,II,V3,-4.426056091238187e-05
bandpass,independent,II,V4,2.3917326676906712e-05
bandpass,independent,II,V5,-3.060022672364937e-05
bandpass,independent,II,V6,-1.4961898350918052e-05
bandpass,independent,III,I,-2.822687869114338e-05
bandpass,independent,III,II,6.0067421920679905e-05
bandpass,independent,III,III,0.005057451898210113
bandpass,independent,III,aVR,-8.58435239749615e-06
bandpass,independent,III,aVL,-1.868665549454193e-05
bandpass,independent,III,aVF,-2.7285689576451517e-05
bandpass,independent,III,V1,1.9639161093042822e-05
bandpass,independent,III,V2,-7.099895773582014e-06
bandpass,independent,III,V3,-1.85702505216182e-05
bandpass,independent,III,V4,1.293690681622956e-05
bandpass,independent,III,V5,-3.4113915248943505e-05
bandpass,independent,III,V6,1.242845428158667e-06
bandpass,independent,aVR,I,-2.5947839992932278e-05
bandpass,independent,aVR,II,-4.074661966162751e-05
bandpass,independent,aVR,III,-8.58435239749615e-06
bandpass,independent,aVR,aVR,0.005016746013471124
bandpass,independent,aVR,aVL,2.352358229831915e-05
bandpass,independent,aVR,aVF,1.9000635591686884e-05
bandpass,independent,aVR,V1,-1.3400022992895305e-05
bandpass,independent,aVR,V2,-1.1930023951906818e-05
bandpass,independent,aVR,V3,-3.931947583923433e-05
bandpass,independent,aVR,V4,4.453705794652438e-05
bandpass,independent,aVR,V5,-6.037812024717444e-05
bandpass,independent,aVR,V6,-9.00359033292921e-05
bandpass,independent,aVL,I,9.254152082196847e-06
bandpass,independent,aVL,II,-4.473861202942368e-06
bandpass,independent,aVL,III,-1.868665549454193e-05
bandpass,independent,aVL,aVR,2.352358229831915e-05
bandpass,independent,aVL,aVL,0.005034591302362095
bandpass,independent,aVL,aVF,-2.311918164981718e-05
bandpass,independent,aVL,V1,3.819556301003484e-05
bandpass,independent,aVL,V2,-2.811361522437162e-05
bandpass,independent,aVL,V3,3.916725303042472e-05
bandpass,independent,aVL,V4,5.4406606427166945e-06
bandpass,independent,aVL,V5,1.735320553069021e-05
bandpass,independent,aVL,V6,2.0150987570282633e-05
bandpass,independent,aVF,I,-5.180302378054928e-05
bandpass,independent,aVF,II,-5.906124235878603e-05
bandpass,independent,aVF,III,-2.7285689576451517e-05
bandpass,independent,aVF,aVR,1.9000635591686884e-05
bandpass,independent,aVF,aVL,-2.311918164981718e-05
bandpass,independent,aVF,aVF,0.005049857203061528
bandpass,independent,aVF,V1,4.1146627731664414e-05
bandpass,independent,aVF,V2,1.694333383001532e-06
bandpass,independent,aVF,V3,-2.8334456567186198e-05
bandpass,independent,aVF,V4,3.220984889587574e-05
bandpass,independent,aVF,V5,-5.346707958351174e-05
bandpass,independent,aVF,V6,-9.3290734147718e-06
bandpass,independent,V1,I,-4.016702774141456e-05
bandpass,independent,V1,II,2.290124972512724e-05
