model,kind,snr,active,comparison,condition,outcome,mean_difference,ci95_low,ci95_high,p_value,p_holm,standardized_effect,n_patients,n_records,n_seeds,inference_unit,bootstrap_seed,bootstrap_count,permutation_seed,permutation_count,permutation_method,holm_family,status,patient_median,patient_fraction_positive,mean_without_largest_1pct_abs,mean_without_largest_5pct_abs
resnet,bandpass,0,all,electrode_minus_independent_rms,all,loss,-0.014708376911319078,-0.028947166073578494,-0.00011569986538771699,0.04595404595404595,0.3676323676323676,-0.21285669996478787,91,100,1,patient,2662046700376582324,500,18323523666533878033,1000,monte_carlo_sign_flip_plus_one,all_active_primary_loss_noise_contrasts_all_models_kinds_snrs,ok,-0.01139526159215154,0.3626373626373626,-0.011584322380305816,-0.010671239652340502
resnet,bandpass,0,all,electrode_minus_independent_rms,all,mean_probability,0.002182751273576004,0.00017678591342843816,0.004165967570894696,0.053946053946053944,,0.21027161756903648,91,100,1,patient,8747934714243075321,500,8549132040223604947,1000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.0016338113695383073,0.5824175824175825,0.0018359124099831645,0.001242853172177149
resnet,bandpass,0,all,electrode_minus_independent_rms,all,probability_shift,-0.0018868063959794395,-0.004569696585866115,0.0010146812955631537,0.22277722277722278,,-0.13165847430640212,91,100,1,patient,15526541367543019616,500,134220581325899820,1000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,-0.0018662497401237487,0.37362637362637363,-0.0023867070141455208,-0.0018744032227088906
resnet,bandpass,0,all,electrode_minus_independent_rms,all,macro_auroc,0.03782225875123568,,,,,,91,100,1,training_seed,,0,,0,not_tested,not_tested,insufficient_seeds,,,,
resnet,bandpass,0,all,electrode_minus_independent_rms,all,macro_ap,0.03387229477142373,,,,,,91,100,1,training_seed,,0,,0,not_tested,not_tested,insufficient_seeds,,,,
resnet,bandpass,0,all,electrode_minus_independent_rms,all,macro_f1,0.02126238931070401,,,,,,91,100,1,training_seed,,0,,0,not_tested,not_tested,insufficient_seeds,,,,
resnet,bandpass,0,all,electrode_minus_independent,all,loss,-0.020360948051553907,-0.03573100581395103,-0.005620282505300999,0.011988011988011988,0.10789210789210789,-0.28710837170240494,91,100,1,patient,8270862914532235796,500,15473724806255252155,1000,monte_carlo_sign_flip_plus_one,all_active_primary_loss_noise_contrasts_all_models_kinds_snrs,ok,-0.011548200665313813,0.34065934065934067,-0.017315785508352423,-0.012919567118000389
resnet,bandpass,0,all,electrode_minus_independent,all,mean_probability,0.0022639100902889743,0.00016539232175964447,0.004569154914752441,0.04195804195804196,,0.2159698550720153,91,100,1,patient,9800682188222638348,500,11907618193930408779,1000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.0019700288772583007,0.5714285714285714,0.0019171801418937206,0.0007409419771676275
resnet,bandpass,0,all,electrode_minus_independent,all,probability_shift,-0.0028512644996779813,-0.005580065564063191,0.00010550140518646402,0.07492507492507493,,-0.19237606343189673,91,100,1,patient,16560102528320767303,500,6256792656630487780,1000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,-0.0028923958539962768,0.3626373626373626,-0.003363317592253206,-0.002868902492141535
resnet,bandpass,0,all,electrode_minus_independent,all,macro_auroc,0.03476298282368617,,,,,,91,100,1,training_seed,,0,,0,not_tested,not_tested,insufficient_seeds,,,,
