model,kind,snr,condition,active,metric,mean,n_seeds,rank,n_models,interpretation
resnet,bandpass,0,covariance,all,macro_ap,0.3973863373648042,1,1.0,1,descriptive_single_architecture
resnet,bandpass,0,covariance,all,macro_auroc,0.6070427633532455,1,1.0,1,descriptive_single_architecture
resnet,bandpass,0,covariance,all,macro_f1,0.3967641831852358,1,1.0,1,descriptive_single_architecture
resnet,bandpass,0,electrode,all,macro_ap,0.4037199772353428,1,1.0,1,descriptive_single_architecture
resnet,bandpass,0,electrode,all,macro_auroc,0.6157614254033243,1,1.0,1,descriptive_single_architecture
resnet,bandpass,0,electrode,all,macro_f1,0.4036928104575163,1,1.0,1,descriptive_single_architecture
resnet,bandpass,0,independent,all,macro_ap,0.3696683486662596,1,1.0,1,descriptive_single_architecture
resnet,bandpass,0,independent,all,macro_auroc,0.5809984425796382,1,1.0,1,descriptive_single_architecture
resnet,bandpass,0,independent,all,macro_f1,0.387800151115086,1,1.0,1,descriptive_single_architecture
resnet,bandpass,0,independent_rms,all,macro_ap,0.3698476824639191,1,1.0,1,descriptive_single_architecture
resnet,bandpass,0,independent_rms,all,macro_auroc,0.5779391666520887,1,1.0,1,descriptive_single_architecture
resnet,bandpass,0,independent_rms,all,macro_f1,0.3824304211468123,1,1.0,1,descriptive_single_architecture
resnet,bandpass,10,covariance,RA,macro_ap,0.4284810643407587,1,1.0,1,descriptive_single_architecture
resnet,bandpass,10,covariance,RA,macro_auroc,0.6336659810886555,1,1.0,1,descriptive_single_architecture
resnet,bandpass,10,covariance,RA,macro_f1,0.4094067047817048,1,1.0,1,descriptive_single_architecture
resnet,bandpass,10,covariance,all,macro_ap,0.4131323698064201,1,1.0,1,descriptive_single_architecture
resnet,bandpass,10,covariance,all,macro_auroc,0.64406307685631,1,1.0,1,descriptive_single_architecture
resnet,bandpass,10,covariance,all,macro_f1,0.4413869047619048,1,1.0,1,descriptive_single_architecture
resnet,bandpass,10,electrode,RA,macro_ap,0.4169252770672412,1,1.0,1,descriptive_single_architecture
resnet,bandpass,10,electrode,RA,macro_auroc,0.6324181214218807,1,1.0,1,descriptive_single_architecture
resnet,bandpass,10,electrode,RA,macro_f1,0.4222292639615473,1,1.0,1,descriptive_single_architecture
resnet,bandpass,10,electrode,all,macro_ap,0.4339624466965078,1,1.0,1,descriptive_single_architecture
resnet,bandpass,10,electrode,all,macro_auroc,0.6648271376340447,1,1.0,1,descriptive_single_architecture
resnet,bandpass,10,electrode,all,macro_f1,0.4305878674171357,1,1.0,1,descriptive_single_architecture
resnet,bandpass,10,independent,all,macro_ap,0.4255509424208568,1,1.0,1,descriptive_single_architecture
resnet,bandpass,10,independent,all,macro_auroc,0.6584831437025525,1,1.0,1,descriptive_single_architecture
resnet,bandpass,10,independent,all,macro_f1,0.4071159618040396,1,1.0,1,descriptive_single_architecture
resnet,bandpass,10,independent_rms,RA,macro_ap,0.4401280835028894,1,1.0,1,descriptive_single_architecture
resnet,bandpass,10,independent_rms,RA,macro_auroc,0.6561519616434477,1,1.0,1,descriptive_single_architecture
resnet,bandpass,10,independent_rms,RA,macro_f1,0.4265526926588078,1,1.0,1,descriptive_single_architecture
resnet,bandpass,10,independent_rms,all,macro_ap,0.4273341756268502,1,1.0,1,descriptive_single_architecture
resnet,bandpass,10,independent_rms,all,macro_auroc,0.6622546586554032,1,1.0,1,descriptive_single_architecture
resnet,bandpass,10,independent_rms,all,macro_f1,0.4166210700882821,1,1.0,1,descriptive_single_architecture
resnet,bandpass,20,covariance,all,macro_ap,0.450278627270975,1,1.0,1,descriptive_single_architecture
resnet,bandpass,20,covariance,all,macro_auroc,0.6661155749012893,1,1.0,1,descriptive_single_architecture
resnet,bandpass,20,covariance,all,macro_f1,0.4278746520606985,1,1.0,1,descriptive_single_architecture
resnet,bandpass,20,electrode,all,macro_ap,0.4542282661590295,1,1.0,1,descriptive_single_architecture
resnet,bandpass,20,electrode,all,macro_auroc,0.6764519808945948,1,1.0,1,descriptive_single_architecture
resnet,bandpass,20,electrode,all,macro_f1,0.4277199897265686,1,1.0,1,descriptive_single_architecture
resnet,bandpass,20,independent,all,macro_ap,0.4587077709539205,1,1.0,1,descriptive_single_architecture
resnet,bandpass,20,independent,all,macro_auroc,0.6798230527628656,1,1.0,1,descriptive_single_architecture
resnet,bandpass,20,independent,all,macro_f1,0.427463924029403,1,1.0,1,descriptive_single_architecture
resnet,bandpass,20,independent_rms,all,macro_ap,0.4527215270310273,1,1.0,1,descriptive_single_architecture
resnet,bandpass,20,independent_rms,all,macro_auroc,0.6785576526334304,1,1.0,1,descriptive_single_architecture
resnet,bandpass,20,independent_rms,all,macro_f1,0.4287698759634413,1,1.0,1,descriptive_single_architecture
resnet,clean,100,clean,all,macro_ap,0.4606974166244021,1,1.0,1,descriptive_single_architecture
resnet,clean,100,clean,all,macro_auroc,0.6814478665046628,1,1.0,1,descriptive_single_architecture
resnet,clean,100,clean,all,macro_f1,0.4237279919741888,1,1.0,1,descriptive_single_architecture
