model,seed,kind,snr,condition,active,metric,clean,noisy,clean_drop,normalized_robustness
resnet,17,bandpass,0,covariance,all,macro_auroc,0.6814478665046628,0.6070427633532455,0.07440510315141735,0.8908132128522864
resnet,17,bandpass,0,covariance,all,macro_ap,0.4606974166244021,0.3973863373648042,0.06331107925959789,0.8625755713493033
resnet,17,bandpass,0,covariance,all,macro_f1,0.4237279919741888,0.3967641831852358,0.026963808788952992,0.9363652878719142
resnet,17,bandpass,0,covariance,all,auroc_NORM,0.7106842737094838,0.6278511404561825,0.08283313325330133,0.8834459459447028
resnet,17,bandpass,0,covariance,all,auroc_MI,0.5971410006497726,0.5282651072124757,0.06887589343729694,0.8846572361247427
resnet,17,bandpass,0,covariance,all,auroc_STTC,0.5629960317460317,0.4325396825396825,0.13045634920634924,0.7682819383246265
resnet,17,bandpass,0,covariance,all,auroc_CD,0.6375291375291374,0.581002331002331,0.05652680652680642,0.9113345521009473
resnet,17,bandpass,0,covariance,all,auroc_HYP,0.8988888888888888,0.8655555555555555,0.033333333333333326,0.9629171817047384
resnet,17,bandpass,0,covariance,all,ap_NORM,0.6637085784687504,0.5594786497943147,0.1042299286744357,0.8429582921532389
resnet,17,bandpass,0,covariance,all,ap_MI,0.2919282460446278,0.2755814992547136,0.016346746789914213,0.9440042304492892
resnet,17,bandpass,0,covariance,all,ap_STTC,0.3905077347304957,0.3023287674614318,0.08817896726906393,0.77419405705064
resnet,17,bandpass,0,covariance,all,ap_CD,0.3514333127189256,0.3014049778839258,0.0500283348349998,0.8576448702349688
resnet,17,bandpass,0,covariance,all,ap_HYP,0.6059092111592111,0.548137792429635,0.05777141872957614,0.9046533413480315
resnet,17,bandpass,0,covariance,all,f1_NORM,0.6976744186046512,0.5681818181818182,0.12949260042283295,0.8143939393927722
resnet,17,bandpass,0,covariance,all,f1_MI,0.2162162162162162,0.3333333333333333,-0.11711711711711711,1.5416666666595364
resnet,17,bandpass,0,covariance,all,f1_STTC,0.4081632653061224,0.3508771929824561,0.05728607232366628,0.8596491228049115
resnet,17,bandpass,0,covariance,all,f1_CD,0.2702702702702703,0.3714285714285714,-0.1011583011583011,1.3742857142806293
resnet,17,bandpass,0,covariance,all,f1_HYP,0.5263157894736842,0.36,0.1663157894736842,0.6839999999987004
resnet,17,bandpass,0,electrode,all,macro_auroc,0.6814478665046628,0.6157614254033243,0.06568644110133848,0.9036075328268819
resnet,17,bandpass,0,electrode,all,macro_ap,0.4606974166244021,0.4037199772353428,0.0569774393890593,0.876323510109048
resnet,17,bandpass,0,electrode,all,macro_f1,0.4237279919741888,0.4036928104575163,0.020035181516672496,0.9527168799392285
resnet,17,bandpass,0,electrode,all,auroc_NORM,0.7106842737094838,0.6442577030812325,0.0664265706282513,0.906531531530256
resnet,17,bandpass,0,electrode,all,auroc_MI,0.5971410006497726,0.5334632878492528,0.06367771280051981,0.8933623503793527
resnet,17,bandpass,0,electrode,all,auroc_STTC,0.5629960317460317,0.4543650793650793,0.10863095238095244,0.8070484581483461
resnet,17,bandpass,0,electrode,all,auroc_CD,0.6375291375291374,0.5844988344988346,0.05303030303030287,0.9168190127956372
resnet,17,bandpass,0,electrode,all,auroc_HYP,0.8988888888888888,0.8622222222222222,0.036666666666666625,0.9592088998753235
resnet,17,bandpass,0,electrode,all,ap_NORM,0.6637085784687504,0.5785439717678564,0.08516460670089399,0.8716837336979283
resnet,17,bandpass,0,electrode,all,ap_MI,0.2919282460446278,0.2748559752987012,0.0170722707459266,0.9415189486519978
resnet,17,bandpass,0,electrode,all,ap_STTC,0.3905077347304957,0.3294259362961074,0.061081798434388324,0.8435836399568711
resnet,17,bandpass,0,electrode,all,ap_CD,0.3514333127189256,0.3018708841831005,0.0495624285358251,0.8589706019806842
resnet,17,bandpass,0,electrode,all,ap_HYP,0.6059092111592111,0.5339031186309484,0.07200609252826273,0.8811602609714688
resnet,17,bandpass,0,electrode,all,f1_NORM,0.6976744186046512,0.5777777777777777,0.11989664082687346,0.828148148146961
resnet,17,bandpass,0,electrode,all,f1_MI,0.2162162162162162,0.2666666666666666,-0.05045045045045041,1.2333333333276288
resnet,17,bandpass,0,electrode,all,f1_STTC,0.4081632653061224,0.4166666666666667,-0.008503401360544283,1.0208333333308326
resnet,17,bandpass,0,electrode,all,f1_CD,0.2702702702702703,0.3823529411764705,-0.11208267090620022,1.4147058823477066
resnet,17,bandpass,0,electrode,all,f1_HYP,0.5263157894736842,0.375,0.15131578947368418,0.7124999999986463
resnet,17,bandpass,0,independent,all,macro_auroc,0.6814478665046628,0.5809984425796382,0.10044942392502465,0.852594117814015
resnet,17,bandpass,0,independent,all,macro_ap,0.4606974166244021,0.3696683486662596,0.09102906795814253,0.8024102921480908
resnet,17,bandpass,0,independent,all,macro_f1,0.4237279919741888,0.387800151115086,0.03592784085910283,0.9152101311678117
resnet,17,bandpass,0,independent,all,auroc_NORM,0.7106842737094838,0.6318527410964385,0.07883153261304532,0.8890765765753255
resnet,17,bandpass,0,independent,all,auroc_MI,0.5971410006497726,0.4730344379467186,0.12410656270305398,0.7921653971695112
resnet,17,bandpass,0,independent,all,auroc_STTC,0.5629960317460317,0.3625992063492064,0.20039682539682535,0.6440528634349795
