model,kind,snr,condition,active,metric,n_seeds,mean,std,ci95_low,ci95_high
resnet,bandpass,0,covariance,all,ap_CD_clean_drop,1,0.0500283348349998,,,
resnet,bandpass,0,covariance,all,ap_CD_normalized_robustness,1,0.8576448702349688,,,
resnet,bandpass,0,covariance,all,ap_HYP_clean_drop,1,0.05777141872957614,,,
resnet,bandpass,0,covariance,all,ap_HYP_normalized_robustness,1,0.9046533413480315,,,
resnet,bandpass,0,covariance,all,ap_MI_clean_drop,1,0.016346746789914213,,,
resnet,bandpass,0,covariance,all,ap_MI_normalized_robustness,1,0.9440042304492892,,,
resnet,bandpass,0,covariance,all,ap_NORM_clean_drop,1,0.1042299286744357,,,
resnet,bandpass,0,covariance,all,ap_NORM_normalized_robustness,1,0.8429582921532389,,,
resnet,bandpass,0,covariance,all,ap_STTC_clean_drop,1,0.08817896726906393,,,
resnet,bandpass,0,covariance,all,ap_STTC_normalized_robustness,1,0.77419405705064,,,
resnet,bandpass,0,covariance,all,auroc_CD_clean_drop,1,0.05652680652680642,,,
resnet,bandpass,0,covariance,all,auroc_CD_normalized_robustness,1,0.9113345521009473,,,
resnet,bandpass,0,covariance,all,auroc_HYP_clean_drop,1,0.033333333333333326,,,
resnet,bandpass,0,covariance,all,auroc_HYP_normalized_robustness,1,0.9629171817047384,,,
resnet,bandpass,0,covariance,all,auroc_MI_clean_drop,1,0.06887589343729694,,,
resnet,bandpass,0,covariance,all,auroc_MI_normalized_robustness,1,0.8846572361247427,,,
resnet,bandpass,0,covariance,all,auroc_NORM_clean_drop,1,0.08283313325330133,,,
resnet,bandpass,0,covariance,all,auroc_NORM_normalized_robustness,1,0.8834459459447028,,,
resnet,bandpass,0,covariance,all,auroc_STTC_clean_drop,1,0.13045634920634924,,,
resnet,bandpass,0,covariance,all,auroc_STTC_normalized_robustness,1,0.7682819383246265,,,
resnet,bandpass,0,covariance,all,f1_CD_clean_drop,1,-0.1011583011583011,,,
resnet,bandpass,0,covariance,all,f1_CD_normalized_robustness,1,1.3742857142806293,,,
resnet,bandpass,0,covariance,all,f1_HYP_clean_drop,1,0.1663157894736842,,,
resnet,bandpass,0,covariance,all,f1_HYP_normalized_robustness,1,0.6839999999987004,,,
resnet,bandpass,0,covariance,all,f1_MI_clean_drop,1,-0.11711711711711711,,,
resnet,bandpass,0,covariance,all,f1_MI_normalized_robustness,1,1.5416666666595364,,,
resnet,bandpass,0,covariance,all,f1_NORM_clean_drop,1,0.12949260042283295,,,
resnet,bandpass,0,covariance,all,f1_NORM_normalized_robustness,1,0.8143939393927722,,,
resnet,bandpass,0,covariance,all,f1_STTC_clean_drop,1,0.05728607232366628,,,
resnet,bandpass,0,covariance,all,f1_STTC_normalized_robustness,1,0.8596491228049115,,,
resnet,bandpass,0,covariance,all,macro_ap_clean_drop,1,0.06331107925959789,,,
resnet,bandpass,0,covariance,all,macro_ap_normalized_robustness,1,0.8625755713493033,,,
resnet,bandpass,0,covariance,all,macro_auroc_clean_drop,1,0.07440510315141735,,,
resnet,bandpass,0,covariance,all,macro_auroc_normalized_robustness,1,0.8908132128522864,,,
resnet,bandpass,0,covariance,all,macro_f1_clean_drop,1,0.026963808788952992,,,
resnet,bandpass,0,covariance,all,macro_f1_normalized_robustness,1,0.9363652878719142,,,
resnet,bandpass,0,electrode,all,ap_CD_clean_drop,1,0.0495624285358251,,,
resnet,bandpass,0,electrode,all,ap_CD_normalized_robustness,1,0.8589706019806842,,,
resnet,bandpass,0,electrode,all,ap_HYP_clean_drop,1,0.07200609252826273,,,
resnet,bandpass,0,electrode,all,ap_HYP_normalized_robustness,1,0.8811602609714688,,,
resnet,bandpass,0,electrode,all,ap_MI_clean_drop,1,0.0170722707459266,,,
resnet,bandpass,0,electrode,all,ap_MI_normalized_robustness,1,0.9415189486519978,,,
resnet,bandpass,0,electrode,all,ap_NORM_clean_drop,1,0.08516460670089399,,,
resnet,bandpass,0,electrode,all,ap_NORM_normalized_robustness,1,0.8716837336979283,,,
resnet,bandpass,0,electrode,all,ap_STTC_clean_drop,1,0.061081798434388324,,,
