model,kind,snr,active,comparison,condition,metric,seed,left_value,right_value,difference,n_seeds,mean_difference,std,ci95_low,ci95_high
resnet,bandpass,0,all,electrode_minus_independent_rms,all,macro_auroc,17,0.6157614254033243,0.5779391666520887,0.03782225875123568,1,0.03782225875123568,,,
resnet,bandpass,0,all,electrode_minus_independent_rms,all,macro_ap,17,0.4037199772353428,0.3698476824639191,0.03387229477142373,1,0.03387229477142373,,,
resnet,bandpass,0,all,electrode_minus_independent_rms,all,macro_f1,17,0.4036928104575163,0.3824304211468123,0.02126238931070401,1,0.02126238931070401,,,
resnet,bandpass,0,all,electrode_minus_independent,all,macro_auroc,17,0.6157614254033243,0.5809984425796382,0.03476298282368617,1,0.03476298282368617,,,
resnet,bandpass,0,all,electrode_minus_independent,all,macro_ap,17,0.4037199772353428,0.3696683486662596,0.034051628569083225,1,0.034051628569083225,,,
resnet,bandpass,0,all,electrode_minus_independent,all,macro_f1,17,0.4036928104575163,0.387800151115086,0.015892659342430338,1,0.015892659342430338,,,
resnet,bandpass,0,all,covariance_minus_electrode,all,macro_auroc,17,0.6070427633532455,0.6157614254033243,-0.008718662050078874,1,-0.008718662050078874,,,
resnet,bandpass,0,all,covariance_minus_electrode,all,macro_ap,17,0.3973863373648042,0.4037199772353428,-0.006333639870538588,1,-0.006333639870538588,,,
resnet,bandpass,0,all,covariance_minus_electrode,all,macro_f1,17,0.3967641831852358,0.4036928104575163,-0.0069286272722804965,1,-0.0069286272722804965,,,
resnet,bandpass,0,all,noisy_minus_clean,covariance,macro_auroc,17,0.6070427633532455,0.6814478665046628,-0.07440510315141735,1,-0.07440510315141735,,,
resnet,bandpass,0,all,noisy_minus_clean,covariance,macro_ap,17,0.3973863373648042,0.4606974166244021,-0.06331107925959789,1,-0.06331107925959789,,,
resnet,bandpass,0,all,noisy_minus_clean,covariance,macro_f1,17,0.3967641831852358,0.4237279919741888,-0.026963808788952992,1,-0.026963808788952992,,,
resnet,bandpass,0,all,noisy_minus_clean,electrode,macro_auroc,17,0.6157614254033243,0.6814478665046628,-0.06568644110133848,1,-0.06568644110133848,,,
resnet,bandpass,0,all,noisy_minus_clean,electrode,macro_ap,17,0.4037199772353428,0.4606974166244021,-0.0569774393890593,1,-0.0569774393890593,,,
resnet,bandpass,0,all,noisy_minus_clean,electrode,macro_f1,17,0.4036928104575163,0.4237279919741888,-0.020035181516672496,1,-0.020035181516672496,,,
resnet,bandpass,0,all,noisy_minus_clean,independent,macro_auroc,17,0.5809984425796382,0.6814478665046628,-0.10044942392502465,1,-0.10044942392502465,,,
resnet,bandpass,0,all,noisy_minus_clean,independent,macro_ap,17,0.3696683486662596,0.4606974166244021,-0.09102906795814253,1,-0.09102906795814253,,,
resnet,bandpass,0,all,noisy_minus_clean,independent,macro_f1,17,0.387800151115086,0.4237279919741888,-0.03592784085910283,1,-0.03592784085910283,,,
resnet,bandpass,0,all,noisy_minus_clean,independent_rms,macro_auroc,17,0.5779391666520887,0.6814478665046628,-0.10350869985257416,1,-0.10350869985257416,,,
resnet,bandpass,0,all,noisy_minus_clean,independent_rms,macro_ap,17,0.3698476824639191,0.4606974166244021,-0.09084973416048303,1,-0.09084973416048303,,,
resnet,bandpass,0,all,noisy_minus_clean,independent_rms,macro_f1,17,0.3824304211468123,0.4237279919741888,-0.041297570827376506,1,-0.041297570827376506,,,
resnet,bandpass,10,RA,noisy_minus_clean,covariance,macro_auroc,17,0.6336659810886555,0.6814478665046628,-0.047781885416007364,1,-0.047781885416007364,,,
resnet,bandpass,10,RA,noisy_minus_clean,covariance,macro_ap,17,0.4284810643407587,0.4606974166244021,-0.03221635228364339,1,-0.03221635228364339,,,
resnet,bandpass,10,RA,noisy_minus_clean,covariance,macro_f1,17,0.4094067047817048,0.4237279919741888,-0.014321287192483989,1,-0.014321287192483989,,,
resnet,bandpass,10,RA,noisy_minus_clean,electrode,macro_auroc,17,0.6324181214218807,0.6814478665046628,-0.04902974508278213,1,-0.04902974508278213,,,
resnet,bandpass,10,RA,noisy_minus_clean,electrode,macro_ap,17,0.4169252770672412,0.4606974166244021,-0.043772139557160916,1,-0.043772139557160916,,,
resnet,bandpass,10,RA,noisy_minus_clean,electrode,macro_f1,17,0.4222292639615473,0.4237279919741888,-0.0014987280126415037,1,-0.0014987280126415037,,,
resnet,bandpass,10,RA,noisy_minus_clean,independent_rms,macro_auroc,17,0.6561519616434477,0.6814478665046628,-0.025295904861215135,1,-0.025295904861215135,,,
resnet,bandpass,10,RA,noisy_minus_clean,independent_rms,macro_ap,17,0.4401280835028894,0.4606974166244021,-0.020569333121512712,1,-0.020569333121512712,,,
resnet,bandpass,10,RA,noisy_minus_clean,independent_rms,macro_f1,17,0.4265526926588078,0.4237279919741888,0.002824700684618986,1,0.002824700684618986,,,
resnet,bandpass,10,all,electrode_minus_independent_rms,all,macro_auroc,17,0.6648271376340447,0.6622546586554032,0.002572478978641435,1,0.002572478978641435,,,
resnet,bandpass,10,all,electrode_minus_independent_rms,all,macro_ap,17,0.4339624466965078,0.4273341756268502,0.006628271069657576,1,0.006628271069657576,,,
resnet,bandpass,10,all,electrode_minus_independent_rms,all,macro_f1,17,0.4305878674171357,0.4166210700882821,0.013966797328853586,1,0.013966797328853586,,,
resnet,bandpass,10,all,electrode_minus_independent,all,macro_auroc,17,0.6648271376340447,0.6584831437025525,0.006343993931492209,1,0.006343993931492209,,,
resnet,bandpass,10,all,electrode_minus_independent,all,macro_ap,17,0.4339624466965078,0.4255509424208568,0.008411504275651016,1,0.008411504275651016,,,
resnet,bandpass,10,all,electrode_minus_independent,all,macro_f1,17,0.4305878674171357,0.4071159618040396,0.02347190561309609,1,0.02347190561309609,,,
resnet,bandpass,10,all,covariance_minus_electrode,all,macro_auroc,17,0.64406307685631,0.6648271376340447,-0.020764060777734628,1,-0.020764060777734628,,,
resnet,bandpass,10,all,covariance_minus_electrode,all,macro_ap,17,0.4131323698064201,0.4339624466965078,-0.0208300768900877,1,-0.0208300768900877,,,
resnet,bandpass,10,all,covariance_minus_electrode,all,macro_f1,17,0.4413869047619048,0.4305878674171357,0.010799037344769113,1,0.010799037344769113,,,
resnet,bandpass,10,all,noisy_minus_clean,covariance,macro_auroc,17,0.64406307685631,0.6814478665046628,-0.03738478964835279,1,-0.03738478964835279,,,
resnet,bandpass,10,all,noisy_minus_clean,covariance,macro_ap,17,0.4131323698064201,0.4606974166244021,-0.047565046817982015,1,-0.047565046817982015,,,
resnet,bandpass,10,all,noisy_minus_clean,covariance,macro_f1,17,0.4413869047619048,0.4237279919741888,0.017658912787715975,1,0.017658912787715975,,,
resnet,bandpass,10,all,noisy_minus_clean,electrode,macro_auroc,17,0.6648271376340447,0.6814478665046628,-0.016620728870618162,1,-0.016620728870618162,,,
resnet,bandpass,10,all,noisy_minus_clean,electrode,macro_ap,17,0.4339624466965078,0.4606974166244021,-0.026734969927894314,1,-0.026734969927894314,,,
resnet,bandpass,10,all,noisy_minus_clean,electrode,macro_f1,17,0.4305878674171357,0.4237279919741888,0.006859875442946861,1,0.006859875442946861,,,
resnet,bandpass,10,all,noisy_minus_clean,independent,macro_auroc,17,0.6584831437025525,0.6814478665046628,-0.02296472280211037,1,-0.02296472280211037,,,
resnet,bandpass,10,all,noisy_minus_clean,independent,macro_ap,17,0.4255509424208568,0.4606974166244021,-0.03514647420354533,1,-0.03514647420354533,,,
resnet,bandpass,10,all,noisy_minus_clean,independent,macro_f1,17,0.4071159618040396,0.4237279919741888,-0.016612030170149228,1,-0.016612030170149228,,,
resnet,bandpass,10,all,noisy_minus_clean,independent_rms,macro_auroc,17,0.6622546586554032,0.6814478665046628,-0.019193207849259597,1,-0.019193207849259597,,,
resnet,bandpass,10,all,noisy_minus_clean,independent_rms,macro_ap,17,0.4273341756268502,0.4606974166244021,-0.03336324099755189,1,-0.03336324099755189,,,
resnet,bandpass,10,all,noisy_minus_clean,independent_rms,macro_f1,17,0.4166210700882821,0.4237279919741888,-0.007106921885906725,1,-0.007106921885906725,,,
resnet,bandpass,20,all,electrode_minus_independent_rms,all,macro_auroc,17,0.6764519808945948,0.6785576526334304,-0.0021056717388355795,1,-0.0021056717388355795,,,
resnet,bandpass,20,all,electrode_minus_independent_rms,all,macro_ap,17,0.4542282661590295,0.4527215270310273,0.0015067391280021991,1,0.0015067391280021991,,,
resnet,bandpass,20,all,electrode_minus_independent_rms,all,macro_f1,17,0.4277199897265686,0.4287698759634413,-0.001049886236872688,1,-0.001049886236872688,,,
resnet,bandpass,20,all,electrode_minus_independent,all,macro_auroc,17,0.6764519808945948,0.6798230527628656,-0.003371071868270792,1,-0.003371071868270792,,,
resnet,bandpass,20,all,electrode_minus_independent,all,macro_ap,17,0.4542282661590295,0.4587077709539205,-0.004479504794891009,1,-0.004479504794891009,,,
resnet,bandpass,20,all,electrode_minus_independent,all,macro_f1,17,0.4277199897265686,0.427463924029403,0.00025606569716563055,1,0.00025606569716563055,,,
resnet,bandpass,20,all,covariance_minus_electrode,all,macro_auroc,17,0.6661155749012893,0.6764519808945948,-0.010336405993305542,1,-0.010336405993305542,,,
resnet,bandpass,20,all,covariance_minus_electrode,all,macro_ap,17,0.450278627270975,0.4542282661590295,-0.003949638888054496,1,-0.003949638888054496,,,
resnet,bandpass,20,all,covariance_minus_electrode,all,macro_f1,17,0.4278746520606985,0.4277199897265686,0.00015466233412991803,1,0.00015466233412991803,,,
resnet,bandpass,20,all,noisy_minus_clean,covariance,macro_auroc,17,0.6661155749012893,0.6814478665046628,-0.015332291603373571,1,-0.015332291603373571,,,
resnet,bandpass,20,all,noisy_minus_clean,covariance,macro_ap,17,0.450278627270975,0.4606974166244021,-0.010418789353427105,1,-0.010418789353427105,,,
resnet,bandpass,20,all,noisy_minus_clean,covariance,macro_f1,17,0.4278746520606985,0.4237279919741888,0.0041466600865097125,1,0.0041466600865097125,,,
resnet,bandpass,20,all,noisy_minus_clean,electrode,macro_auroc,17,0.6764519808945948,0.6814478665046628,-0.004995885610068029,1,-0.004995885610068029,,,
