epoch,train_loss,val_loss,val_macro_auroc,val_macro_ap,val_macro_f1_at_0p5,clean_count,clean_fraction,independent_count,independent_fraction,electrode_count,electrode_fraction,snr_20_count,snr_10_count,combo_RA_LA_LL_count,combo_V1_count,combo_V2_count,combo_V3_count,combo_V4_count,combo_V5_count,combo_V6_count,combo_RA_LA_count,combo_LA_LL_count,combo_RA_LL_count,actual_snr_db_count,actual_snr_db_mean,actual_snr_db_std,actual_snr_db_min,actual_snr_db_max,actual_snr_error_db_count,actual_snr_error_db_mean,actual_snr_error_db_std,actual_snr_error_db_min,actual_snr_error_db_max,rms_match_relative_error_count,rms_match_relative_error_mean,rms_match_relative_error_std,rms_match_relative_error_min,rms_match_relative_error_max,exposure_count,unique_records,exposure_min,exposure_max,order_sha256,epoch_seconds,elapsed_seconds
1,0.35096482378178806,0.33160851150056747,0.8973744263660646,0.7552460420858009,0.6171269323072457,17084,1.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,,0,,,,,17084,17084,1,1,7b160a32602113665655291d4bb11f1c3439bd0a17bde695fc63c1bc3d9c8035,55.2519935000455,55.2947915000841
2,0.29407518101475383,0.31303587572550173,0.9032830113042613,0.7702753890079177,0.6702645912217589,17084,1.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,,0,,,,,17084,17084,1,1,702a970c07a7e06e15e3d63ca928870b3959ae324716c57a04a09209ef10dc5d,55.42635680001695,110.88962600007653
3,0.27499161013477275,0.3025127670416072,0.9092826836004951,0.7792405011285274,0.6743298917117936,17084,1.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,,0,,,,,17084,17084,1,1,8a2ae16df489f5e9e49041b8a23d13f3888e3611260faabcdf64b5394b0c10b9,55.32486719998997,166.43851750006434
4,0.2601760491725294,0.29742338653490685,0.9143160770785311,0.7935836422011,0.6981434132823257,17084,1.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,,0,,,,,17084,17084,1,1,65c8914bec6fa9fcb9b27fff30635d223d8e25a47448a9572882e918ab53211f,55.43215050001163,222.05145440006163
5,0.24758530518568195,0.30694852176383625,0.911862367487644,0.7912585348153416,0.6963345322800514,17084,1.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,,0,,,,,17084,17084,1,1,6d73870553b0ed99b591cc90529451c8603dac4413e94d3154cd08fb5e4fe0a0,55.502597699989565,277.74643020005897
6,0.23615050370284027,0.31726403774664097,0.911017755638291,0.783434418102999,0.7009335707788024,17084,1.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,,0,,,,,17084,17084,1,1,9a24f5970fb15a8502523e599a275410a899177e35b8f21de03f91c4fe6b2fa5,55.60275510000065,333.5031901000766
7,0.2217596884397343,0.36404941346971986,0.9006036617929324,0.7712750099096939,0.6386656756206484,17084,1.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,,0,,,,,17084,17084,1,1,0d1a841bd70049abf3fc32768bfe45d61f892a88b47f8beb0053acae4d72f276,55.692092299927026,389.34092430002056
8,0.20829001489483315,0.33813627465573404,0.9024635395303356,0.774714830718299,0.6967895151813044,17084,1.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,,0,,,,,17084,17084,1,1,c964f517867c7a51f4026e7bd789cf2e4f41595cea9a7469b9fc11428de2fc18,55.46095840004273,444.9400927000679
9,0.19517586496249767,0.3535623381822218,0.8998160343337176,0.7650390543643819,0.6426262220351173,17084,1.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,,0,,,,,17084,17084,1,1,7d9523df1df85233b56ac723e5c6d8634af21d3daa80039bde81c22d25174c96,55.57700350007508,500.66031550010666
10,0.1816723386693185,0.3678405702891799,0.9055193750980992,0.7775919287458564,0.6744825392465359,17084,1.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,,0,,,,,17084,17084,1,1,a9c869fe50e8fcbd3c99d24bd71f2dc31368d27f55aa7f05fe2a4ab70ec57da0,55.554675000021234,556.3586777000455
11,0.15680443356478696,0.41520142421917944,0.9009542241987024,0.7541412724379765,0.6182658635816523,17084,1.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,,0,,,,,17084,17084,1,1,e538b8571529be78707de2e15d086388771c63a2d1329f2471289f8e37ebd544,55.5796290000435,612.0576773000648
12,0.14576448677393347,0.3848882474192702,0.8960756444592046,0.7514032615012939,0.6700135920078386,17084,1.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,,0,,,,,17084,17084,1,1,9504d1207884869acfd35df03ac58b8d544ce2bcd9601830a38e4c2c539a3c40,55.599264300079085,667.8288863000926
13,0.12781873161509175,0.5234365332159947,0.8934270140048033,0.7505250669258207,0.6088713341797034,17084,1.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,,0,,,,,17084,17084,1,1,3a8fa19ea31d5a8bcde347adc6e8796566529c1abda2e4532b879c71386ad70b,55.61720450001303,723.587781600072
14,0.11020372083157239,0.471571073588765,0.8901237726197593,0.7473403884094798,0.6737787068040897,17084,1.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,,0,,,,,17084,17084,1,1,8e1692583d4de1e6a728bb4bd87f26315718766197b06d9aba8c4815f22386bd,55.57742139999755,779.3000894000288
15,0.09442278909385972,0.5299361330654059,0.8880677254155218,0.7375762352227498,0.6523281905945412,17084,1.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,,0,,,,,17084,17084,1,1,e535c09a409735f7e95c1a8f6b4ac3cb27989055be460d421d4e9354bb711f16,56.03149239998311,835.4802567000734
16,0.08667235677044388,0.5477145586409307,0.887888135103076,0.7408857695107898,0.6619811685971186,17084,1.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,,0,,,,,17084,17084,1,1,ad625687cc74a8e33d1029ecd2da499575dea7cf006ee6094a4c90789299dd88,55.593336699996144,891.2200940001057
17,0.07107155285627383,0.7047622962077977,0.8872672892601455,0.7405406092969766,0.6361521930750516,17084,1.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,,0,,,,,17084,17084,1,1,542bad616272a7cc06fd6caf9b5eaaa3678c2a81a54c20fcc5b3ce5e460c696d,55.58404729992617,946.9441086000297
18,0.06038435894818865,0.5755241302719543,0.8912369511341502,0.7484454258266356,0.6765256885556703,17084,1.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,,0,,,,,17084,17084,1,1,d96a7714afed8b700b66e9ebe75883bbe5c6ab393a67f1031bc646dbc13ac2b8,55.65290759992786,1002.7586885000346
19,0.05286164752383669,0.7114200868122176,0.8910379826652013,0.7498287671780736,0.6359547781320498,17084,1.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,,0,,,,,17084,17084,1,1,75caf109b36e9a433db345649a650c7aea2c1a88e1abe464b2a0a01082892380,55.60550639999565,1058.5017582
20,0.055437328363261776,0.6411850882376451,0.8758299667829211,0.7190251385426455,0.6471630423415446,17084,1.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,,0,,,,,17084,17084,1,1,447d919b1545457380ce55cfc06034e0fb462b97c586e7336ea3d96dedf106f5,55.73871549998876,1114.3916589000728
21,0.049561272731809256,0.6455911851218118,0.8892593583033801,0.737330970061753,0.6612785225133037,17084,1.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,,0,,,,,17084,17084,1,1,d69c82017db74676daa5369371dd9fca3b48e1b0593666fe54855109ea3ccd8e,55.509112200001255,1170.0527849000646
22,0.04168825934210836,0.7599252566264705,0.8807853931280546,0.7285257972735975,0.62139925723598,17084,1.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,,0,,,,,17084,17084,1,1,bad9f909dc2c606410d60702bc7b1fd9a5c094319178acf33c298ebac0dd4556,55.45305130002089,1225.6446962000336
