epoch,train_loss,val_loss,val_macro_auroc,val_macro_ap,val_macro_f1_at_0p5,clean_count,clean_fraction,independent_count,independent_fraction,electrode_count,electrode_fraction,snr_20_count,snr_10_count,combo_RA_LA_LL_count,combo_V1_count,combo_V2_count,combo_V3_count,combo_V4_count,combo_V5_count,combo_V6_count,combo_RA_LA_count,combo_LA_LL_count,combo_RA_LL_count,actual_snr_db_count,actual_snr_db_mean,actual_snr_db_std,actual_snr_db_min,actual_snr_db_max,actual_snr_error_db_count,actual_snr_error_db_mean,actual_snr_error_db_std,actual_snr_error_db_min,actual_snr_error_db_max,rms_match_relative_error_count,rms_match_relative_error_mean,rms_match_relative_error_std,rms_match_relative_error_min,rms_match_relative_error_max,exposure_count,unique_records,exposure_min,exposure_max,order_sha256,epoch_seconds,elapsed_seconds
1,0.3544993200100604,0.34383457735222517,0.8939184792135304,0.754742161638237,0.6428731222541061,8530,0.49929758838679467,4316,0.25263404354952,4238,0.24806836806368532,4282,4272,2120,703,713,711,687,726,718,727,720,729,8554,15.005845172875024,4.999996479323981,9.999999997731463,19.99999991461574,8554,-4.5736150833126024e-08,1.0479471184562934e-07,-2.0657632049392305e-07,1.224694941015514e-07,4316,3.7078167259201383e-09,2.180185222552942e-09,3.4683853793954125e-12,1.2616512960638493e-08,17084,17084,1,1,6f1993399597817707f8a6b450062b2ac9dfbae97e3c26fdbafa3876f3c71b9f,69.19013539992739,69.28191689995583
2,0.298034180378752,0.31726769387777565,0.9043484536556079,0.7745393818444865,0.6556969104519694,8456,0.49496605010536177,4385,0.2566729103254507,4243,0.24836103956918754,4307,4321,2236,734,699,695,755,694,702,684,710,719,8628,14.991886834318779,4.999993313671435,9.999999992416999,19.999999900676283,8628,-4.560704461755914e-08,1.0481574801431347e-07,-2.011076354335728e-07,1.1061179705507129e-07,4385,3.729533954265903e-09,2.1903616403459515e-09,2.0036329072809518e-13,1.1485258786244544e-08,17084,17084,1,1,fbd58fae15581851333b2214e431e4c878b08718e1fb3a217b594860e952daf6,69.22233120002784,138.6818242999725
3,0.2765481202531492,0.3624568542696445,0.9041826078570148,0.7743768486058522,0.6731469812827389,8526,0.49906345118239287,4253,0.248946382580192,4305,0.2519901662374151,4213,4345,2098,752,734,739,709,686,723,669,730,718,8558,14.922879133257682,4.99940509858401,10.00000000247963,19.999999905431885,8558,-4.412021013154242e-08,1.0469671727993075e-07,-1.9630716252549973e-07,1.2322666265163207e-07,4253,3.73946278700757e-09,2.2089447424895134e-09,8.016731113419889e-13,1.1010846662658959e-08,17084,17084,1,1,ad67e97da31c6c6e8d53390b7c91f1e4d7043ce88f71d312e20617a99f4c028d,70.25317839998752,209.11707939999178
4,0.26548749160303275,0.3020708737591106,0.9134208526790797,0.790144472302681,0.6872845166314514,8496,0.49730742214937956,4352,0.254741278389136,4236,0.24795129946148442,4343,4245,2141,666,696,729,719,764,714,679,717,763,8588,15.057056310882082,4.9996743428807475,10.000000001557526,19.999999901972203,8588,-4.682634839442457e-08,1.0450902956190767e-07,-2.0244735310370743e-07,1.1191098181484449e-07,4352,3.745239650636497e-09,2.154154848506675e-09,4.697312464767824e-12,1.1169756135305824e-08,17084,17084,1,1,c142015265109bf3115a5aa0f57e38dc3fab483d906ce00cc06a64cef26d8520,69.8626184000168,279.16766100004315
5,0.25644317261998534,0.30349663105504265,0.9102814848788198,0.7842304327499493,0.6994572335266297,8482,0.49648794193397333,4320,0.2528681807539218,4282,0.2506438773121049,4270,4332,2124,711,775,714,697,742,718,720,694,707,8602,14.963961824301483,4.999870019711857,10.000000003992987,19.999999904494587,8602,-4.5031230004274706e-08,1.0472537102588227e-07,-2.1086860613195313e-07,1.1400866384292385e-07,4320,3.708704706974441e-09,2.155371449070209e-09,4.4847656837604445e-12,1.104572324941256e-08,17084,17084,1,1,dade26ffcc8a2911f46ab1e4d268ba84ddb9b1c58115b0808cdb5dc759a968f2,69.04421960003674,348.3854263999965
6,0.24530391622220457,0.30980865875361463,0.9134317851402637,0.7864321057629585,0.6950433797518543,8506,0.497892765160384,4255,0.24906345118239287,4323,0.25304378365722313,4287,4291,2078,699,735,693,763,728,713,716,744,709,8578,14.997668408834974,4.99999935243303,10.000000002521638,19.999999910890548,8578,-4.535015278091117e-08,1.0473655944533691e-07,-2.0615454587868953e-07,1.170558423524426e-07,4255,3.767320799784011e-09,2.190207369958788e-09,2.468609816750845e-12,1.129585208930252e-08,17084,17084,1,1,467dd47a25244e09706bde8ac41065cc546707cb4f27da0ad6133713ad558b08,68.80089890002273,417.31879020005
7,0.23458093780875067,0.3127609915746669,0.9114950018567857,0.7860462987964388,0.6822859600335139,8539,0.4998243970966987,4246,0.24853664247248888,4299,0.25163896043081246,4324,4221,2143,686,685,706,741,737,702,687,737,721,8545,15.060269116711229,4.999636645576083,10.000000005544528,19.999999905243264,8545,-4.6542136881528064e-08,1.0480243980024932e-07,-2.0269724032573322e-07,1.2295680029694722e-07,4246,3.7232519055353584e-09,2.1856389184142357e-09,2.8220603769779746e-12,1.1205065193650015e-08,17084,17084,1,1,9b1e3ba6fb1ffb38c9d8671f19590bb288d9a441da139fd6b1bf23228f78f504,68.939913899987,486.46287599997595
8,0.227130467566247,0.3241501426930085,0.908992939697631,0.7791079298368305,0.6761617196049724,8747,0.5119995317255912,4122,0.24127838913603372,4215,0.2467220791383751,4222,4115,2051,680,722,698,666,687,710,725,703,695,8337,15.064171717787538,4.999588077543052,10.000000001301974,19.99999990599036,8337,-4.6636115677242826e-08,1.0473053465011771e-07,-2.0431305003398847e-07,1.1718179138142659e-07,4122,3.745121274106907e-09,2.198739393963966e-09,1.9494223494381676e-12,1.1015705210527752e-08,17084,17084,1,1,75468ff6879ce64a6a157dc434c08871dd4de7635c12c2ce1f1b2ad2f4075bd5,68.93618860002607,555.5425920999842
9,0.21831081384407836,0.331486308285819,0.9053026738678668,0.776410365027244,0.6647515583883375,8505,0.4978342308592835,4302,0.2518145633341138,4277,0.2503512058066027,4300,4279,2210,699,711,700,713,711,698,694,718,725,8579,15.012239143164383,4.999984916301742,9.999999997659831,19.99999990588217,8579,-4.555224947386402e-08,1.0467676426735172e-07,-2.0670017164547971e-07,1.259311410706232e-07,4302,3.729288331560504e-09,2.1627926730064614e-09,8.447791516009506e-13,1.1135886759058945e-08,17084,17084,1,1,10fb885a96964f2e8bd2b999aae630737767628593af55893ce76b666480277d,68.92606590001378,624.6217644000426
10,0.20564912491242743,0.32976494072645707,0.9079605955313523,0.7795428045036722,0.7095053872319703,8522,0.49882931397799113,4278,0.2504097401077031,4284,0.2507609459143058,4327,4235,2133,730,774,708,716,724,670,718,693,696,8562,15.05372571837276,4.9997112421998775,10.00000000148363,19.999999900768675,8562,-4.6635416988845116e-08,1.0448528823965108e-07,-2.0654888288618167e-07,1.1039933767165167e-07,4278,3.718182956365679e-09,2.1317800513925737e-09,3.515577114009977e-13,1.0789014191781948e-08,17084,17084,1,1,c43fa8848e27a9dad9600a8851c9d51e9dcfa0822f675e9318c3128612db87e3,69.35087110009044,694.1108627000358
