epoch,train_loss,val_loss,val_macro_auroc,val_macro_ap,val_macro_f1_at_0p5,clean_count,clean_fraction,independent_count,independent_fraction,electrode_count,electrode_fraction,snr_20_count,snr_10_count,combo_RA_LA_LL_count,combo_V1_count,combo_V2_count,combo_V3_count,combo_V4_count,combo_V5_count,combo_V6_count,combo_RA_LA_count,combo_LA_LL_count,combo_RA_LL_count,actual_snr_db_count,actual_snr_db_mean,actual_snr_db_std,actual_snr_db_min,actual_snr_db_max,actual_snr_error_db_count,actual_snr_error_db_mean,actual_snr_error_db_std,actual_snr_error_db_min,actual_snr_error_db_max,rms_match_relative_error_count,rms_match_relative_error_mean,rms_match_relative_error_std,rms_match_relative_error_min,rms_match_relative_error_max,exposure_count,unique_records,exposure_min,exposure_max,order_sha256,epoch_seconds,elapsed_seconds
1,0.4459150251349139,0.4304336513022008,0.8399359087266106,0.638383982407101,0.486375737623408,8530,0.49929758838679467,4316,0.25263404354952,4238,0.24806836806368532,4282,4272,2120,703,713,711,687,726,718,727,720,729,8554,15.005845172875024,4.999996479323981,9.999999997731463,19.99999991461574,8554,-4.5736150833126024e-08,1.0479471184562934e-07,-2.0657632049392305e-07,1.224694941015514e-07,4316,3.7078167259201383e-09,2.180185222552942e-09,3.4683853793954125e-12,1.2616512960638493e-08,17084,17084,1,1,6f1993399597817707f8a6b450062b2ac9dfbae97e3c26fdbafa3876f3c71b9f,60.281659799977206,60.32533969997894
2,0.3708819707755712,0.3921798786768153,0.8686299505146995,0.6910491637007455,0.5653844931085859,8456,0.49496605010536177,4385,0.2566729103254507,4243,0.24836103956918754,4307,4321,2236,734,699,695,755,694,702,684,710,719,8628,14.991886834318779,4.999993313671435,9.999999992416999,19.999999900676283,8628,-4.560704461755914e-08,1.0481574801431347e-07,-2.011076354335728e-07,1.1061179705507129e-07,4385,3.729533954265903e-09,2.1903616403459515e-09,2.0036329072809518e-13,1.1485258786244544e-08,17084,17084,1,1,fbd58fae15581851333b2214e431e4c878b08718e1fb3a217b594860e952daf6,47.75508449994959,108.30203429993708
3,0.34518930627880484,0.43047694413326437,0.8783037289683489,0.717716881032546,0.5401294687472291,8526,0.49906345118239287,4253,0.248946382580192,4305,0.2519901662374151,4213,4345,2098,752,734,739,709,686,723,669,730,718,8558,14.922879133257682,4.99940509858401,10.00000000247963,19.999999905431885,8558,-4.412021013154242e-08,1.0469671727993075e-07,-1.9630716252549973e-07,1.2322666265163207e-07,4253,3.73946278700757e-09,2.2089447424895134e-09,8.016731113419889e-13,1.1010846662658959e-08,17084,17084,1,1,ad67e97da31c6c6e8d53390b7c91f1e4d7043ce88f71d312e20617a99f4c028d,44.84293439995963,153.31643639993854
4,0.3324104611557112,0.33966730244784077,0.8914425877032157,0.7415230733955755,0.652522620589556,8496,0.49730742214937956,4352,0.254741278389136,4236,0.24795129946148442,4343,4245,2141,666,696,729,719,764,714,679,717,763,8588,15.057056310882082,4.9996743428807475,10.000000001557526,19.999999901972203,8588,-4.682634839442457e-08,1.0450902956190767e-07,-2.0244735310370743e-07,1.1191098181484449e-07,4352,3.745239650636497e-09,2.154154848506675e-09,4.697312464767824e-12,1.1169756135305824e-08,17084,17084,1,1,c142015265109bf3115a5aa0f57e38dc3fab483d906ce00cc06a64cef26d8520,44.83266429998912,198.2954915999435
5,0.3189296559340165,0.39886487421873895,0.8898204272463511,0.7467515494181474,0.6249881203759966,8482,0.49648794193397333,4320,0.2528681807539218,4282,0.2506438773121049,4270,4332,2124,711,775,714,697,742,718,720,694,707,8602,14.963961824301483,4.999870019711857,10.000000003992987,19.999999904494587,8602,-4.5031230004274706e-08,1.0472537102588227e-07,-2.1086860613195313e-07,1.1400866384292385e-07,4320,3.708704706974441e-09,2.155371449070209e-09,4.4847656837604445e-12,1.104572324941256e-08,17084,17084,1,1,dade26ffcc8a2911f46ab1e4d268ba84ddb9b1c58115b0808cdb5dc759a968f2,45.84870829991996,244.3105941999238
6,0.30860027377791327,0.3239638709288719,0.8993787242106357,0.7655527849800825,0.6770024691491957,8506,0.497892765160384,4255,0.24906345118239287,4323,0.25304378365722313,4287,4291,2078,699,735,693,763,728,713,716,744,709,8578,14.997668408834974,4.99999935243303,10.000000002521638,19.999999910890548,8578,-4.535015278091117e-08,1.0473655944533691e-07,-2.0615454587868953e-07,1.170558423524426e-07,4255,3.767320799784011e-09,2.190207369958788e-09,2.468609816750845e-12,1.129585208930252e-08,17084,17084,1,1,467dd47a25244e09706bde8ac41065cc546707cb4f27da0ad6133713ad558b08,44.916767599992454,289.34919530001935
7,0.3022264560570736,0.3345933632937304,0.9006500215499786,0.7667276621295136,0.6799669556483643,8539,0.4998243970966987,4246,0.24853664247248888,4299,0.25163896043081246,4324,4221,2143,686,685,706,741,737,702,687,737,721,8545,15.060269116711229,4.999636645576083,10.000000005544528,19.999999905243264,8545,-4.6542136881528064e-08,1.0480243980024932e-07,-2.0269724032573322e-07,1.2295680029694722e-07,4246,3.7232519055353584e-09,2.1856389184142357e-09,2.8220603769779746e-12,1.1205065193650015e-08,17084,17084,1,1,9b1e3ba6fb1ffb38c9d8671f19590bb288d9a441da139fd6b1bf23228f78f504,44.96846830006689,334.4726951000048
8,0.2967036986792012,0.3383187809950374,0.9049665414751878,0.7784219755348921,0.6730346784586994,8747,0.5119995317255912,4122,0.24127838913603372,4215,0.2467220791383751,4222,4115,2051,680,722,698,666,687,710,725,703,695,8337,15.064171717787538,4.999588077543052,10.000000001301974,19.99999990599036,8337,-4.6636115677242826e-08,1.0473053465011771e-07,-2.0431305003398847e-07,1.1718179138142659e-07,4122,3.745121274106907e-09,2.198739393963966e-09,1.9494223494381676e-12,1.1015705210527752e-08,17084,17084,1,1,75468ff6879ce64a6a157dc434c08871dd4de7635c12c2ce1f1b2ad2f4075bd5,44.46672840008978,379.109408600023
9,0.28940312327475604,0.3214929361045638,0.9067300757451104,0.779002220773808,0.6763434206597205,8505,0.4978342308592835,4302,0.2518145633341138,4277,0.2503512058066027,4300,4279,2210,699,711,700,713,711,698,694,718,725,8579,15.012239143164383,4.999984916301742,9.999999997659831,19.99999990588217,8579,-4.555224947386402e-08,1.0467676426735172e-07,-2.0670017164547971e-07,1.259311410706232e-07,4302,3.729288331560504e-09,2.1627926730064614e-09,8.447791516009506e-13,1.1135886759058945e-08,17084,17084,1,1,10fb885a96964f2e8bd2b999aae630737767628593af55893ce76b666480277d,45.09880259993952,424.37077589996625
10,0.2852289025041377,0.390830409993441,0.9020875204481527,0.772715821135868,0.6478477199985818,8522,0.49882931397799113,4278,0.2504097401077031,4284,0.2507609459143058,4327,4235,2133,730,774,708,716,724,670,718,693,696,8562,15.05372571837276,4.9997112421998775,10.00000000148363,19.999999900768675,8562,-4.6635416988845116e-08,1.0448528823965108e-07,-2.0654888288618167e-07,1.1039933767165167e-07,4278,3.718182956365679e-09,2.1317800513925737e-09,3.515577114009977e-13,1.0789014191781948e-08,17084,17084,1,1,c43fa8848e27a9dad9600a8851c9d51e9dcfa0822f675e9318c3128612db87e3,45.3099715000717,469.8333239000058
