epoch,train_loss,val_loss,val_macro_auroc,val_macro_ap,val_macro_f1_at_0p5,clean_count,clean_fraction,independent_count,independent_fraction,electrode_count,electrode_fraction,snr_20_count,snr_10_count,combo_RA_LA_LL_count,combo_V1_count,combo_V2_count,combo_V3_count,combo_V4_count,combo_V5_count,combo_V6_count,combo_RA_LA_count,combo_LA_LL_count,combo_RA_LL_count,actual_snr_db_count,actual_snr_db_mean,actual_snr_db_std,actual_snr_db_min,actual_snr_db_max,actual_snr_error_db_count,actual_snr_error_db_mean,actual_snr_error_db_std,actual_snr_error_db_min,actual_snr_error_db_max,rms_match_relative_error_count,rms_match_relative_error_mean,rms_match_relative_error_std,rms_match_relative_error_min,rms_match_relative_error_max,exposure_count,unique_records,exposure_min,exposure_max,order_sha256,epoch_seconds,elapsed_seconds
1,0.44130159211158754,0.39726955819129944,0.8505432166402125,0.6607590537246136,0.5977562876109273,4000,1.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,,0,,,,,4000,4000,1,1,dcdba62de8fb4f0d3f2c5211de34804375300b1c928e783ec55073b67f6ca8ef,12.928033199976198,14.864571599988267
2,0.32446589875221254,0.34722023916244504,0.8843312948002818,0.7405151292060894,0.6120994648952582,4000,1.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,,0,,,,,4000,4000,1,1,75ba37616cf03ce37219c020a3cc0f40aa54a93b0222f8e76b09a04de4205676,12.243214500020258,27.194317999994382
3,0.29171407413482664,0.34176371717453,0.88188674042235,0.7369593357114022,0.6307278985461002,4000,1.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,,0,,,,,4000,4000,1,1,66f965b4db32e8a5893a8f2598086467f1aa79ba63fb0d2fb52d5efcbb6fa1a1,12.415769400075078,39.6960235000588
4,0.27002645206451414,0.3660564479827881,0.8857582865922022,0.7372694594425642,0.6034607537746421,4000,1.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,,0,,,,,4000,4000,1,1,d7975b4e32cc8e63fe2adae23269cbf13313ee2d1e6559c1ac078bafa002f799,12.89294389996212,52.649385900003836
5,0.23892223238945007,0.4648072166442871,0.884477504655918,0.7411294420995456,0.5746772204051448,4000,1.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,,0,,,,,4000,4000,1,1,d59bdaeaf485d0deb698ff7e57a27e45e179d7ccc952e5b4017143b014dd8cf5,13.325439600041136,66.06197389995214
6,0.20249756467342378,0.3930813980102539,0.8835070290466407,0.7414079573418703,0.6367065901081742,4000,1.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,,0,,,,,4000,4000,1,1,830ad710e78451e6c21ca719bbd9277817b9b059b70803fcf87ac7d9faa7d23b,13.461382700013928,79.59179990005214
7,0.17975683605670928,0.38189091444015505,0.880445717427396,0.7330897164684022,0.6470732953613416,4000,1.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,,0,,,,,4000,4000,1,1,ab31f0bba387094118b432cdb6bdc1125af3308b42b927e581eb8eec495638ea,13.238248299923725,92.8923356999876
8,0.14432668900489806,0.37301247668266296,0.8840251222882278,0.7319345736987917,0.644871985808442,4000,1.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,,0,,,,,4000,4000,1,1,e3b0d42c8b9ad78797c2db4f340878f44c6c2d229bdf47b7b6921172a3fdad68,13.293653199914843,106.24466199998278
9,0.10964068257808686,0.5473441510200501,0.8761760978181385,0.7261773433244727,0.5832903792251578,4000,1.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,,0,,,,,4000,4000,1,1,de185a49bae8cc50bfcb16ee0fd509e0ddae28c227eb8d4d4fdb57a394a2c7f4,13.239832500112243,119.56533739995211
10,0.0985535473227501,0.5076678817272187,0.8748884420177216,0.7214305444124419,0.6281264543367621,4000,1.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,,0,,,,,4000,4000,1,1,183cd88c632483d86dd8663472bd6a942c876b483a2da33274244c15ef78fdee,13.23629379994236,132.87802780000493
