epoch,train_loss,val_loss,val_macro_auroc,val_macro_ap,val_macro_f1_at_0p5,clean_count,clean_fraction,independent_count,independent_fraction,electrode_count,electrode_fraction,snr_20_count,snr_10_count,combo_RA_LA_LL_count,combo_V1_count,combo_V2_count,combo_V3_count,combo_V4_count,combo_V5_count,combo_V6_count,combo_RA_LA_count,combo_LA_LL_count,combo_RA_LL_count,actual_snr_db_count,actual_snr_db_mean,actual_snr_db_std,actual_snr_db_min,actual_snr_db_max,actual_snr_error_db_count,actual_snr_error_db_mean,actual_snr_error_db_std,actual_snr_error_db_min,actual_snr_error_db_max,rms_match_relative_error_count,rms_match_relative_error_mean,rms_match_relative_error_std,rms_match_relative_error_min,rms_match_relative_error_max,exposure_count,unique_records,exposure_min,exposure_max,order_sha256,epoch_seconds,elapsed_seconds
1,0.5505540108680725,0.5185624308586121,0.7282854295335051,0.4692868265123965,0.14901960784313725,4000,1.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,,0,,,,,4000,4000,1,1,dcdba62de8fb4f0d3f2c5211de34804375300b1c928e783ec55073b67f6ca8ef,9.429711199947633,9.463257699972019
2,0.4699421606063843,0.4934550347328186,0.7892559111801315,0.5239554369345676,0.24144711799825816,4000,1.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,,0,,,,,4000,4000,1,1,75ba37616cf03ce37219c020a3cc0f40aa54a93b0222f8e76b09a04de4205676,7.67007430002559,17.222082199994475
3,0.416528963804245,0.4775102407932281,0.8145511288520328,0.5685228568881555,0.3012901309755999,4000,1.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,,0,,,,,4000,4000,1,1,66f965b4db32e8a5893a8f2598086467f1aa79ba63fb0d2fb52d5efcbb6fa1a1,7.9543665000237525,25.25389749999158
4,0.3998077085018158,0.40000059151649475,0.8339412268204558,0.6295279766229163,0.5119544896514937,4000,1.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,,0,,,,,4000,4000,1,1,d7975b4e32cc8e63fe2adae23269cbf13313ee2d1e6559c1ac078bafa002f799,7.497668200056069,32.83794370002579
5,0.37946776175498964,0.3912369167804718,0.8466407442847407,0.6590393526554552,0.5317586707446884,4000,1.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,,0,,,,,4000,4000,1,1,d59bdaeaf485d0deb698ff7e57a27e45e179d7ccc952e5b4017143b014dd8cf5,6.517137999995612,39.43956910003908
6,0.3664796359539032,0.38896146321296693,0.858472103976076,0.6835078838538652,0.5655363233063037,4000,1.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,,0,,,,,4000,4000,1,1,830ad710e78451e6c21ca719bbd9277817b9b059b70803fcf87ac7d9faa7d23b,5.981522899935953,45.487121999962255
7,0.35369474172592164,0.4276478471755981,0.8596368233494832,0.687324740986001,0.5345122044177881,4000,1.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,,0,,,,,4000,4000,1,1,ab31f0bba387094118b432cdb6bdc1125af3308b42b927e581eb8eec495638ea,6.1270294999703765,51.68028550001327
8,0.34957719016075134,0.38149929308891295,0.867275426216985,0.7036985259452748,0.5877735388629214,4000,1.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,,0,,,,,4000,4000,1,1,e3b0d42c8b9ad78797c2db4f340878f44c6c2d229bdf47b7b6921172a3fdad68,6.448991899960674,58.19252809998579
9,0.3390022432804108,0.37906382989883425,0.8715387784600329,0.713695268088334,0.6128543023791286,4000,1.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,,0,,,,,4000,4000,1,1,de185a49bae8cc50bfcb16ee0fd509e0ddae28c227eb8d4d4fdb57a394a2c7f4,6.81645269994624,65.0947372999508
10,0.3396883237361908,0.3509086534976959,0.8776495951460715,0.7254756586673967,0.6376290432535006,4000,1.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,,0,,,,,4000,4000,1,1,183cd88c632483d86dd8663472bd6a942c876b483a2da33274244c15ef78fdee,6.662153600016609,71.83343500003684
