epoch,train_loss,val_loss,val_macro_auroc,val_macro_ap,val_macro_f1_at_0p5,clean_count,clean_fraction,independent_count,independent_fraction,electrode_count,electrode_fraction,snr_20_count,snr_10_count,combo_RA_LA_LL_count,combo_V1_count,combo_V2_count,combo_V3_count,combo_V4_count,combo_V5_count,combo_V6_count,combo_RA_LA_count,combo_LA_LL_count,combo_RA_LL_count,actual_snr_db_count,actual_snr_db_mean,actual_snr_db_std,actual_snr_db_min,actual_snr_db_max,actual_snr_error_db_count,actual_snr_error_db_mean,actual_snr_error_db_std,actual_snr_error_db_min,actual_snr_error_db_max,rms_match_relative_error_count,rms_match_relative_error_mean,rms_match_relative_error_std,rms_match_relative_error_min,rms_match_relative_error_max,exposure_count,unique_records,exposure_min,exposure_max,order_sha256,epoch_seconds,elapsed_seconds
1,0.5512248015403748,0.5196723473072052,0.7240037094513189,0.464660646871658,0.14785214785214784,2030,0.5075,1003,0.25075,967,0.24175,973,997,530,167,182,155,142,175,152,163,148,156,1970,14.939086250203223,4.999628834370027,10.000000006465859,19.999999894479785,1970,-4.421302298577397e-08,1.0465450374871941e-07,-1.9266263961981167e-07,1.025539919652374e-07,1003,3.861888779795755e-09,2.1969025246122046e-09,2.0992946478396425e-11,1.062538115898858e-08,4000,4000,1,1,dcdba62de8fb4f0d3f2c5211de34804375300b1c928e783ec55073b67f6ca8ef,9.684299900080077,9.71522570005618
2,0.47355572938919066,0.4938323812484741,0.7878385031018164,0.5227947771780392,0.2433589079537542,2007,0.50175,1017,0.25425,976,0.244,975,1018,474,171,159,156,181,169,156,173,179,175,1993,14.892122385599597,4.9988360037419035,10.000000009806374,19.999999896152847,1993,-4.2900151316959834e-08,1.0452695480579987e-07,-2.1017846663085038e-07,1.101644020451431e-07,1017,3.780067860866118e-09,2.1623136569484496e-09,3.846683207109961e-12,1.2380712064201937e-08,4000,4000,1,1,75ba37616cf03ce37219c020a3cc0f40aa54a93b0222f8e76b09a04de4205676,9.92510529991705,19.71489309996832
3,0.41873361802101133,0.4724738359451294,0.8138103635472319,0.5681801390712387,0.3210866073684565,2010,0.5025,979,0.24475,1011,0.25275,1011,979,512,176,163,175,164,166,177,159,144,154,1990,15.08040196265266,4.999353405782212,10.000000007411018,19.99999990177145,1990,-4.7397592324673507e-08,1.0493263549120203e-07,-1.9804757300789788e-07,1.169109982157579e-07,979,3.713619405090184e-09,2.2211245976039097e-09,3.655308135432178e-12,1.170861877224368e-08,4000,4000,1,1,66f965b4db32e8a5893a8f2598086467f1aa79ba63fb0d2fb52d5efcbb6fa1a1,9.872584700002335,29.67053959995974
4,0.4011880142688751,0.4036083245277405,0.8324627460960858,0.6262093152065422,0.5113038112426405,2039,0.50975,991,0.24775,970,0.2425,950,1011,491,158,167,161,154,169,174,166,147,174,1961,14.84446706683839,4.997580262828698,10.000000006937913,19.999999893851005,1961,-4.1779661943458366e-08,1.0448678281345461e-07,-1.998075269682431e-07,1.1075747607947051e-07,991,3.7166398409761312e-09,2.1731126704045573e-09,7.938433434761685e-12,1.0051982840416677e-08,4000,4000,1,1,d7975b4e32cc8e63fe2adae23269cbf13313ee2d1e6559c1ac078bafa002f799,9.94619619997684,39.68301130004693
5,0.38093284487724305,0.39342822790145876,0.8444669704972269,0.6561779896922989,0.5335338608501613,2018,0.5045,1003,0.25075,979,0.24475,964,1018,461,180,158,160,167,187,155,163,170,181,1982,14.863773922963357,4.998143798767508,10.00000000111305,19.99999990231258,1982,-4.272786165335406e-08,1.0423541351467052e-07,-1.9892850389169325e-07,9.828009339685195e-08,1003,3.6772021400439e-09,2.1672252924338103e-09,3.813887135248823e-12,1.1228697382916012e-08,4000,4000,1,1,d59bdaeaf485d0deb698ff7e57a27e45e179d7ccc952e5b4017143b014dd8cf5,9.94962349999696,49.699223799980246
6,0.36893107104301454,0.39163811421394346,0.855993300696241,0.6792051906265177,0.5654051463073136,2017,0.50425,1004,0.251,979,0.24475,947,1036,463,181,153,181,161,177,137,177,171,182,1983,14.775592495177596,4.9949614868201575,9.999999994378435,19.999999895204205,1983,-4.1383168621154984e-08,1.044265261562132e-07,-2.061410100395733e-07,1.0603349309690202e-07,1004,3.75713055794784e-09,2.2045808502015886e-09,4.143805281940912e-12,1.0143857016870984e-08,4000,4000,1,1,830ad710e78451e6c21ca719bbd9277817b9b059b70803fcf87ac7d9faa7d23b,9.62930170004256,59.39425230002962
7,0.3556866705417633,0.4299633135795593,0.8575099147175507,0.6840017110689554,0.5362005941318188,2014,0.5035,969,0.24225,1017,0.25425,1007,979,434,171,172,173,172,174,155,186,159,190,1986,15.070493407362354,4.999502939020777,9.999999996332523,19.99999990080076,1986,-4.681690109817508e-08,1.0438448389330745e-07,-1.9608422263672765e-07,1.1722397452729183e-07,969,3.63082010632437e-09,2.0948975226130387e-09,8.631268937453862e-12,1.1086670372342178e-08,4000,4000,1,1,ab31f0bba387094118b432cdb6bdc1125af3308b42b927e581eb8eec495638ea,9.593952999915928,69.08186819998082
8,0.3523235445022583,0.3895640144348145,0.8646622954673087,0.6983640739309122,0.5792029241322237,2006,0.5015,1025,0.25625,969,0.24225,997,997,495,159,148,181,170,162,180,179,177,143,1994,14.999999954038326,4.999999895605898,10.000000007739661,19.999999901863262,1994,-4.596167453584128e-08,1.0521053574105676e-07,-2.0165258973747768e-07,1.2163371643225673e-07,1025,3.6679429252060186e-09,2.188536767981744e-09,7.222780991181593e-12,1.0235764625028984e-08,4000,4000,1,1,e3b0d42c8b9ad78797c2db4f340878f44c6c2d229bdf47b7b6921172a3fdad68,10.04919879999943,79.20491169998422
9,0.3418932993412018,0.3810912170410156,0.8697816959701541,0.7098108006087818,0.6064456775787022,1977,0.49425,1010,0.2525,1013,0.25325,980,1043,508,156,174,181,182,171,179,162,153,157,2023,14.844290615337881,4.997574768566105,9.999999995125505,19.99999990497718,2023,-4.210156492913003e-08,1.0423990656242085e-07,-1.9978391208042012e-07,1.1442065250832911e-07,1010,3.734326016448498e-09,2.23808912711084e-09,1.6186659285404605e-12,1.1781697023280494e-08,4000,4000,1,1,de185a49bae8cc50bfcb16ee0fd509e0ddae28c227eb8d4d4fdb57a394a2c7f4,9.85406659997534,89.14138929999899
10,0.34132921862602233,0.3494414701461792,0.8767470071533507,0.7228134635499772,0.6489413363813289,1996,0.499,1045,0.26125,959,0.23975,1025,979,570,148,161,165,156,163,165,150,147,179,2004,15.114770410853822,4.9986824973379775,10.00000001227836,19.999999899339368,2004,-4.8228012595273696e-08,1.0405085063434457e-07,-2.0462817573729808e-07,1.0197141264711718e-07,1045,3.992028924837711e-09,2.274028323338587e-09,4.519413006679711e-12,1.1725891209433601e-08,4000,4000,1,1,183cd88c632483d86dd8663472bd6a942c876b483a2da33274244c15ef78fdee,9.978643100010231,99.19353679998312
