training_seed,metric,outcome,interval_rows,rows_with_invalid,max_invalid
101,auroc_CD,absolute,8228,0,0
101,auroc_CD,clean_cost,8228,0,0
101,auroc_CD,drop,8228,0,0
101,auroc_CD,retention,8228,0,0
101,auroc_HYP,absolute,8228,0,0
101,auroc_HYP,clean_cost,8228,0,0
101,auroc_HYP,drop,8228,0,0
101,auroc_HYP,retention,8228,0,0
101,auroc_MI,absolute,8228,0,0
101,auroc_MI,clean_cost,8228,0,0
101,auroc_MI,drop,8228,0,0
101,auroc_MI,retention,8228,0,0
101,auroc_NORM,absolute,8228,0,0
101,auroc_NORM,clean_cost,8228,0,0
101,auroc_NORM,drop,8228,0,0
101,auroc_NORM,retention,8228,0,0
101,auroc_STTC,absolute,8228,0,0
101,auroc_STTC,clean_cost,8228,0,0
101,auroc_STTC,drop,8228,0,0
101,auroc_STTC,retention,8228,0,0
101,macro_auroc,absolute,8228,0,0
101,macro_auroc,clean_cost,8228,0,0
101,macro_auroc,drop,8228,0,0
101,macro_auroc,retention,8228,0,0
17,auroc_CD,absolute,8228,0,0
17,auroc_CD,clean_cost,8228,0,0
17,auroc_CD,drop,8228,0,0
17,auroc_CD,retention,8228,0,0
17,auroc_HYP,absolute,8228,0,0
17,auroc_HYP,clean_cost,8228,0,0
17,auroc_HYP,drop,8228,0,0
17,auroc_HYP,retention,8228,0,0
17,auroc_MI,absolute,8228,0,0
17,auroc_MI,clean_cost,8228,0,0
17,auroc_MI,drop,8228,0,0
17,auroc_MI,retention,8228,0,0
17,auroc_NORM,absolute,8228,0,0
17,auroc_NORM,clean_cost,8228,0,0
17,auroc_NORM,drop,8228,0,0
17,auroc_NORM,retention,8228,0,0
17,auroc_STTC,absolute,8228,0,0
17,auroc_STTC,clean_cost,8228,0,0
17,auroc_STTC,drop,8228,0,0
17,auroc_STTC,retention,8228,0,0
17,macro_auroc,absolute,8228,0,0
17,macro_auroc,clean_cost,8228,0,0
17,macro_auroc,drop,8228,0,0
17,macro_auroc,retention,8228,0,0
202,auroc_CD,absolute,8228,0,0
202,auroc_CD,clean_cost,8228,0,0
202,auroc_CD,drop,8228,0,0
202,auroc_CD,retention,8228,0,0
202,auroc_HYP,absolute,8228,0,0
202,auroc_HYP,clean_cost,8228,0,0
202,auroc_HYP,drop,8228,0,0
202,auroc_HYP,retention,8228,0,0
202,auroc_MI,absolute,8228,0,0
202,auroc_MI,clean_cost,8228,0,0
202,auroc_MI,drop,8228,0,0
202,auroc_MI,retention,8228,0,0
202,auroc_NORM,absolute,8228,0,0
202,auroc_NORM,clean_cost,8228,0,0
202,auroc_NORM,drop,8228,0,0
202,auroc_NORM,retention,8228,0,0
202,auroc_STTC,absolute,8228,0,0
202,auroc_STTC,clean_cost,8228,0,0
202,auroc_STTC,drop,8228,0,0
202,auroc_STTC,retention,8228,0,0
202,macro_auroc,absolute,8228,0,0
202,macro_auroc,clean_cost,8228,0,0
202,macro_auroc,drop,8228,0,0
202,macro_auroc,retention,8228,0,0
29,auroc_CD,absolute,8228,0,0
29,auroc_CD,clean_cost,8228,0,0
29,auroc_CD,drop,8228,0,0
29,auroc_CD,retention,8228,0,0
29,auroc_HYP,absolute,8228,0,0
29,auroc_HYP,clean_cost,8228,0,0
29,auroc_HYP,drop,8228,0,0
29,auroc_HYP,retention,8228,0,0
29,auroc_MI,absolute,8228,0,0
29,auroc_MI,clean_cost,8228,0,0
29,auroc_MI,drop,8228,0,0
29,auroc_MI,retention,8228,0,0
29,auroc_NORM,absolute,8228,0,0
29,auroc_NORM,clean_cost,8228,0,0
29,auroc_NORM,drop,8228,0,0
29,auroc_NORM,retention,8228,0,0
29,auroc_STTC,absolute,8228,0,0
29,auroc_STTC,clean_cost,8228,0,0
29,auroc_STTC,drop,8228,0,0
29,auroc_STTC,retention,8228,0,0
29,macro_auroc,absolute,8228,0,0
29,macro_auroc,clean_cost,8228,0,0
29,macro_auroc,drop,8228,0,0
29,macro_auroc,retention,8228,0,0
43,auroc_CD,absolute,8228,0,0
43,auroc_CD,clean_cost,8228,0,0
43,auroc_CD,drop,8228,0,0
43,auroc_CD,retention,8228,0,0
43,auroc_HYP,absolute,8228,0,0
43,auroc_HYP,clean_cost,8228,0,0
43,auroc_HYP,drop,8228,0,0
43,auroc_HYP,retention,8228,0,0
43,auroc_MI,absolute,8228,0,0
43,auroc_MI,clean_cost,8228,0,0
43,auroc_MI,drop,8228,0,0
43,auroc_MI,retention,8228,0,0
43,auroc_NORM,absolute,8228,0,0
43,auroc_NORM,clean_cost,8228,0,0
43,auroc_NORM,drop,8228,0,0
43,auroc_NORM,retention,8228,0,0
43,auroc_STTC,absolute,8228,0,0
43,auroc_STTC,clean_cost,8228,0,0
43,auroc_STTC,drop,8228,0,0
43,auroc_STTC,retention,8228,0,0
43,macro_auroc,absolute,8228,0,0
43,macro_auroc,clean_cost,8228,0,0
43,macro_auroc,drop,8228,0,0
43,macro_auroc,retention,8228,0,0
mean_fixed_seeds,auroc_CD,absolute,8228,0,0
mean_fixed_seeds,auroc_CD,clean_cost,8228,0,0
mean_fixed_seeds,auroc_CD,drop,8228,0,0
mean_fixed_seeds,auroc_CD,retention,8228,0,0
mean_fixed_seeds,auroc_HYP,absolute,8228,0,0
mean_fixed_seeds,auroc_HYP,clean_cost,8228,0,0
mean_fixed_seeds,auroc_HYP,drop,8228,0,0
mean_fixed_seeds,auroc_HYP,retention,8228,0,0
mean_fixed_seeds,auroc_MI,absolute,8228,0,0
mean_fixed_seeds,auroc_MI,clean_cost,8228,0,0
mean_fixed_seeds,auroc_MI,drop,8228,0,0
mean_fixed_seeds,auroc_MI,retention,8228,0,0
mean_fixed_seeds,auroc_NORM,absolute,8228,0,0
mean_fixed_seeds,auroc_NORM,clean_cost,8228,0,0
mean_fixed_seeds,auroc_NORM,drop,8228,0,0
mean_fixed_seeds,auroc_NORM,retention,8228,0,0
mean_fixed_seeds,auroc_STTC,absolute,8228,0,0
mean_fixed_seeds,auroc_STTC,clean_cost,8228,0,0
mean_fixed_seeds,auroc_STTC,drop,8228,0,0
mean_fixed_seeds,auroc_STTC,retention,8228,0,0
mean_fixed_seeds,macro_auroc,absolute,8228,0,0
mean_fixed_seeds,macro_auroc,clean_cost,8228,0,0
mean_fixed_seeds,macro_auroc,drop,8228,0,0
mean_fixed_seeds,macro_auroc,retention,8228,0,0
