model,strategy,seed,group_id,class_name,bin_id,count,probability_sum,target_sum
resnet,clean_only,17,clean,NORM,0,747,10.556809135883213,8.0
resnet,clean_only,17,clean,NORM,1,110,10.629057869315147,20.0
resnet,clean_only,17,clean,NORM,2,81,13.07776127755642,18.0
resnet,clean_only,17,clean,NORM,3,76,17.60164348781109,25.0
resnet,clean_only,17,clean,NORM,4,51,15.085740506649017,20.0
resnet,clean_only,17,clean,NORM,5,66,24.298887699842453,33.0
resnet,clean_only,17,clean,NORM,6,60,25.950886130332947,26.0
resnet,clean_only,17,clean,NORM,7,43,21.501067876815796,27.0
resnet,clean_only,17,clean,NORM,8,54,30.506745219230652,37.0
resnet,clean_only,17,clean,NORM,9,64,40.47162085771561,43.0
resnet,clean_only,17,clean,NORM,10,63,44.22068554162979,48.0
resnet,clean_only,17,clean,NORM,11,80,61.43560218811035,61.0
resnet,clean_only,17,clean,NORM,12,107,89.40593296289444,88.0
resnet,clean_only,17,clean,NORM,13,163,146.96611070632935,139.0
resnet,clean_only,17,clean,NORM,14,393,381.72177028656006,370.0
resnet,clean_only,17,clean,MI,0,1113,20.489794884750154,54.0
resnet,clean_only,17,clean,MI,1,245,23.2681722342968,44.0
resnet,clean_only,17,clean,MI,2,137,22.13344794511795,41.0
resnet,clean_only,17,clean,MI,3,97,22.83551913499832,37.0
resnet,clean_only,17,clean,MI,4,101,30.39759075641632,45.0
resnet,clean_only,17,clean,MI,5,66,24.296701043844223,26.0
resnet,clean_only,17,clean,MI,6,49,21.00173583626747,28.0
resnet,clean_only,17,clean,MI,7,52,26.243937224149704,31.0
resnet,clean_only,17,clean,MI,8,42,23.751133382320404,27.0
resnet,clean_only,17,clean,MI,9,36,22.894946455955505,27.0
resnet,clean_only,17,clean,MI,10,37,25.898297250270844,32.0
resnet,clean_only,17,clean,MI,11,39,30.123735904693604,29.0
resnet,clean_only,17,clean,MI,12,36,30.008067071437836,29.0
resnet,clean_only,17,clean,MI,13,47,42.24077624082565,43.0
resnet,clean_only,17,clean,MI,14,61,59.08033049106598,57.0
resnet,clean_only,17,clean,STTC,0,1269,16.503538444827427,53.0
resnet,clean_only,17,clean,STTC,1,172,16.413739316165447,24.0
resnet,clean_only,17,clean,STTC,2,85,13.841292545199394,22.0
resnet,clean_only,17,clean,STTC,3,66,15.560937881469727,26.0
resnet,clean_only,17,clean,STTC,4,58,17.035567551851273,21.0
resnet,clean_only,17,clean,STTC,5,42,15.533608615398407,17.0
resnet,clean_only,17,clean,STTC,6,42,18.098879098892212,21.0
resnet,clean_only,17,clean,STTC,7,50,25.192102789878845,30.0
resnet,clean_only,17,clean,STTC,8,49,27.901157081127167,31.0
resnet,clean_only,17,clean,STTC,9,37,23.353803753852844,26.0
resnet,clean_only,17,clean,STTC,10,40,28.04656195640564,34.0
resnet,clean_only,17,clean,STTC,11,33,25.3614239692688,26.0
resnet,clean_only,17,clean,STTC,12,43,35.84297078847885,32.0
resnet,clean_only,17,clean,STTC,13,74,66.84841549396515,67.0
resnet,clean_only,17,clean,STTC,14,98,94.60235184431076,91.0
resnet,clean_only,17,clean,CD,0,649,21.60687803570181,16.0
resnet,clean_only,17,clean,CD,1,338,33.208366960287094,12.0
resnet,clean_only,17,clean,CD,2,188,31.156626999378204,22.0
resnet,clean_only,17,clean,CD,3,141,32.71110852062702,15.0
resnet,clean_only,17,clean,CD,4,88,26.31758040189743,13.0
resnet,clean_only,17,clean,CD,5,77,28.32919752597809,12.0
resnet,clean_only,17,clean,CD,6,55,23.815332621335983,15.0
resnet,clean_only,17,clean,CD,7,59,29.81164401769638,17.0
resnet,clean_only,17,clean,CD,8,45,25.1294047832489,10.0
resnet,clean_only,17,clean,CD,9,55,34.81966578960419,21.0
resnet,clean_only,17,clean,CD,10,50,34.81741136312485,21.0
resnet,clean_only,17,clean,CD,11,53,40.7035351395607,26.0
resnet,clean_only,17,clean,CD,12,52,43.4637787938118,29.0
resnet,clean_only,17,clean,CD,13,55,49.63356018066406,33.0
resnet,clean_only,17,clean,CD,14,253,250.0400151014328,234.0
resnet,clean_only,17,clean,HYP,0,1533,27.769519202644005,46.0
resnet,clean_only,17,clean,HYP,1,262,24.758119486272335,35.0
resnet,clean_only,17,clean,HYP,2,116,18.93553000688553,31.0
resnet,clean_only,17,clean,HYP,3,55,12.620859891176224,17.0
resnet,clean_only,17,clean,HYP,4,32,9.577742576599121,20.0
resnet,clean_only,17,clean,HYP,5,25,9.106324195861816,14.0
resnet,clean_only,17,clean,HYP,6,21,9.154761642217636,12.0
resnet,clean_only,17,clean,HYP,7,20,10.006318926811218,11.0
resnet,clean_only,17,clean,HYP,8,8,4.544187784194946,3.0
resnet,clean_only,17,clean,HYP,9,10,6.305740773677826,9.0
resnet,clean_only,17,clean,HYP,10,14,9.791285991668701,10.0
resnet,clean_only,17,clean,HYP,11,21,16.302916407585144,17.0
resnet,clean_only,17,clean,HYP,12,15,12.548749029636383,12.0
resnet,clean_only,17,clean,HYP,13,11,9.868409931659698,10.0
resnet,clean_only,17,clean,HYP,14,15,14.63401734828949,15.0
resnet,clean_only,17,primary_joint,NORM,0,76207,1428.4058430183682,2179.0
resnet,clean_only,17,primary_joint,NORM,1,20207,1965.1363236680627,5231.0
resnet,clean_only,17,primary_joint,NORM,2,14167,2340.093310430646,6215.0
resnet,clean_only,17,primary_joint,NORM,3,11234,2611.5836353302,6333.0
resnet,clean_only,17,primary_joint,NORM,4,9314,2787.805878251791,5931.0
resnet,clean_only,17,primary_joint,NORM,5,8462,3096.8278960883617,5717.0
resnet,clean_only,17,primary_joint,NORM,6,7581,3281.1061322391033,5404.0
resnet,clean_only,17,primary_joint,NORM,7,7359,3678.4574170410633,5526.0
resnet,clean_only,17,primary_joint,NORM,8,7218,4089.6934279203415,5743.0
resnet,clean_only,17,primary_joint,NORM,9,6762,4283.180054008961,5637.0
resnet,clean_only,17,primary_joint,NORM,10,7008,4909.091104328632,5952.0
resnet,clean_only,17,primary_joint,NORM,11,7965,6111.736728787422,6873.0
resnet,clean_only,17,primary_joint,NORM,12,8048,6710.323413729668,6940.0
resnet,clean_only,17,primary_joint,NORM,13,9874,8904.13224452734,8852.0
resnet,clean_only,17,primary_joint,NORM,14,14394,13903.170194506645,13767.0
resnet,clean_only,17,primary_joint,MI,0,75558,1997.1803668476932,3400.0
resnet,clean_only,17,primary_joint,MI,1,37050,3612.5359491854906,5032.0
resnet,clean_only,17,primary_joint,MI,2,24346,3999.8627721369267,5570.0
resnet,clean_only,17,primary_joint,MI,3,16840,3901.3250197023153,5264.0
resnet,clean_only,17,primary_joint,MI,4,12236,3653.899165302515,4560.0
resnet,clean_only,17,primary_joint,MI,5,9131,3334.5545355677605,3777.0
resnet,clean_only,17,primary_joint,MI,6,7531,3252.528680920601,3606.0
resnet,clean_only,17,primary_joint,MI,7,6219,3100.189413011074,3198.0
resnet,clean_only,17,primary_joint,MI,8,4948,2798.8026989102364,2930.0
resnet,clean_only,17,primary_joint,MI,9,4380,2773.82572299242,2994.0
resnet,clean_only,17,primary_joint,MI,10,4017,2806.880362868309,2990.0
resnet,clean_only,17,primary_joint,MI,11,3558,2727.7585213184357,2728.0
resnet,clean_only,17,primary_joint,MI,12,3474,2895.7710435390472,2904.0
