strategy,model,seed,clean_auroc,primary_auroc,retention
clean_only,resnet,17,0.9068922993183458,0.8812671416521964,0.9717439902330388
independent_rms,resnet,17,0.9089336161724793,0.8987759918562526,0.9888246796724394
electrode,resnet,17,0.9096721817733691,0.9002348334011026,0.9896255502121013
mixed,resnet,17,0.9062242578363339,0.9004965879335971,0.9936796329890731
clean_only,resnet,29,0.907911261424449,0.8908365251558794,0.9811933864078723
independent_rms,resnet,29,0.9080996043429991,0.8971679036525232,0.9879620025829955
electrode,resnet,29,0.9087831668195461,0.899846167051994,0.990165971273633
mixed,resnet,29,0.9084863812560771,0.8984715159855713,0.9889763176662614
clean_only,resnet,43,0.9087007471381179,0.8931434166870024,0.9828795887963172
independent_rms,resnet,43,0.9094279859032562,0.9003865985087731,0.9900581601450354
electrode,resnet,43,0.9100281194196859,0.903211361331672,0.9925092885114877
mixed,resnet,43,0.9085252194511824,0.9007157271479751,0.9914042096608874
clean_only,resnet,101,0.9083074602853323,0.8949566559364777,0.9853014480959499
independent_rms,resnet,101,0.9091835761917129,0.9005848440393125,0.9905423586846913
electrode,resnet,101,0.9086461422826002,0.9012655330720172,0.9918773559165351
mixed,resnet,101,0.9102010924118616,0.9007604664049302,0.9896279777220381
clean_only,resnet,202,0.9039460500763337,0.8871668431618107,0.9814378226288091
independent_rms,resnet,202,0.9069336198387399,0.8980339373602352,0.9901870629946684
electrode,resnet,202,0.9094702363799854,0.9006084004669822,0.9902560462569213
mixed,resnet,202,0.9071618351564277,0.8995718183101346,0.9916332273326116
clean_only,tcn,17,0.9169105801910709,0.9104554615235029,0.9929599256372243
independent_rms,tcn,17,0.9165009709934748,0.9118446673981526,0.9949194777270451
electrode,tcn,17,0.9163259873638083,0.9121386480277757,0.9954302951190169
mixed,tcn,17,0.9165417431521872,0.9122177362801768,0.9952822586583624
clean_only,tcn,29,0.9219772719022071,0.9124867498838438,0.9897063384222343
independent_rms,tcn,29,0.9218080309186698,0.9154382615274993,0.9930899176634256
electrode,tcn,29,0.9210198385214952,0.9158022085890765,0.9943349429456494
mixed,tcn,29,0.9217599412823141,0.9159014485532786,0.9936442315752201
clean_only,tcn,43,0.9176941537037127,0.9112497590135916,0.992977622593426
independent_rms,tcn,43,0.9168571757261825,0.9110912196954863,0.993711173141964
electrode,tcn,43,0.9163985617094308,0.9116298510750402,0.9947962482323304
mixed,tcn,43,0.9173454043059166,0.9126516012393732,0.9948832761950884
clean_only,tcn,101,0.9149481267713714,0.9055335649915051,0.9897102780962264
independent_rms,tcn,101,0.9144727629993884,0.9091591963520087,0.9941894752218252
electrode,tcn,101,0.9138722003322158,0.9096279607569318,0.9953557624635736
mixed,tcn,101,0.9133348702616152,0.9085581764232821,0.9947700520424019
clean_only,tcn,202,0.9170272113756426,0.9096990256767777,0.9920087587271661
independent_rms,tcn,202,0.9173588583621515,0.9119402903440639,0.994093295148688
electrode,tcn,202,0.9168407433641267,0.9129699242661978,0.9957780900042448
mixed,tcn,202,0.9168932056137968,0.9127186534613125,0.9954470682867749
