model,lhs,rhs,group_id,metric,outcome,level,seed,noise_seed,point,positive_seed_count,n_training_seeds,n_undefined,std,min,max,n_noise_seeds,positive_noise_count,negative_noise_count,zero_noise_count
resnet,electrode,clean_only,primary_joint,macro_auroc,retention,seed_noise,17.0,20001.0,0.017889090980811262,,,,,,,,,,
resnet,electrode,clean_only,primary_joint,macro_auroc,retention,seed_noise,17.0,20002.0,0.017685540158536184,,,,,,,,,,
resnet,electrode,clean_only,primary_joint,macro_auroc,retention,seed_noise,17.0,20003.0,0.01767995009786405,,,,,,,,,,
resnet,electrode,clean_only,primary_joint,macro_auroc,retention,seed_noise,17.0,20004.0,0.018402479800460392,,,,,,,,,,
resnet,electrode,clean_only,primary_joint,macro_auroc,retention,seed_noise,17.0,20005.0,0.01775073885764067,,,,,,,,,,
resnet,electrode,clean_only,primary_joint,macro_auroc,retention,seed_noise,29.0,20001.0,0.008879623076842424,,,,,,,,,,
resnet,electrode,clean_only,primary_joint,macro_auroc,retention,seed_noise,29.0,20002.0,0.009500146352435568,,,,,,,,,,
resnet,electrode,clean_only,primary_joint,macro_auroc,retention,seed_noise,29.0,20003.0,0.008930805793861074,,,,,,,,,,
resnet,electrode,clean_only,primary_joint,macro_auroc,retention,seed_noise,29.0,20004.0,0.008580525224847979,,,,,,,,,,
resnet,electrode,clean_only,primary_joint,macro_auroc,retention,seed_noise,29.0,20005.0,0.008971823880820184,,,,,,,,,,
resnet,electrode,clean_only,primary_joint,macro_auroc,retention,seed_noise,43.0,20001.0,0.009106941025304516,,,,,,,,,,
resnet,electrode,clean_only,primary_joint,macro_auroc,retention,seed_noise,43.0,20002.0,0.010214985172940394,,,,,,,,,,
resnet,electrode,clean_only,primary_joint,macro_auroc,retention,seed_noise,43.0,20003.0,0.009071241096045068,,,,,,,,,,
resnet,electrode,clean_only,primary_joint,macro_auroc,retention,seed_noise,43.0,20004.0,0.010197965651001839,,,,,,,,,,
resnet,electrode,clean_only,primary_joint,macro_auroc,retention,seed_noise,43.0,20005.0,0.009557365630555759,,,,,,,,,,
resnet,electrode,clean_only,primary_joint,macro_auroc,retention,seed_noise,101.0,20001.0,0.0075138814972798285,,,,,,,,,,
resnet,electrode,clean_only,primary_joint,macro_auroc,retention,seed_noise,101.0,20002.0,0.006148549296971617,,,,,,,,,,
resnet,electrode,clean_only,primary_joint,macro_auroc,retention,seed_noise,101.0,20003.0,0.006093485124003983,,,,,,,,,,
resnet,electrode,clean_only,primary_joint,macro_auroc,retention,seed_noise,101.0,20004.0,0.006146457221105406,,,,,,,,,,
resnet,electrode,clean_only,primary_joint,macro_auroc,retention,seed_noise,101.0,20005.0,0.006977165963567011,,,,,,,,,,
resnet,electrode,clean_only,primary_joint,macro_auroc,retention,seed_noise,202.0,20001.0,0.008498704101296495,,,,,,,,,,
resnet,electrode,clean_only,primary_joint,macro_auroc,retention,seed_noise,202.0,20002.0,0.009684670716167632,,,,,,,,,,
resnet,electrode,clean_only,primary_joint,macro_auroc,retention,seed_noise,202.0,20003.0,0.007624919777411865,,,,,,,,,,
resnet,electrode,clean_only,primary_joint,macro_auroc,retention,seed_noise,202.0,20004.0,0.00904239337552748,,,,,,,,,,
resnet,electrode,clean_only,primary_joint,macro_auroc,retention,seed_noise,202.0,20005.0,0.009240430170155634,,,,,,,,,,
resnet,electrode,clean_only,primary_joint,macro_auroc,retention,noise,,20001.0,0.010377648136306905,5.0,5.0,0.0,,,,,,,
resnet,electrode,clean_only,primary_joint,macro_auroc,retention,noise,,20002.0,0.010646778339410278,5.0,5.0,0.0,,,,,,,
resnet,electrode,clean_only,primary_joint,macro_auroc,retention,noise,,20003.0,0.009880080377837209,5.0,5.0,0.0,,,,,,,
resnet,electrode,clean_only,primary_joint,macro_auroc,retention,noise,,20004.0,0.01047396425458862,5.0,5.0,0.0,,,,,,,
resnet,electrode,clean_only,primary_joint,macro_auroc,retention,noise,,20005.0,0.010499504900547851,5.0,5.0,0.0,,,,,,,
resnet,electrode,clean_only,primary_joint,macro_auroc,retention,summary,,,0.010375595201738173,,,0.0,0.00029330425048975777,0.009880080377837209,0.010646778339410278,5.0,5.0,0.0,0.0
resnet,electrode,independent_rms,primary_joint,macro_auroc,retention,seed_noise,17.0,20001.0,0.0010436386565997324,,,,,,,,,,
resnet,electrode,independent_rms,primary_joint,macro_auroc,retention,seed_noise,17.0,20002.0,0.0001929279816006435,,,,,,,,,,
resnet,electrode,independent_rms,primary_joint,macro_auroc,retention,seed_noise,17.0,20003.0,0.00030211444693872824,,,,,,,,,,
resnet,electrode,independent_rms,primary_joint,macro_auroc,retention,seed_noise,17.0,20004.0,0.0016197684156142866,,,,,,,,,,
