model,group_id,kind,combo_set,combo_id,condition,snr,metric,outcome,lhs,rhs,n_seeds,point,sd,ci95_low,ci95_high,n_expected,n_undefined,positive_seed_count,negative_seed_count,zero_seed_count,dz,t_stat,p_raw,patient_ci95_low,patient_ci95_high
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_ap,absolute,independent_rms,clean_only,5,0.06138311590982648,0.015064682428622838,0.042677842093832616,0.08008838972582034,5,0,5,0,0,4.074637231860845,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_ap,absolute,electrode,clean_only,5,0.07159931401542918,0.010344997252940706,0.058754303364935846,0.08444432466592253,5,0,5,0,0,6.921153506838883,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_ap,absolute,mixed,clean_only,5,0.07047546713109185,0.021725802775065785,0.04349931999321718,0.09745161426896651,5,0,5,0,0,3.2438602090218254,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_ap,absolute,clean_only,independent_rms,5,-0.06138311590982648,0.015064682428622838,-0.08008838972582034,-0.042677842093832616,5,0,0,5,0,-4.074637231860845,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_ap,absolute,electrode,independent_rms,5,0.010216198105602703,0.015414622330572276,-0.00892358348817673,0.029355979699382136,5,0,4,1,0,0.6627601952556836,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_ap,absolute,mixed,independent_rms,5,0.00909235122126537,0.012192214642930832,-0.006046282759234632,0.024230985201765372,5,0,4,1,0,0.7457505865464079,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_ap,absolute,mixed,electrode,5,-0.0011238468843373316,0.017040677855333808,-0.022282643082293493,0.020034949313618832,5,0,2,3,0,-0.0659508321134985,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_ap,clean_cost,independent_rms,clean_only,5,-0.003800373124561496,0.004183544188030386,-0.008994929327733435,0.001394183078610443,5,0,0,5,0,-0.9084099399343771,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_ap,clean_cost,electrode,clean_only,5,-0.003141104206371126,0.004159406855395487,-0.008305689952597643,0.0020234815398553906,5,0,2,3,0,-0.7551808023532388,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_ap,clean_cost,mixed,clean_only,5,-0.000671432728724497,0.004682055049474916,-0.006484971921265656,0.005142106463816662,5,0,3,2,0,-0.1434055605133897,,,,
