model,strategy,group_id,kind,combo_set,combo_id,condition,snr,seed,noise_seed,outcome,metric,value
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,17,20001,retention,macro_auroc,0.9717172572101958
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,17,20002,retention,macro_auroc,0.9715316766975853
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,17,20003,retention,macro_auroc,0.9716003065345236
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,17,20004,retention,macro_auroc,0.9713816476722787
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,17,20005,retention,macro_auroc,0.9724890630506107
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,29,20001,retention,macro_auroc,0.9811180831524309
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,29,20002,retention,macro_auroc,0.9803482553144782
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,29,20003,retention,macro_auroc,0.9810126847365719
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,29,20004,retention,macro_auroc,0.9815929118555137
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,29,20005,retention,macro_auroc,0.9818949969803658
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,43,20001,retention,macro_auroc,0.9834351788852338
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,43,20002,retention,macro_auroc,0.9822929713073418
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,43,20003,retention,macro_auroc,0.9828354582315911
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,43,20004,retention,macro_auroc,0.9823573119176698
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,43,20005,retention,macro_auroc,0.9834770236397531
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,101,20001,retention,macro_auroc,0.9844191206459546
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,101,20002,retention,macro_auroc,0.9860536653993869
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,101,20003,retention,macro_auroc,0.9854215927374411
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,101,20004,retention,macro_auroc,0.9856759388685487
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,101,20005,retention,macro_auroc,0.9849369228284169
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,202,20001,retention,macro_auroc,0.9810283800649165
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,202,20002,retention,macro_auroc,0.9809186800731692
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,202,20003,retention,macro_auroc,0.9817348080607684
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,202,20004,retention,macro_auroc,0.9815883501390522
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,202,20005,retention,macro_auroc,0.9819188948061406
resnet,electrode,primary_joint,bandpass,heldout,aggregate,electrode,-1,17,20001,retention,macro_auroc,0.989606348191007
resnet,electrode,primary_joint,bandpass,heldout,aggregate,electrode,-1,17,20002,retention,macro_auroc,0.9892172168561215
resnet,electrode,primary_joint,bandpass,heldout,aggregate,electrode,-1,17,20003,retention,macro_auroc,0.9892802566323876
resnet,electrode,primary_joint,bandpass,heldout,aggregate,electrode,-1,17,20004,retention,macro_auroc,0.9897841274727391
resnet,electrode,primary_joint,bandpass,heldout,aggregate,electrode,-1,17,20005,retention,macro_auroc,0.9902398019082513
resnet,electrode,primary_joint,bandpass,heldout,aggregate,electrode,-1,29,20001,retention,macro_auroc,0.9899977062292733
resnet,electrode,primary_joint,bandpass,heldout,aggregate,electrode,-1,29,20002,retention,macro_auroc,0.9898484016669138
resnet,electrode,primary_joint,bandpass,heldout,aggregate,electrode,-1,29,20003,retention,macro_auroc,0.989943490530433
resnet,electrode,primary_joint,bandpass,heldout,aggregate,electrode,-1,29,20004,retention,macro_auroc,0.9901734370803617
resnet,electrode,primary_joint,bandpass,heldout,aggregate,electrode,-1,29,20005,retention,macro_auroc,0.9908668208611859
resnet,electrode,primary_joint,bandpass,heldout,aggregate,electrode,-1,43,20001,retention,macro_auroc,0.9925421199105383
resnet,electrode,primary_joint,bandpass,heldout,aggregate,electrode,-1,43,20002,retention,macro_auroc,0.9925079564802822
resnet,electrode,primary_joint,bandpass,heldout,aggregate,electrode,-1,43,20003,retention,macro_auroc,0.9919066993276362
resnet,electrode,primary_joint,bandpass,heldout,aggregate,electrode,-1,43,20004,retention,macro_auroc,0.9925552775686717
resnet,electrode,primary_joint,bandpass,heldout,aggregate,electrode,-1,43,20005,retention,macro_auroc,0.9930343892703088
resnet,electrode,primary_joint,bandpass,heldout,aggregate,electrode,-1,101,20001,retention,macro_auroc,0.9919330021432344
resnet,electrode,primary_joint,bandpass,heldout,aggregate,electrode,-1,101,20002,retention,macro_auroc,0.9922022146963585
resnet,electrode,primary_joint,bandpass,heldout,aggregate,electrode,-1,101,20003,retention,macro_auroc,0.9915150778614451
resnet,electrode,primary_joint,bandpass,heldout,aggregate,electrode,-1,101,20004,retention,macro_auroc,0.9918223960896541
resnet,electrode,primary_joint,bandpass,heldout,aggregate,electrode,-1,101,20005,retention,macro_auroc,0.991914088791984
resnet,electrode,primary_joint,bandpass,heldout,aggregate,electrode,-1,202,20001,retention,macro_auroc,0.989527084166213
resnet,electrode,primary_joint,bandpass,heldout,aggregate,electrode,-1,202,20002,retention,macro_auroc,0.9906033507893368
resnet,electrode,primary_joint,bandpass,heldout,aggregate,electrode,-1,202,20003,retention,macro_auroc,0.9893597278381803
resnet,electrode,primary_joint,bandpass,heldout,aggregate,electrode,-1,202,20004,retention,macro_auroc,0.9906307435145797
resnet,electrode,primary_joint,bandpass,heldout,aggregate,electrode,-1,202,20005,retention,macro_auroc,0.9911593249762962
resnet,independent_rms,primary_joint,bandpass,heldout,aggregate,electrode,-1,17,20001,retention,macro_auroc,0.9885627095344073
resnet,independent_rms,primary_joint,bandpass,heldout,aggregate,electrode,-1,17,20002,retention,macro_auroc,0.9890242888745209
resnet,independent_rms,primary_joint,bandpass,heldout,aggregate,electrode,-1,17,20003,retention,macro_auroc,0.9889781421854489
resnet,independent_rms,primary_joint,bandpass,heldout,aggregate,electrode,-1,17,20004,retention,macro_auroc,0.9881643590571249
resnet,independent_rms,primary_joint,bandpass,heldout,aggregate,electrode,-1,17,20005,retention,macro_auroc,0.9893938987106933
resnet,independent_rms,primary_joint,bandpass,heldout,aggregate,electrode,-1,29,20001,retention,macro_auroc,0.9876735876395121
