model,seed,group_id,metric,strategy,value,rank
resnet,17,clean,macro_auroc,clean_only,0.9068922993183458,3.0
resnet,17,clean,macro_ap,clean_only,0.7807184945903615,3.0
resnet,17,clean,macro_f1,clean_only,0.7118815125857424,4.0
resnet,17,clean,brier,clean_only,0.0991537570953369,3.0
resnet,17,clean,ece,clean_only,0.0544098231452927,2.0
resnet,17,bandpass__train__independent_rms__s20,macro_auroc,clean_only,0.9056457289426804,4.0
resnet,17,bandpass__train__independent_rms__s20,macro_ap,clean_only,0.7789663853483269,4.0
resnet,17,bandpass__train__independent_rms__s20,macro_f1,clean_only,0.7100071421118735,4.0
resnet,17,bandpass__train__independent_rms__s20,brier,clean_only,0.10023677498102185,4.0
resnet,17,bandpass__train__independent_rms__s20,ece,clean_only,0.05585867120627313,2.0
resnet,17,bandpass__combo_RA_LA_LL__independent_rms__s20,macro_auroc,clean_only,0.905489621427319,4.0
resnet,17,bandpass__combo_RA_LA_LL__independent_rms__s20,macro_ap,clean_only,0.7786075169711543,4.0
resnet,17,bandpass__combo_RA_LA_LL__independent_rms__s20,macro_f1,clean_only,0.7097342733830798,4.0
resnet,17,bandpass__combo_RA_LA_LL__independent_rms__s20,brier,clean_only,0.10033211410045621,4.0
resnet,17,bandpass__combo_RA_LA_LL__independent_rms__s20,ece,clean_only,0.05562761812394028,2.0
resnet,17,bandpass__train__independent_rms__s15,macro_auroc,clean_only,0.9029878923089149,4.0
resnet,17,bandpass__train__independent_rms__s15,macro_ap,clean_only,0.7745114251372475,4.0
resnet,17,bandpass__train__independent_rms__s15,macro_f1,clean_only,0.7048221997158132,4.0
resnet,17,bandpass__train__independent_rms__s15,brier,clean_only,0.1026137629151344,4.0
resnet,17,bandpass__train__independent_rms__s15,ece,clean_only,0.05916855076970605,4.0
resnet,17,bandpass__combo_RA_LA_LL__independent_rms__s15,macro_auroc,clean_only,0.9024013035962405,4.0
resnet,17,bandpass__combo_RA_LA_LL__independent_rms__s15,macro_ap,clean_only,0.773345177329281,4.0
resnet,17,bandpass__combo_RA_LA_LL__independent_rms__s15,macro_f1,clean_only,0.7032726150513697,4.0
resnet,17,bandpass__combo_RA_LA_LL__independent_rms__s15,brier,clean_only,0.10297484099864955,4.0
resnet,17,bandpass__combo_RA_LA_LL__independent_rms__s15,ece,clean_only,0.059594070798509355,4.0
resnet,17,bandpass__train__independent_rms__s10,macro_auroc,clean_only,0.8957128944753385,4.0
resnet,17,bandpass__train__independent_rms__s10,macro_ap,clean_only,0.7620114152154527,4.0
resnet,17,bandpass__train__independent_rms__s10,macro_f1,clean_only,0.6895827691693134,4.0
resnet,17,bandpass__train__independent_rms__s10,brier,clean_only,0.10931229010224339,4.0
resnet,17,bandpass__train__independent_rms__s10,ece,clean_only,0.06731177187402683,4.0
resnet,17,bandpass__combo_RA_LA_LL__independent_rms__s10,macro_auroc,clean_only,0.8941196378934659,4.0
resnet,17,bandpass__combo_RA_LA_LL__independent_rms__s10,macro_ap,clean_only,0.759390634777848,4.0
resnet,17,bandpass__combo_RA_LA_LL__independent_rms__s10,macro_f1,clean_only,0.6864199053491927,4.0
resnet,17,bandpass__combo_RA_LA_LL__independent_rms__s10,brier,clean_only,0.1104667633771896,4.0
resnet,17,bandpass__combo_RA_LA_LL__independent_rms__s10,ece,clean_only,0.06803826906066644,4.0
resnet,17,bandpass__train__independent_rms__s5,macro_auroc,clean_only,0.8772487282230155,4.0
resnet,17,bandpass__train__independent_rms__s5,macro_ap,clean_only,0.7331459949092863,4.0
resnet,17,bandpass__train__independent_rms__s5,macro_f1,clean_only,0.6498544181719178,4.0
resnet,17,bandpass__train__independent_rms__s5,brier,clean_only,0.12685684278607365,4.0
resnet,17,bandpass__train__independent_rms__s5,ece,clean_only,0.09232073741077688,4.0
resnet,17,bandpass__combo_RA_LA_LL__independent_rms__s5,macro_auroc,clean_only,0.8738492140509632,4.0
resnet,17,bandpass__combo_RA_LA_LL__independent_rms__s5,macro_ap,clean_only,0.7278499548652704,4.0
resnet,17,bandpass__combo_RA_LA_LL__independent_rms__s5,macro_f1,clean_only,0.6391269666081383,4.0
resnet,17,bandpass__combo_RA_LA_LL__independent_rms__s5,brier,clean_only,0.12956891655921937,4.0
resnet,17,bandpass__combo_RA_LA_LL__independent_rms__s5,ece,clean_only,0.09415306397407304,4.0
resnet,17,bandpass__train__independent_rms__s0,macro_auroc,clean_only,0.8262035921456943,4.0
resnet,17,bandpass__train__independent_rms__s0,macro_ap,clean_only,0.6566932937251889,4.0
resnet,17,bandpass__train__independent_rms__s0,macro_f1,clean_only,0.5392361668621044,4.0
resnet,17,bandpass__train__independent_rms__s0,brier,clean_only,0.17440816372632978,4.0
resnet,17,bandpass__train__independent_rms__s0,ece,clean_only,0.14690010183039043,4.0
resnet,17,bandpass__combo_RA_LA_LL__independent_rms__s0,macro_auroc,clean_only,0.8179241107899331,4.0
resnet,17,bandpass__combo_RA_LA_LL__independent_rms__s0,macro_ap,clean_only,0.6450595070895114,4.0
resnet,17,bandpass__combo_RA_LA_LL__independent_rms__s0,macro_f1,clean_only,0.5248365563484513,4.0
resnet,17,bandpass__combo_RA_LA_LL__independent_rms__s0,brier,clean_only,0.17950933277606962,4.0
resnet,17,bandpass__combo_RA_LA_LL__independent_rms__s0,ece,clean_only,0.14771196663324423,4.0
resnet,17,bandpass__train__electrode__s20,macro_auroc,clean_only,0.9053096824152269,4.0
resnet,17,bandpass__train__electrode__s20,macro_ap,clean_only,0.7783697670488475,4.0
resnet,17,bandpass__train__electrode__s20,macro_f1,clean_only,0.7092236294133959,4.0
resnet,17,bandpass__train__electrode__s20,brier,clean_only,0.10058537781238552,4.0
resnet,17,bandpass__train__electrode__s20,ece,clean_only,0.05652847988127732,3.0
resnet,17,bandpass__combo_RA_LA_LL__electrode__s20,macro_auroc,clean_only,0.9048271173377078,4.0
resnet,17,bandpass__combo_RA_LA_LL__electrode__s20,macro_ap,clean_only,0.7776507347190778,4.0
resnet,17,bandpass__combo_RA_LA_LL__electrode__s20,macro_f1,clean_only,0.7091496570273058,4.0
resnet,17,bandpass__combo_RA_LA_LL__electrode__s20,brier,clean_only,0.10113350600004192,4.0
resnet,17,bandpass__combo_RA_LA_LL__electrode__s20,ece,clean_only,0.05787701770799634,4.0
resnet,17,bandpass__train__electrode__s15,macro_auroc,clean_only,0.9020784989844008,4.0
resnet,17,bandpass__train__electrode__s15,macro_ap,clean_only,0.772833266912822,4.0
resnet,17,bandpass__train__electrode__s15,macro_f1,clean_only,0.702937984996711,4.0
resnet,17,bandpass__train__electrode__s15,brier,clean_only,0.10365653723478313,4.0
resnet,17,bandpass__train__electrode__s15,ece,clean_only,0.06083923375853734,4.0
resnet,17,bandpass__combo_RA_LA_LL__electrode__s15,macro_auroc,clean_only,0.9003935857792678,4.0
resnet,17,bandpass__combo_RA_LA_LL__electrode__s15,macro_ap,clean_only,0.7702546658875048,4.0
resnet,17,bandpass__combo_RA_LA_LL__electrode__s15,macro_f1,clean_only,0.6997544202238156,4.0
resnet,17,bandpass__combo_RA_LA_LL__electrode__s15,brier,clean_only,0.10544706434011455,4.0
resnet,17,bandpass__combo_RA_LA_LL__electrode__s15,ece,clean_only,0.0638361504507545,4.0
resnet,17,bandpass__train__electrode__s10,macro_auroc,clean_only,0.8934835170872624,4.0
resnet,17,bandpass__train__electrode__s10,macro_ap,clean_only,0.7582406726252264,4.0
resnet,17,bandpass__train__electrode__s10,macro_f1,clean_only,0.6845558164763074,4.0
resnet,17,bandpass__train__electrode__s10,brier,clean_only,0.11207738906145093,4.0
resnet,17,bandpass__train__electrode__s10,ece,clean_only,0.07150808133894575,4.0
resnet,17,bandpass__combo_RA_LA_LL__electrode__s10,macro_auroc,clean_only,0.8890436027190578,4.0
resnet,17,bandpass__combo_RA_LA_LL__electrode__s10,macro_ap,clean_only,0.7513228605653827,4.0
resnet,17,bandpass__combo_RA_LA_LL__electrode__s10,macro_f1,clean_only,0.674611588005595,4.0
resnet,17,bandpass__combo_RA_LA_LL__electrode__s10,brier,clean_only,0.1171810328960418,4.0
resnet,17,bandpass__combo_RA_LA_LL__electrode__s10,ece,clean_only,0.07880221000395234,4.0
resnet,17,bandpass__train__electrode__s5,macro_auroc,clean_only,0.8709227012857381,4.0
resnet,17,bandpass__train__electrode__s5,macro_ap,clean_only,0.7234014874513953,4.0
resnet,17,bandpass__train__electrode__s5,macro_f1,clean_only,0.6351735497949922,4.0
resnet,17,bandpass__train__electrode__s5,brier,clean_only,0.1344895693659782,4.0
resnet,17,bandpass__train__electrode__s5,ece,clean_only,0.10227485286373986,4.0
resnet,17,bandpass__combo_RA_LA_LL__electrode__s5,macro_auroc,clean_only,0.8586249365173322,4.0
resnet,17,bandpass__combo_RA_LA_LL__electrode__s5,macro_ap,clean_only,0.705824377657364,4.0
resnet,17,bandpass__combo_RA_LA_LL__electrode__s5,macro_f1,clean_only,0.6081773224619235,4.0
resnet,17,bandpass__combo_RA_LA_LL__electrode__s5,brier,clean_only,0.14803870320320123,4.0
resnet,17,bandpass__combo_RA_LA_LL__electrode__s5,ece,clean_only,0.11683902096735226,4.0
resnet,17,bandpass__train__electrode__s0,macro_auroc,clean_only,0.8135009379257678,4.0
resnet,17,bandpass__train__electrode__s0,macro_ap,clean_only,0.6357339844359605,4.0
resnet,17,bandpass__train__electrode__s0,macro_f1,clean_only,0.5043350018761614,4.0
resnet,17,bandpass__train__electrode__s0,brier,clean_only,0.1876790553331375,4.0
resnet,17,bandpass__train__electrode__s0,ece,clean_only,0.15957699513686877,4.0
resnet,17,bandpass__combo_RA_LA_LL__electrode__s0,macro_auroc,clean_only,0.7865003266956518,4.0
resnet,17,bandpass__combo_RA_LA_LL__electrode__s0,macro_ap,clean_only,0.5954957922844615,4.0
resnet,17,bandpass__combo_RA_LA_LL__electrode__s0,macro_f1,clean_only,0.43724453301617505,4.0
resnet,17,bandpass__combo_RA_LA_LL__electrode__s0,brier,clean_only,0.21202764511108393,4.0
resnet,17,bandpass__combo_RA_LA_LL__electrode__s0,ece,clean_only,0.177568479339429,4.0
resnet,17,bandpass__train__covariance__s20,macro_auroc,clean_only,0.9052738723274562,4.0
resnet,17,bandpass__train__covariance__s20,macro_ap,clean_only,0.7783454902493884,4.0
resnet,17,bandpass__train__covariance__s20,macro_f1,clean_only,0.7090788254840531,4.0
resnet,17,bandpass__train__covariance__s20,brier,clean_only,0.10060707256197926,4.0
resnet,17,bandpass__train__covariance__s20,ece,clean_only,0.056565972030228354,3.0
resnet,17,bandpass__combo_RA_LA_LL__covariance__s20,macro_auroc,clean_only,0.9046784247932893,4.0
resnet,17,bandpass__combo_RA_LA_LL__covariance__s20,macro_ap,clean_only,0.7775876574559717,4.0
resnet,17,bandpass__combo_RA_LA_LL__covariance__s20,macro_f1,clean_only,0.7068590082214161,4.0
resnet,17,bandpass__combo_RA_LA_LL__covariance__s20,brier,clean_only,0.10117732584476466,4.0
