model,lhs,rhs,group_id,condition,snr,auroc_difference,auroc_difference_sd,seed_t95_low,seed_t95_high,ap_difference,retention_difference,positive_seed_count,n_seeds,paired_seed_differences,inference
resnet,electrode,independent_rms,bandpass__heldout__independent_rms__s15,independent_rms,15,0.0006990001524961986,0.0009794533465300264,-0.0005171518058103332,0.0019151521108027303,-0.0007371459451229745,-0.00011518575446363144,3,5,"[0.00045640423891113446, -6.748212020046829e-05, 0.0010563987068049618, -0.00016908018849659534, 0.0022187601254619604]",secondary descriptive; no added hypothesis test
resnet,electrode,independent_rms,bandpass__heldout__independent_rms__s5,independent_rms,5,0.0008587777708296996,0.0012763303566135063,-0.0007259956827918657,0.002443551224451265,0.0005829558312761884,7.040267210347561e-05,4,5,"[-0.0007695423952021052, 0.0002178754557374818, 0.0018294515259610344, 0.0005946594361141422, 0.0024214448315379444]",secondary descriptive; no added hypothesis test
resnet,electrode,independent_rms,bandpass__heldout__electrode__s15,electrode,15,0.0010437710159955538,0.0008759211765963926,-4.3828774248470554e-05,0.002131370806239578,-8.171907633709452e-05,0.00026452020156946253,4,5,"[0.0011375683856204022, 0.0004937633223084381, 0.001507701710243614, -8.756061655246228e-05, 0.0021673822783577767]",secondary descriptive; no added hypothesis test
resnet,electrode,independent_rms,bandpass__heldout__electrode__s5,electrode,5,0.0030430369466736716,0.0014712784194062507,0.0012162035019627883,0.004869870391384555,0.004399184563106262,0.002479459034770626,5,5,"[0.0017801147040800158, 0.004862763476634502, 0.004141823935555622, 0.001448938681961942, 0.002981543935136277]",secondary descriptive; no added hypothesis test
resnet,electrode,independent_rms,bandpass__heldout__covariance__s15,covariance,15,0.0010028844926225577,0.000833997896063738,-3.266066949747276e-05,0.002038429654742588,-0.00026894709935179064,0.00021971737173229756,4,5,"[0.0010693019021545958, 0.000604381090950179, 0.0013057809733864056, -0.00010653619581690865, 0.002141494692438517]",secondary descriptive; no added hypothesis test
resnet,electrode,independent_rms,bandpass__heldout__covariance__s5,covariance,5,0.0029731173829193437,0.001449691303428446,0.00117308788294315,0.004773146882895538,0.004320381447648014,0.002403123115559813,5,5,"[0.0015178704793393782, 0.004636399114416601, 0.003812846814292059, 0.0013843128751649392, 0.003514157631383741]",secondary descriptive; no added hypothesis test
tcn,electrode,independent_rms,bandpass__heldout__independent_rms__s15,independent_rms,15,-0.0005540500949680283,0.00027100304219066597,-0.0008905448158598746,-0.00021755537407618195,-0.0008990543511826488,-5.0151889883665035e-05,0,5,"[-0.0001996773842983801, -0.0009261765699841717, -0.00048753208724061636, -0.0006882020735473615, -0.00046866235976961157]",secondary descriptive; no added hypothesis test
tcn,electrode,independent_rms,bandpass__heldout__independent_rms__s5,independent_rms,5,-0.0008112373690920549,0.00027044883583322187,-0.0011470439519022874,-0.0004754307862818225,-0.0014929949383968078,-0.0003336988030591348,0,5,"[-0.0008711796415667994, -0.0011320390698106308, -0.0005278437638573941, -0.0009872986991041888, -0.0005378256711212615]",secondary descriptive; no added hypothesis test
tcn,electrode,independent_rms,bandpass__heldout__electrode__s15,electrode,15,-0.0005149981877504928,0.0002929848295508302,-0.0008787869026236257,-0.00015120947287735996,-0.0009164427446263001,-7.868429135360344e-06,0,5,"[-9.873554542882967e-05, -0.0008232152925271574, -0.00040748690571545954, -0.0007647220506548091, -0.0004808311444262081]",secondary descriptive; no added hypothesis test
tcn,electrode,independent_rms,bandpass__heldout__electrode__s5,electrode,5,0.0015929811468755606,0.0006602633340388891,0.0007731559356654845,0.0024128063580856366,0.003008075600878035,0.0022846683738829256,5,5,"[0.0006866968046763677, 0.001551109415680707, 0.0014847496648235925, 0.0017022508605021303, 0.0025400989886950054]",secondary descriptive; no added hypothesis test
tcn,electrode,independent_rms,bandpass__heldout__covariance__s15,covariance,15,-0.0005087864344293757,0.0003001407581034407,-0.0008814604081600034,-0.000136112460698748,-0.0009038228663969638,-1.1320057882846513e-06,0,5,"[-7.329572473202539e-05, -0.0008262432427256217, -0.00040125615783381807, -0.0007498349565872031, -0.0004933020902682106]",secondary descriptive; no added hypothesis test
tcn,electrode,independent_rms,bandpass__heldout__covariance__s5,covariance,5,0.001567527430214466,0.0006294628363673358,0.0007859460880899167,0.0023491087723390156,0.0029667899752864324,0.0022567513637516967,5,5,"[0.0007319764111896054, 0.0014792426175066486, 0.0015126910691084516, 0.0016113034976226182, 0.002502423555645006]",secondary descriptive; no added hypothesis test
