model,lhs,rhs,group_id,kind,snr,pressure,auroc_difference,auroc_difference_sd,seed_t95_low,seed_t95_high,ap_difference,retention_difference,positive_seed_count,n_seeds,paired_seed_differences,inference
resnet,electrode,clean_only,bw__all__electrode__s20,bw,20,False,0.002145089545259227,0.0022650190199231153,-0.0006673030270260851,0.004957482117544539,0.003209395182041175,-2.526046676099014e-05,4,5,"[0.0029912499089239653, 0.0008212137742290571, 0.00140802734080836, -0.00014333821829803917, 0.00564829492063279]",secondary descriptive; no added hypothesis test
resnet,electrode,independent_rms,bw__all__electrode__s20,bw,20,False,0.0009371325544805575,0.0011671434150353982,-0.000512067404709493,0.002386332513670608,-0.0005319040099450945,0.00014630879162325083,4,5,"[0.0008704694796614065, 0.0006774267019303837, 0.0008768635126064073, -0.0004972196642754056, 0.002758122742479996]",secondary descriptive; no added hypothesis test
resnet,electrode,clean_only,bw__all__electrode__s10,bw,10,False,0.0023177481240565178,0.002828774373249667,-0.001194639174249017,0.005830135422362053,0.0034509272438922435,0.00016945950060398562,4,5,"[0.0037002906734238117, 0.00027546202278616594, 0.0022136569414863416, -0.0008796462214304412, 0.006278977204016711]",secondary descriptive; no added hypothesis test
resnet,electrode,independent_rms,bw__all__electrode__s10,bw,10,False,0.000937623611742322,0.0017270109276640636,-0.0012067436816426348,0.003081990905127279,-0.0006251020172609589,0.0001484637141122791,3,5,"[0.000445922516515207, -0.00024481190838587796, 0.0012554933675419377, -0.0005370982917476397, 0.003768612374787983]",secondary descriptive; no added hypothesis test
resnet,electrode,clean_only,bw__all__electrode__s0,bw,0,True,0.004068588747258617,0.002215578378227788,0.001317584839814485,0.006819592654702748,0.00644050293470444,0.0021477937952429915,5,5,"[0.006747749636377365, 0.002262994320830769, 0.003939514314712178, 0.0015864515623461584, 0.005806233902026614]",secondary descriptive; no added hypothesis test
resnet,electrode,independent_rms,bw__all__electrode__s0,bw,0,True,-0.0001990735547716893,0.0027741806825577306,-0.003643673832815975,0.0032455267232725966,-0.002027132366345885,-0.001083168446493854,2,5,"[-0.0027167224932004297, 0.0006386759879465354, -0.00038734837287557333, -0.002578854920714413, 0.004048882024985434]",secondary descriptive; no added hypothesis test
resnet,electrode,clean_only,ma__all__electrode__s20,ma,20,False,0.002147919872273851,0.002462738547792187,-0.0009099739195083333,0.005205813664056036,0.0031395612063882085,-2.168317667010644e-05,4,5,"[0.0031068115937328278, 0.0006427908822923545, 0.0013306213837211978, -0.00029103702953681143, 0.005950412531159688]",secondary descriptive; no added hypothesis test
resnet,electrode,independent_rms,ma__all__electrode__s20,ma,20,False,0.0008161737473052044,0.0012738717995153285,-0.0007655470044800252,0.002397894499090434,-0.0006832622117633136,1.3276241894932817e-05,4,5,"[0.0007697052945000449, 0.0004038134781121361, 0.0007287531883100051, -0.0006659737627574547, 0.0028445705383612907]",secondary descriptive; no added hypothesis test
resnet,electrode,clean_only,ma__all__electrode__s10,ma,10,False,0.0030697609593358876,0.0031462766474907554,-0.0008368574822426255,0.0069763794009144,0.004950333590197609,0.0009997667946456622,4,5,"[0.005154239562156215, 0.0005817114168603643, 0.002525221711501602, -0.00021881639923992946, 0.007306448505401186]",secondary descriptive; no added hypothesis test
resnet,electrode,independent_rms,ma__all__electrode__s10,ma,10,False,0.0009201943529320245,0.0015266527791101983,-0.000975395440646836,0.002815784146510885,-0.0005531886094575445,0.00012952250105413565,4,5,"[0.00025957767055961867, -0.0003124310778928052, 0.0011444165146859975, 3.368637390488427e-05, 0.003475722283402427]",secondary descriptive; no added hypothesis test
