model,lhs,rhs,group_id,question,snr,auroc_difference,auroc_difference_sd,seed_t95_low,seed_t95_high,ap_difference,retention_difference,positive_seed_count,n_seeds,paired_seed_differences,inference
resnet,electrode,clean_only,bandpass__train__electrode__s15,unseen_strength,15,0.003690739599912285,0.0026640862357949235,0.0003828396328155381,0.006998639567009032,0.005759650384596448,0.001680708333438874,5,5,"[0.006740601183281125, 0.0020616911247738345, 0.003477666245022659, 0.00028872307193106295, 0.005885016374552743]",secondary descriptive; no added hypothesis test
resnet,electrode,independent_rms,bandpass__train__electrode__s15,unseen_strength,15,0.0008665218961014132,0.000853844525985464,-0.00019366611187809782,0.0019267099040809242,-0.00045258996415955546,6.931682843218656e-05,4,5,"[0.0008200664014915704, 0.0003055759600728569, 0.0012691424696870124, -0.00013024929135796448, 0.0020680739406135906]",secondary descriptive; no added hypothesis test
resnet,electrode,clean_only,bandpass__train__electrode__s5,unseen_strength,5,0.016044996544037616,0.005734265159736561,0.008924965939038559,0.023165027149036673,0.026876059787789796,0.015332548035006255,5,5,"[0.024744123568647525, 0.012095654087157848, 0.0146452589596896, 0.010327424465366275, 0.01841252163932683]",secondary descriptive; no added hypothesis test
resnet,electrode,independent_rms,bandpass__train__electrode__s5,unseen_strength,5,0.0017203831526270807,0.0011399608821755767,0.0003049347658690615,0.0031358315393851,0.001819560479899307,0.0010207814919348968,5,5,"[0.0001720974035639422, 0.0023572885343036143, 0.002662746649352954, 0.0008369408150191715, 0.002572842360895722]",secondary descriptive; no added hypothesis test
resnet,electrode,clean_only,bandpass__heldout__electrode__s20,unseen_combination,20,0.002777348472573249,0.0022206242640717194,2.007927033766165e-05,0.005534617674808836,0.004084960359046552,0.0006719668574473925,5,5,"[0.004615810851689606, 0.0014232528312352333, 0.0021887388904388017, 0.00016871107084981407, 0.00549022871865279]",secondary descriptive; no added hypothesis test
resnet,electrode,independent_rms,bandpass__heldout__electrode__s20,unseen_combination,20,0.0008912799007248839,0.0009037807405715941,-0.00023091210711280268,0.0020134719085625704,-0.00045670958847146006,9.591710320553393e-05,4,5,"[0.000960600258832156, 0.0005700861268090884, 0.0009503278149813887, -0.0002647510123937602, 0.0022401363153955467]",secondary descriptive; no added hypothesis test
resnet,electrode,clean_only,bandpass__heldout__electrode__s10,unseen_combination,10,0.007952978536007937,0.004442425198740297,0.0024369791020188982,0.013468977969996975,0.013310604950212879,0.006388469321061052,5,5,"[0.014795523251101228, 0.005823028930036278, 0.007517183308207942, 0.0027939795661335864, 0.008835177624560653]",secondary descriptive; no added hypothesis test
resnet,electrode,independent_rms,bandpass__heldout__electrode__s10,unseen_combination,10,0.0015039723656866011,0.0007443446265574485,0.0005797464406337902,0.002428198290739412,0.0010444125228193713,0.0007741618730756628,5,5,"[0.001515649929966445, 0.0011833413576434193, 0.002365285731766753, 0.00044713767065596155, 0.0020084471384004265]",secondary descriptive; no added hypothesis test
tcn,electrode,clean_only,bandpass__train__electrode__s15,unseen_strength,15,-0.0007216192150192535,0.0006344619226643763,-0.0015094077426227519,6.616931258424487e-05,-0.0016287196385568413,0.00010664220817342418,1,5,"[-0.00023093390974238126, -0.0008200942965604918, -0.0013069664964991956, -0.0013315971861284082, 8.149581383420923e-05]",secondary descriptive; no added hypothesis test
tcn,electrode,independent_rms,bandpass__train__electrode__s15,unseen_strength,15,-0.0005277393045603374,0.0002837029007909194,-0.0008800029826583969,-0.0001754756264622779,-0.0008989719551013353,-2.1608783401272368e-05,0,5,"[-0.0001326795957051763, -0.0008679217159054398, -0.00045943260602721026, -0.0007269905623764616, -0.0004516720427873988]",secondary descriptive; no added hypothesis test
tcn,electrode,clean_only,bandpass__train__electrode__s5,unseen_strength,5,0.003434948802759874,0.0020261684640079823,0.0009191283667053384,0.005950769238814409,0.006465126731650029,0.004630230308033734,5,5,"[0.002400035718907234, 0.004758596598382847, 0.0005711879303480494, 0.00574271670463844, 0.0037022070615227998]",secondary descriptive; no added hypothesis test
tcn,electrode,independent_rms,bandpass__train__electrode__s5,unseen_strength,5,0.0004354009077739862,0.0004112609016934992,-7.524694772765016e-05,0.0009460487632756225,0.0009534115901520979,0.0010245569703898117,5,5,"[8.792720551098476e-05, 0.00016657477362824746, 0.00036882683785544046, 0.0004261626835112553, 0.001127513038364003]",secondary descriptive; no added hypothesis test
tcn,electrode,clean_only,bandpass__heldout__electrode__s20,unseen_combination,20,-0.0008331267384362295,0.0005381638313189562,-0.001501345392920382,-0.0001649080839520769,-0.0017533918870741073,-1.448810286246438e-05,0,5,"[-0.00044045124803215874, -0.0009768435987441704, -0.0013096923767740298, -0.0013237301245450084, -0.00011491634408578033]",secondary descriptive; no added hypothesis test
tcn,electrode,independent_rms,bandpass__heldout__electrode__s20,unseen_combination,20,-0.0005295286149482381,0.0002537967812764218,-0.0008446589411191668,-0.0002143982887773094,-0.0008750593098684645,-2.3404097189549945e-05,0,5,"[-0.0001505151398432103, -0.0008297991583391395, -0.000456053102994014, -0.0006641772809730107, -0.000547098392591816]",secondary descriptive; no added hypothesis test
tcn,electrode,clean_only,bandpass__heldout__electrode__s10,unseen_combination,10,0.0005917705006873053,0.0007506761580538457,-0.00034031705907807525,0.001523858060452686,0.0009365337719929201,0.0015357086424104382,4,5,"[0.0008527227257724146, 0.0009492298480454631, -0.0006144686029202484, 0.0004217865674057686, 0.0013495819651331287]",secondary descriptive; no added hypothesis test
tcn,electrode,independent_rms,bandpass__heldout__electrode__s10,unseen_combination,10,-0.0002152415064071267,0.000284561660263214,-0.0005685714752250509,0.0001380884624107975,-0.00039583696614522437,0.0003176277433351027,1,5,"[5.230602383876626e-05, -0.0004475983977629827, -8.503467864307002e-05, -0.0005875071310404989, -8.373348427848093e-06]",secondary descriptive; no added hypothesis test
