model,strategy,group_id,kind,combo_set,combo_id,condition,snr,metric,outcome,n_seeds,mean,std,ci95_low,ci95_high,n_expected,n_undefined
resnet,clean_only,clean,clean,clean,none,clean,100,ap_CD,absolute,5,0.8062142877569848,0.005826969049049,0.798979150070133,0.8134494254438366,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,ap_CD,clean_cost,5,0.0,0.0,0.0,0.0,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,ap_CD,drop,5,0.0,0.0,0.0,0.0,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,ap_CD,retention,5,0.9999999999987595,8.962085828685492e-15,0.9999999999987484,0.9999999999987708,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,ap_HYP,absolute,5,0.6399990277646797,0.0155717954103438,0.620664090016261,0.6593339655130983,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,ap_HYP,clean_cost,5,0.0,0.0,0.0,0.0,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,ap_HYP,drop,5,0.0,0.0,0.0,0.0,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,ap_HYP,retention,5,0.9999999999984368,3.7259397327503934e-14,0.9999999999983904,0.9999999999984832,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,ap_MI,absolute,5,0.7631695886524448,0.0177125492181516,0.7411765539718536,0.785162623333036,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,ap_MI,clean_cost,5,0.0,0.0,0.0,0.0,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,ap_MI,drop,5,0.0,0.0,0.0,0.0,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,ap_MI,retention,5,0.9999999999986892,3.0412512596695634e-14,0.9999999999986516,0.999999999998727,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,ap_NORM,absolute,5,0.9042284079649064,0.0065501593985695,0.8960953108572066,0.9123615050726064,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,ap_NORM,clean_cost,5,0.0,0.0,0.0,0.0,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,ap_NORM,drop,5,0.0,0.0,0.0,0.0,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,ap_NORM,retention,5,0.999999999998894,8.020544970913428e-15,0.999999999998884,0.999999999998904,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,ap_STTC,absolute,5,0.8046269712483817,0.0141548107842244,0.7870514522962238,0.8222024902005396,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,ap_STTC,clean_cost,5,0.0,0.0,0.0,0.0,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,ap_STTC,drop,5,0.0,0.0,0.0,0.0,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,ap_STTC,retention,5,0.9999999999987568,2.2015123508826654e-14,0.9999999999987296,0.9999999999987842,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,auroc_CD,absolute,5,0.8988133709871511,0.0034518137704451,0.8945273780998854,0.9030993638744168,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,auroc_CD,clean_cost,5,0.0,0.0,0.0,0.0,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,auroc_CD,drop,5,0.0,0.0,0.0,0.0,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,auroc_CD,retention,5,0.9999999999988874,4.2696700670651146e-15,0.999999999998882,0.9999999999988928,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,auroc_HYP,absolute,5,0.8931317840693144,0.0032108372223558,0.8891450030862226,0.8971185650524062,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,auroc_HYP,clean_cost,5,0.0,0.0,0.0,0.0,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,auroc_HYP,drop,5,0.0,0.0,0.0,0.0,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,auroc_HYP,retention,5,0.9999999999988805,4.009119721819008e-15,0.9999999999988752,0.9999999999988852,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,auroc_MI,absolute,5,0.8895006784260515,0.0108872254071236,0.8759824025976968,0.9030189542544064,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,auroc_MI,clean_cost,5,0.0,0.0,0.0,0.0,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,auroc_MI,drop,5,0.0,0.0,0.0,0.0,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,auroc_MI,retention,5,0.9999999999988756,1.37795182100538e-14,0.9999999999988584,0.9999999999988928,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,auroc_NORM,absolute,5,0.931726430219372,0.0031675502939852,0.9277933970568308,0.9356594633819132,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,auroc_NORM,clean_cost,5,0.0,0.0,0.0,0.0,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,auroc_NORM,drop,5,0.0,0.0,0.0,0.0,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,auroc_NORM,retention,5,0.9999999999989267,3.659528174681961e-15,0.9999999999989222,0.9999999999989312,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,auroc_STTC,absolute,5,0.9225855545406898,0.0047149522881805,0.9167311680312076,0.928439941050172,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,auroc_STTC,clean_cost,5,0.0,0.0,0.0,0.0,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,auroc_STTC,drop,5,0.0,0.0,0.0,0.0,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,auroc_STTC,retention,5,0.999999999998916,5.551115123125783e-15,0.9999999999989092,0.999999999998923,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,brier,absolute,5,0.0961674273014068,0.002419581613015,0.0931631199218102,0.0991717346810034,5,0
