training_seed,metric,outcome,interval_rows,rows_with_invalid,max_invalid
17,auroc_CD,absolute,3014,0,0
17,auroc_CD,clean_cost,3014,0,0
17,auroc_CD,drop,3014,0,0
17,auroc_CD,retention,3014,0,0
17,auroc_HYP,absolute,3014,0,0
17,auroc_HYP,clean_cost,3014,0,0
17,auroc_HYP,drop,3014,0,0
17,auroc_HYP,retention,3014,0,0
17,auroc_MI,absolute,3014,0,0
17,auroc_MI,clean_cost,3014,0,0
17,auroc_MI,drop,3014,0,0
17,auroc_MI,retention,3014,0,0
17,auroc_NORM,absolute,3014,0,0
17,auroc_NORM,clean_cost,3014,0,0
17,auroc_NORM,drop,3014,0,0
17,auroc_NORM,retention,3014,0,0
17,auroc_STTC,absolute,3014,0,0
17,auroc_STTC,clean_cost,3014,0,0
17,auroc_STTC,drop,3014,0,0
17,auroc_STTC,retention,3014,0,0
17,macro_auroc,absolute,3014,0,0
17,macro_auroc,clean_cost,3014,0,0
17,macro_auroc,drop,3014,0,0
17,macro_auroc,retention,3014,0,0
mean_fixed_seeds,auroc_CD,absolute,3014,0,0
mean_fixed_seeds,auroc_CD,clean_cost,3014,0,0
mean_fixed_seeds,auroc_CD,drop,3014,0,0
mean_fixed_seeds,auroc_CD,retention,3014,0,0
mean_fixed_seeds,auroc_HYP,absolute,3014,0,0
mean_fixed_seeds,auroc_HYP,clean_cost,3014,0,0
mean_fixed_seeds,auroc_HYP,drop,3014,0,0
mean_fixed_seeds,auroc_HYP,retention,3014,0,0
mean_fixed_seeds,auroc_MI,absolute,3014,0,0
mean_fixed_seeds,auroc_MI,clean_cost,3014,0,0
mean_fixed_seeds,auroc_MI,drop,3014,0,0
mean_fixed_seeds,auroc_MI,retention,3014,0,0
mean_fixed_seeds,auroc_NORM,absolute,3014,0,0
mean_fixed_seeds,auroc_NORM,clean_cost,3014,0,0
mean_fixed_seeds,auroc_NORM,drop,3014,0,0
mean_fixed_seeds,auroc_NORM,retention,3014,0,0
mean_fixed_seeds,auroc_STTC,absolute,3014,0,0
mean_fixed_seeds,auroc_STTC,clean_cost,3014,0,0
mean_fixed_seeds,auroc_STTC,drop,3014,0,0
mean_fixed_seeds,auroc_STTC,retention,3014,0,0
mean_fixed_seeds,macro_auroc,absolute,3014,0,0
mean_fixed_seeds,macro_auroc,clean_cost,3014,0,0
mean_fixed_seeds,macro_auroc,drop,3014,0,0
mean_fixed_seeds,macro_auroc,retention,3014,0,0
