model,strategy,seed,group_id,class_name,bin_id,count,probability_sum,target_sum
resnet,clean_only,17,clean,NORM,0,253,4.779292752431132,4.0
resnet,clean_only,17,clean,NORM,1,68,6.5807268768548965,10.0
resnet,clean_only,17,clean,NORM,2,27,4.507226496934891,4.0
resnet,clean_only,17,clean,NORM,3,30,6.9116021245718,5.0
resnet,clean_only,17,clean,NORM,4,19,5.726107150316238,4.0
resnet,clean_only,17,clean,NORM,5,28,10.475484430789948,13.0
resnet,clean_only,17,clean,NORM,6,31,13.513791650533676,9.0
resnet,clean_only,17,clean,NORM,7,21,10.453743696212769,10.0
resnet,clean_only,17,clean,NORM,8,19,10.64077079296112,9.0
resnet,clean_only,17,clean,NORM,9,23,14.403764367103577,14.0
resnet,clean_only,17,clean,NORM,10,31,21.562078714370728,19.0
resnet,clean_only,17,clean,NORM,11,46,35.24832624197006,33.0
resnet,clean_only,17,clean,NORM,12,52,43.25260633230209,36.0
resnet,clean_only,17,clean,NORM,13,76,68.711805164814,56.0
resnet,clean_only,17,clean,NORM,14,276,269.4619020819664,245.0
resnet,clean_only,17,clean,MI,0,649,10.074083083924961,57.0
resnet,clean_only,17,clean,MI,1,104,9.803234875202179,34.0
resnet,clean_only,17,clean,MI,2,59,9.848020628094673,24.0
resnet,clean_only,17,clean,MI,3,54,12.632398501038551,26.0
resnet,clean_only,17,clean,MI,4,23,6.992415487766266,13.0
resnet,clean_only,17,clean,MI,5,28,10.26836571097374,18.0
resnet,clean_only,17,clean,MI,6,18,7.643250972032547,9.0
resnet,clean_only,17,clean,MI,7,12,6.112177014350891,9.0
resnet,clean_only,17,clean,MI,8,12,6.825689613819122,10.0
resnet,clean_only,17,clean,MI,9,9,5.700255453586578,5.0
resnet,clean_only,17,clean,MI,10,9,6.375515818595886,6.0
resnet,clean_only,17,clean,MI,11,5,3.8653331995010376,5.0
resnet,clean_only,17,clean,MI,12,7,5.782082915306091,6.0
resnet,clean_only,17,clean,MI,13,6,5.391569554805756,6.0
resnet,clean_only,17,clean,MI,14,5,4.821224868297577,5.0
resnet,clean_only,17,clean,STTC,0,492,10.386085749079939,17.0
resnet,clean_only,17,clean,STTC,1,97,9.33509162813425,11.0
resnet,clean_only,17,clean,STTC,2,70,11.501696571707726,11.0
resnet,clean_only,17,clean,STTC,3,48,11.082122832536697,8.0
resnet,clean_only,17,clean,STTC,4,32,9.48222827911377,9.0
resnet,clean_only,17,clean,STTC,5,33,11.964492797851562,15.0
resnet,clean_only,17,clean,STTC,6,34,14.66349670290947,16.0
resnet,clean_only,17,clean,STTC,7,40,19.78083026409149,28.0
resnet,clean_only,17,clean,STTC,8,27,15.312585651874542,21.0
resnet,clean_only,17,clean,STTC,9,22,13.823140561580658,17.0
resnet,clean_only,17,clean,STTC,10,24,16.834011256694794,19.0
resnet,clean_only,17,clean,STTC,11,16,12.304061353206635,13.0
resnet,clean_only,17,clean,STTC,12,28,23.36577183008194,25.0
resnet,clean_only,17,clean,STTC,13,27,24.24896740913391,24.0
resnet,clean_only,17,clean,STTC,14,10,9.634459912776947,10.0
resnet,clean_only,17,clean,CD,0,293,9.529404095606878,15.0
resnet,clean_only,17,clean,CD,1,162,15.678499773144722,12.0
resnet,clean_only,17,clean,CD,2,107,17.870537966489792,9.0
resnet,clean_only,17,clean,CD,3,73,17.242597088217735,8.0
resnet,clean_only,17,clean,CD,4,46,13.9058176279068,8.0
resnet,clean_only,17,clean,CD,5,40,14.688405632972717,5.0
resnet,clean_only,17,clean,CD,6,30,13.018007636070251,6.0
resnet,clean_only,17,clean,CD,7,25,12.50294977426529,5.0
resnet,clean_only,17,clean,CD,8,20,11.30607295036316,5.0
resnet,clean_only,17,clean,CD,9,16,10.198368430137634,8.0
resnet,clean_only,17,clean,CD,10,26,18.17695426940918,9.0
resnet,clean_only,17,clean,CD,11,25,19.189742147922516,10.0
resnet,clean_only,17,clean,CD,12,13,11.033710658550262,5.0
resnet,clean_only,17,clean,CD,13,31,28.01337558031082,21.0
resnet,clean_only,17,clean,CD,14,93,91.05088138580322,79.0
resnet,clean_only,17,clean,HYP,0,684,11.172755560168298,29.0
resnet,clean_only,17,clean,HYP,1,123,11.68124159425497,23.0
resnet,clean_only,17,clean,HYP,2,54,8.849264785647392,13.0
resnet,clean_only,17,clean,HYP,3,34,7.706746220588684,9.0
resnet,clean_only,17,clean,HYP,4,25,7.577719271183014,9.0
resnet,clean_only,17,clean,HYP,5,11,3.9678171575069427,7.0
resnet,clean_only,17,clean,HYP,6,15,6.442653805017471,5.0
resnet,clean_only,17,clean,HYP,7,8,3.9285691380500793,4.0
resnet,clean_only,17,clean,HYP,8,11,6.293506026268005,7.0
resnet,clean_only,17,clean,HYP,9,7,4.434534788131714,6.0
resnet,clean_only,17,clean,HYP,10,2,1.4146851897239685,1.0
resnet,clean_only,17,clean,HYP,11,4,3.108864426612854,4.0
resnet,clean_only,17,clean,HYP,12,5,4.196345090866089,4.0
resnet,clean_only,17,clean,HYP,13,9,8.005175173282623,8.0
resnet,clean_only,17,clean,HYP,14,8,7.776021420955658,7.0
