stage,model,strategy,seed,case_id,kind,condition,combo_id,combo_set,snr,noise_seed,prediction_path,prediction_sha256,checkpoint_sha256,input_sha256,macro_auroc,macro_ap,macro_f1,micro_auroc,micro_ap,micro_f1,brier,ece,mean_loss,mean_confidence,mean_entropy,clean_agreement,probability_shift,auroc_NORM,ap_NORM,f1_NORM,auroc_MI,ap_MI,f1_MI,auroc_STTC,ap_STTC,f1_STTC,auroc_CD,ap_CD,f1_CD,auroc_HYP,ap_HYP,f1_HYP,tp_NORM,tp_MI,tp_STTC,tp_CD,tp_HYP,tn_NORM,tn_MI,tn_STTC,tn_CD,tn_HYP,fp_NORM,fp_MI,fp_STTC,fp_CD,fp_HYP,fn_NORM,fn_MI,fn_STTC,fn_CD,fn_HYP,sensitivity_NORM,sensitivity_denominator_NORM,sensitivity_MI,sensitivity_denominator_MI,sensitivity_STTC,sensitivity_denominator_STTC,sensitivity_CD,sensitivity_denominator_CD,sensitivity_HYP,sensitivity_denominator_HYP,macro_sensitivity,macro_sensitivity_n_defined,macro_sensitivity_n_undefined,specificity_NORM,specificity_denominator_NORM,specificity_MI,specificity_denominator_MI,specificity_STTC,specificity_denominator_STTC,specificity_CD,specificity_denominator_CD,specificity_HYP,specificity_denominator_HYP,macro_specificity,macro_specificity_n_defined,macro_specificity_n_undefined,ppv_NORM,ppv_denominator_NORM,ppv_MI,ppv_denominator_MI,ppv_STTC,ppv_denominator_STTC,ppv_CD,ppv_denominator_CD,ppv_HYP,ppv_denominator_HYP,macro_ppv,macro_ppv_n_defined,macro_ppv_n_undefined,npv_NORM,npv_denominator_NORM,npv_MI,npv_denominator_MI,npv_STTC,npv_denominator_STTC,npv_CD,npv_denominator_CD,npv_HYP,npv_denominator_HYP,macro_npv,macro_npv_n_defined,macro_npv_n_undefined
pilot,resnet,clean_only,17,clean,clean,clean,none,clean,100,0,phase2/results/predictions/pilot/clean_only/resnet/seed_17/clean.npz,e89e344f27119a2ab9f9d669d31b27f7d71b7c3694ea7ea10bb5a5aa1aff9176,40436b0f8bb760abf62d61c6ec845f8d82186e589259f323ee8d42b0fa2e673c,01a88b4964eaf3f3c83cbc844dfda660ec5323153c0e74ae65f4bf9da30ad5a6,0.8696277527709938,0.714095108213359,0.6656872723594327,0.8758779959105079,0.7433390858898654,0.7106145251396648,0.11698154360055923,0.0767008192565292,0.39253731560229915,0.8866307735443115,0.2696747433357542,1.0,0.0,0.9011193655456957,0.8611820727442053,0.827021494370522,0.8427069402554963,0.6385001412883125,0.6142034548944337,0.910307702315899,0.7917274961088724,0.7392120075046904,0.8442890013805799,0.7092280664192402,0.6419753086419753,0.8497157543572985,0.5698377645061643,0.5060240963855421,404,160,197,130,63,427,639,664,725,814,102,128,92,70,50,67,73,47,75,73,0.8577494692144374,471,0.6866952789699571,233,0.8073770491803278,244,0.6341463414634146,205,0.4632352941176471,136,0.6898406865891568,5,0,0.8071833648393195,529,0.833116036505867,767,0.8783068783068783,756,0.9119496855345912,795,0.9421296296296297,864,0.8745371189632571,5,0,0.7984189723320159,506,0.5555555555555556,288,0.6816608996539792,289,0.65,200,0.5575221238938053,113,0.6486315102870712,5,0,0.8643724696356275,494,0.8974719101123596,712,0.9338959212376934,711,0.90625,800,0.9177001127395716,887,0.9039380827450504,5,0
pilot,resnet,independent_rms,17,clean,clean,clean,none,clean,100,0,phase2/results/predictions/pilot/independent_rms/resnet/seed_17/clean.npz,0869017e61c02786042fa34aa0fa8c3714e0643a6510ead065ec9a94ac00637c,fe842b18df15ec7075f8d413d922ac364c4be7594e7cd1538371183f03f4545a,01a88b4964eaf3f3c83cbc844dfda660ec5323153c0e74ae65f4bf9da30ad5a6,0.8713975680256875,0.7115159955538446,0.6526617922193183,0.8819175332430643,0.7502428839902546,0.7040475306349796,0.11513858288526535,0.06513441484607757,0.37696052910410155,0.8784862160682678,0.2861585880916611,1.0,0.0,0.9061001208063928,0.8749767340900445,0.8289345063538612,0.8445926663719636,0.6374687973320315,0.5970772442588727,0.9074507763032353,0.7673710872495241,0.7069271758436945,0.8431968093265838,0.7070568135692792,0.6240409207161125,0.8556474673202614,0.5707065455283434,0.5063291139240507,424,143,199,122,60,401,664,636,731,823,128,103,120,64,41,47,90,45,83,76,0.9002123142250531,471,0.6137339055793991,233,0.8155737704918032,244,0.5951219512195122,205,0.4411764705882353,136,0.6731636824208007,5,0,0.7580340264650284,529,0.8657105606258149,767,0.8412698412698413,756,0.919496855345912,795,0.9525462962962963,864,0.8674115160005786,5,0,0.7681159420289855,552,0.5813008130081301,246,0.6238244514106583,319,0.6559139784946236,186,0.594059405940594,101,0.6446429181765984,5,0,0.8950892857142857,448,0.8806366047745358,754,0.933920704845815,681,0.898034398034398,814,0.9154616240266963,899,0.9046285234791462,5,0
pilot,resnet,electrode,17,clean,clean,clean,none,clean,100,0,phase2/results/predictions/pilot/electrode/resnet/seed_17/clean.npz,873b95ca8ef70a85f8aa39f28f015683ea7e9d04f453452c86b1428a46e9a7d7,4d6d9da7119c3a3d499d9aebca5e706cb0a7253625210609e326fd6f0aaccaf7,01a88b4964eaf3f3c83cbc844dfda660ec5323153c0e74ae65f4bf9da30ad5a6,0.8780248308647153,0.7276602250201064,0.6727039864990643,0.8869149420327757,0.7503095404377962,0.7136397889977393,0.12080232799053192,0.10126412798166275,0.4468285254012601,0.9256293177604675,0.18207270113149499,1.0,0.0,0.9105270128712991,0.8818738314575703,0.8325074331020813,0.842158568862577,0.6272543482053423,0.6077586206896551,0.9139235840055513,0.780131192918143,0.714859437751004,0.8633655468630158,0.736976471910156,0.6408268733850129,0.8601494417211331,0.6120652806093201,0.5675675675675675,420,141,178,124,84,411,677,680,737,788,118,90,76,58,76,51,92,66,81,52,0.89171974522293,471,0.6051502145922747,233,0.7295081967213115,244,0.6048780487804878,205,0.6176470588235294,136,0.6897806528281067,5,0,0.776937618147448,529,0.8826597131681877,767,0.8994708994708994,756,0.9270440251572327,795,0.9120370370370371,864,0.879629858596161,5,0,0.7806691449814126,538,0.6103896103896104,231,0.7007874015748031,254,0.6813186813186813,182,0.525,160,0.6596329676529014,5,0,0.8896103896103896,462,0.8803641092327699,769,0.9115281501340483,746,0.9009779951100244,818,0.9380952380952381,840,0.9041151764364941,5,0
pilot,resnet,mixed,17,clean,clean,clean,none,clean,100,0,phase2/results/predictions/pilot/mixed/resnet/seed_17/clean.npz,3278f82331d20c5ac73ef35f63223eb2acda9ff46f8e9f7a429399061ee17349,3d0671513ed1769d05d533eb437ae53bcbd6b563712ca2871b2e9a84db175c4e,01a88b4964eaf3f3c83cbc844dfda660ec5323153c0e74ae65f4bf9da30ad5a6,0.871764579381348,0.7251012878978009,0.6582022771708977,0.8763511870753482,0.7391722466574683,0.7097767513471901,0.12146276980638504,0.0955676010780037,0.4364767281210196,0.9155390858650208,0.20800907970598864,1.0,0.0,0.9059415875003511,0.8725869916459255,0.8308605341246291,0.8392488431042298,0.644477827102066,0.6038461538461538,0.9146662763466041,0.7855713965322829,0.7235772357723578,0.8521184230710231,0.7165445180389982,0.6208791208791209,0.8468477668845318,0.6063257061697316,0.5118483412322274,420,157,178,113,54,409,637,686,749,843,120,130,70,46,21,51,76,66,92,82,0.89171974522293,471,0.6738197424892703,233,0.7295081967213115,244,0.551219512195122,205,0.39705882352941174,136,0.6486652040316091,5,0,0.7731568998109641,529,0.8305084745762712,767,0.9074074074074074,756,0.9421383647798742,795,0.9756944444444444,864,0.8857811182037922,5,0,0.7777777777777778,540,0.5470383275261324,287,0.717741935483871,248,0.710691823899371,159,0.72,75,0.6946499729374305,5,0,0.8891304347826087,460,0.8934081346423562,713,0.9122340425531915,752,0.8906064209274673,841,0.9113513513513514,925,0.899346076851395,5,0
pilot,tcn,clean_only,17,clean,clean,clean,none,clean,100,0,phase2/results/predictions/pilot/clean_only/tcn/seed_17/clean.npz,ddb733c35fc8ae82a16a7ab3b7fb067f8cc0b5f05276b570624815f506d5cafc,7177f54d25e650e0763a94d1f2862da58793b24ecbbaeb6a181f60210ec39435,01a88b4964eaf3f3c83cbc844dfda660ec5323153c0e74ae65f4bf9da30ad5a6,0.8577932097985002,0.6881967389014474,0.6330794100118029,0.8786287135367375,0.7366210420328936,0.6770343580470163,0.11563332378864288,0.056067165264301,0.37426090315427274,0.8655407428741455,0.3151702817326732,1.0,0.0,0.8912060170413271,0.8497192525635073,0.8083889418493804,0.8172916048816247,0.6014806075541586,0.5585215605749486,0.9046155347384854,0.7489512364379541,0.690978886756238,0.8366559288234392,0.6705070446668773,0.5681818181818182,0.8391969635076251,0.5703255532847393,0.5393258426966292,424,136,180,100,96,375,649,659,748,740,154,118,97,47,124,47,97,64,105,40,0.9002123142250531,471,0.5836909871244635,233,0.7377049180327869,244,0.4878048780487805,205,0.7058823529411765,136,0.6830590900744522,5,0,0.7088846880907372,529,0.8461538461538461,767,0.8716931216931217,756,0.9408805031446541,795,0.8564814814814815,864,0.8448187281127681,5,0,0.7335640138408305,578,0.5354330708661418,254,0.6498194945848376,277,0.6802721088435374,147,0.43636363636363634,220,0.6070904648997967,5,0,0.8886255924170616,422,0.8699731903485255,746,0.9114799446749654,723,0.876905041031653,853,0.9487179487179487,780,0.8991403434380307,5,0
pilot,tcn,independent_rms,17,clean,clean,clean,none,clean,100,0,phase2/results/predictions/pilot/independent_rms/tcn/seed_17/clean.npz,03cc6492094c4a84978debe74eb57b517b6d444ec98e4fb8f1d95a8ab3af9bff,fdaf179fc1cebac76edf0d8908e01d6ad6137bafd85ae3642c5948d3a81fb529,01a88b4964eaf3f3c83cbc844dfda660ec5323153c0e74ae65f4bf9da30ad5a6,0.8561395100429335,0.6839111286995019,0.6342720204836649,0.8765390210765012,0.7319582102413656,0.6737381126554499,0.116921067237854,0.05750660411790013,0.37914672266814636,0.8676651120185852,0.3110023730523608,1.0,0.0,0.8885330250964243,0.8463464585710406,0.8051181102362205,0.8139006552478583,0.5926194057710156,0.5637860082304527,0.9038674212854542,0.7475879733407268,0.6734279918864098,0.8345697192820984,0.6654025001130618,0.5846153846153846,0.8398267293028322,0.5675993057016643,0.5444126074498568,409,137,166,114,95,393,651,673,724,746,136,116,83,71,118,62,96,78,91,41,0.8683651804670913,471,0.5879828326180258,233,0.680327868852459,244,0.5560975609756098,205,0.6985294117647058,136,0.6782605709355783,5,0,0.7429111531190926,529,0.848761408083442,767,0.8902116402116402,756,0.9106918238993711,795,0.8634259259259259,864,0.8512003902478943,5,0,0.7504587155963303,545,0.541501976284585,253,0.6666666666666666,249,0.6162162162162163,185,0.4460093896713615,213,0.6041705928870319,5,0,0.8637362637362638,455,0.8714859437751004,747,0.8961384820239681,751,0.8883435582822086,815,0.9479034307496823,787,0.8935215357134446,5,0
pilot,tcn,electrode,17,clean,clean,clean,none,clean,100,0,phase2/results/predictions/pilot/electrode/tcn/seed_17/clean.npz,24361a16ef203135cfe4f8faf6b40a356a85b2eeecd8537ae01d35c60d8c0a1b,3d60d1a1027fcec3538c6f638e1fecfb40e984db5cf846fbd9b493c3cedda5f3,01a88b4964eaf3f3c83cbc844dfda660ec5323153c0e74ae65f4bf9da30ad5a6,0.8565363706472988,0.6850183876197797,0.6367830948900262,0.8788887753034978,0.7360178637877384,0.6789189189189189,0.11538185179233551,0.05306665776520964,0.37318744499807066,0.8632044196128845,0.3197606069112351,1.0,0.0,0.8894200089099732,0.8471591775336536,0.8064211520302171,0.8150981193099474,0.5956180131418749,0.5502183406113537,0.9051088559285281,0.7484216538688857,0.6807692307692308,0.8355514649486118,0.6686466738298922,0.6025974025974026,0.8375034041394336,0.5652464197245924,0.5439093484419264,427,126,177,116,96,368,668,657,731,743,161,99,99,64,121,44,107,67,89,40,0.9065817409766455,471,0.5407725321888412,233,0.7254098360655737,244,0.5658536585365853,205,0.7058823529411765,136,0.6889000241417645,5,0,0.6956521739130435,529,0.8709256844850065,767,0.8690476190476191,756,0.919496855345912,795,0.8599537037037037,864,0.843015207299057,5,0,0.7261904761904762,588,0.56,225,0.6413043478260869,276,0.6444444444444445,180,0.4423963133640553,217,0.6028671163650126,5,0,0.8932038834951457,412,0.8619354838709677,775,0.9074585635359116,724,0.8914634146341464,820,0.9489144316730523,783,0.9005951554418447,5,0
pilot,tcn,mixed,17,clean,clean,clean,none,clean,100,0,phase2/results/predictions/pilot/mixed/tcn/seed_17/clean.npz,dd0bb9e552d8aa4160ec257bc36cf589c15dcdbb0499867cdefb260385dd2a49,1fd670e7cbaed941b10d1e3208c394602848c770a65f75ba6c709251e3edf625,01a88b4964eaf3f3c83cbc844dfda660ec5323153c0e74ae65f4bf9da30ad5a6,0.857170426525314,0.685589024762064,0.6420547543955821,0.8791900204850904,0.7372909638161821,0.6816901408450704,0.11540153622627258,0.05224718413259835,0.3723257642435322,0.861514151096344,0.32247033612995646,1.0,0.0,0.8908769099249877,0.8498080689238375,0.8101983002832861,0.8168719328972476,0.5991904886363094,0.5647969052224371,0.9039541590771099,0.7451184202071125,0.69921875,0.8354287467402977,0.6678522447878932,0.6030927835051546,0.8387203839869282,0.5659759012551675,0.532967032967033,429,146,179,117,97,370,629,667,729,733,159,138,89,66,131,42,87,65,88,39,0.910828025477707,471,0.6266094420600858,233,0.7336065573770492,244,0.5707317073170731,205,0.7132352941176471,136,0.7110022052699125,5,0,0.6994328922495274,529,0.8200782268578879,767,0.8822751322751323,756,0.9169811320754717,795,0.8483796296296297,864,0.8334294026175298,5,0,0.7295918367346939,588,0.5140845070422535,284,0.667910447761194,268,0.639344262295082,183,0.42543859649122806,228,0.5952739300648904,5,0,0.8980582524271845,412,0.8784916201117319,716,0.9112021857923497,732,0.8922888616891065,817,0.9494818652849741,772,0.9059045570610694,5,0
pilot,resnet,clean_only,17,bandpass_n20001_cRA_LA_LL_independent_rms_s10,bandpass,independent_rms,RA_LA_LL,train,10,20001,phase2/results/predictions/pilot/clean_only/resnet/seed_17/bandpass_n20001_cRA_LA_LL_independent_rms_s10.npz,d86325df0c8fd92ae67462ca2e6e1140f7917c5f0d13cac788c02bb02ea3ff99,40436b0f8bb760abf62d61c6ec845f8d82186e589259f323ee8d42b0fa2e673c,7ee8424cca7ed30d7671b3279c7359bb044a3805bbdc05ee9a95d1fff06825d1,0.8654847131799391,0.7020633689029305,0.6517073384795437,0.8698882131603378,0.734478269066723,0.6933333333333334,0.11900486052036285,0.07010827868804337,0.3936566225009551,0.8773974776268005,0.28953018196349145,0.955,0.034730177372694016,0.8962469748233056,0.856088891207744,0.8142857142857143,0.8346995987935829,0.6147876914109026,0.6091954022988506,0.900164801804146,0.7636292573096849,0.6931407942238267,0.8414051234851971,0.6973297587769053,0.610079575596817,0.8549070669934641,0.5784812458094155,0.5318352059925093,399,159,192,115,71,419,637,638,738,804,110,130,118,57,60,72,74,52,90,65,0.8471337579617835,471,0.6824034334763949,233,0.7868852459016393,244,0.5609756097560976,205,0.5220588235294118,136,0.6798913741250654,5,0,0.7920604914933838,529,0.8305084745762712,767,0.843915343915344,756,0.9283018867924528,795,0.9305555555555556,864,0.8650683504666015,5,0,0.7838899803536346,509,0.5501730103806228,289,0.6193548387096774,310,0.6686046511627907,172,0.5419847328244275,131,0.6328014426862306,5,0,0.8533604887983707,491,0.8959212376933896,711,0.9246376811594202,690,0.8913043478260869,828,0.9252013808975834,869,0.8980850272749702,5,0
pilot,resnet,independent_rms,17,bandpass_n20001_cRA_LA_LL_independent_rms_s10,bandpass,independent_rms,RA_LA_LL,train,10,20001,phase2/results/predictions/pilot/independent_rms/resnet/seed_17/bandpass_n20001_cRA_LA_LL_independent_rms_s10.npz,cc86c7b2ab5bd190a1dfc9a2e5eec1e0f7797280612f2abf12c2312c4a0b8ba1,fe842b18df15ec7075f8d413d922ac364c4be7594e7cd1538371183f03f4545a,7ee8424cca7ed30d7671b3279c7359bb044a3805bbdc05ee9a95d1fff06825d1,0.8706287591812977,0.7079894419254006,0.6537500765458041,0.8776704151936279,0.743862273464173,0.7034990791896869,0.11638520658016205,0.06312841779123993,0.3781216081704495,0.8708919882774353,0.30191252218318976,0.9632,0.030167153105139732,0.9039609245501867,0.8727664793665803,0.8289855072463768,0.8450459121150908,0.6205418660598931,0.5856832971800434,0.9027235666579929,0.7610990308221774,0.7034482758620689,0.840736309249885,0.6949653576477027,0.6205128205128205,0.8606770833333333,0.5905744757306494,0.5301204819277109,429,135,204,121,66,394,674,624,731,817,135,93,132,64,47,42,98,40,84,70,0.910828025477707,471,0.5793991416309013,233,0.8360655737704918,244,0.5902439024390244,205,0.4852941176470588,136,0.6803661521930366,5,0,0.7448015122873346,529,0.878748370273794,767,0.8253968253968254,756,0.919496855345912,795,0.9456018518518519,864,0.8628090830311436,5,0,0.7606382978723404,564,0.5921052631578947,228,0.6071428571428571,336,0.654054054054054,185,0.584070796460177,113,0.6396022537374646,5,0,0.9036697247706422,436,0.8730569948186528,772,0.9397590361445783,664,0.8969325153374234,815,0.9210822998872604,887,0.9069001141917115,5,0
