model,lhs,rhs,group_id,metric,outcome,level,seed,noise_seed,point,positive_seed_count,n_training_seeds,n_undefined,std,min,max,n_noise_seeds,positive_noise_count,negative_noise_count,zero_noise_count
resnet,electrode,clean_only,primary_joint,macro_auroc,retention,seed_noise,17.0,20001.0,0.008445933734910316,,,,,,,,,,
resnet,electrode,clean_only,primary_joint,macro_auroc,retention,noise,,20001.0,0.008445933734910316,1.0,1.0,0.0,,,,,,,
resnet,electrode,clean_only,primary_joint,macro_auroc,retention,summary,,,0.008445933734910316,,,0.0,,0.008445933734910316,0.008445933734910316,1.0,1.0,0.0,0.0
resnet,electrode,independent_rms,primary_joint,macro_auroc,retention,seed_noise,17.0,20001.0,0.001524024387378975,,,,,,,,,,
resnet,electrode,independent_rms,primary_joint,macro_auroc,retention,noise,,20001.0,0.001524024387378975,1.0,1.0,0.0,,,,,,,
resnet,electrode,independent_rms,primary_joint,macro_auroc,retention,summary,,,0.001524024387378975,,,0.0,,0.001524024387378975,0.001524024387378975,1.0,1.0,0.0,0.0
resnet,mixed,electrode,primary_joint,macro_auroc,retention,seed_noise,17.0,20001.0,-0.003534168420496253,,,,,,,,,,
resnet,mixed,electrode,primary_joint,macro_auroc,retention,noise,,20001.0,-0.003534168420496253,0.0,1.0,0.0,,,,,,,
resnet,mixed,electrode,primary_joint,macro_auroc,retention,summary,,,-0.003534168420496253,,,0.0,,-0.003534168420496253,-0.003534168420496253,1.0,0.0,1.0,0.0
tcn,electrode,clean_only,primary_joint,macro_auroc,retention,seed_noise,17.0,20001.0,0.0019403244804123698,,,,,,,,,,
tcn,electrode,clean_only,primary_joint,macro_auroc,retention,noise,,20001.0,0.0019403244804123698,1.0,1.0,0.0,,,,,,,
tcn,electrode,clean_only,primary_joint,macro_auroc,retention,summary,,,0.0019403244804123698,,,0.0,,0.0019403244804123698,0.0019403244804123698,1.0,1.0,0.0,0.0
tcn,electrode,independent_rms,primary_joint,macro_auroc,retention,seed_noise,17.0,20001.0,0.0024324249743693516,,,,,,,,,,
tcn,electrode,independent_rms,primary_joint,macro_auroc,retention,noise,,20001.0,0.0024324249743693516,1.0,1.0,0.0,,,,,,,
tcn,electrode,independent_rms,primary_joint,macro_auroc,retention,summary,,,0.0024324249743693516,,,0.0,,0.0024324249743693516,0.0024324249743693516,1.0,1.0,0.0,0.0
tcn,mixed,electrode,primary_joint,macro_auroc,retention,seed_noise,17.0,20001.0,-0.0001930909422455107,,,,,,,,,,
tcn,mixed,electrode,primary_joint,macro_auroc,retention,noise,,20001.0,-0.0001930909422455107,0.0,1.0,0.0,,,,,,,
tcn,mixed,electrode,primary_joint,macro_auroc,retention,summary,,,-0.0001930909422455107,,,0.0,,-0.0001930909422455107,-0.0001930909422455107,1.0,0.0,1.0,0.0
