model,group_id,kind,combo_set,combo_id,condition,snr,metric,outcome,lhs,rhs,n_seeds,point,sd,ci95_low,ci95_high,n_expected,n_undefined,positive_seed_count,negative_seed_count,zero_seed_count,dz,t_stat,p_raw,patient_ci95_low,patient_ci95_high
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_ap,absolute,independent_rms,clean_only,1,0.03770456953017476,,,,1,0,1,0,0,,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_ap,absolute,electrode,clean_only,1,0.056142562404350116,,,,1,0,1,0,0,,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_ap,absolute,mixed,clean_only,1,0.04543435682799046,,,,1,0,1,0,0,,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_ap,absolute,clean_only,independent_rms,1,-0.03770456953017476,,,,1,0,0,1,0,,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_ap,absolute,electrode,independent_rms,1,0.018437992874175357,,,,1,0,1,0,0,,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_ap,absolute,mixed,independent_rms,1,0.0077297872978157045,,,,1,0,1,0,0,,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_ap,absolute,mixed,electrode,1,-0.010708205576359653,,,,1,0,0,1,0,,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_ap,clean_cost,independent_rms,clean_only,1,0.002579112659514382,,,,1,0,1,0,0,,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_ap,clean_cost,electrode,clean_only,1,-0.013565116806747435,,,,1,0,0,1,0,,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_ap,clean_cost,mixed,clean_only,1,-0.011006179684441952,,,,1,0,0,1,0,,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_ap,clean_cost,clean_only,independent_rms,1,-0.002579112659514382,,,,1,0,0,1,0,,,,,
