model,seed,group_id,metric,strategy,value,rank
resnet,17,clean,macro_auroc,clean_only,0.8696277527709938,4.0
resnet,17,clean,macro_ap,clean_only,0.714095108213359,3.0
resnet,17,clean,macro_f1,clean_only,0.6656872723594327,2.0
resnet,17,clean,brier,clean_only,0.1169815436005592,2.0
resnet,17,clean,ece,clean_only,0.0767008192565292,2.0
resnet,17,bandpass__train__independent_rms__s10,macro_auroc,clean_only,0.8666698408094925,4.0
resnet,17,bandpass__train__independent_rms__s10,macro_ap,clean_only,0.705651338371631,4.0
resnet,17,bandpass__train__independent_rms__s10,macro_f1,clean_only,0.6576372863263031,2.0
resnet,17,bandpass__train__independent_rms__s10,brier,clean_only,0.11818141564726825,2.0
resnet,17,bandpass__train__independent_rms__s10,ece,clean_only,0.07290786827227094,2.0
resnet,17,bandpass__combo_RA_LA_LL__independent_rms__s10,macro_auroc,clean_only,0.8654847131799391,4.0
resnet,17,bandpass__combo_RA_LA_LL__independent_rms__s10,macro_ap,clean_only,0.7020633689029305,4.0
resnet,17,bandpass__combo_RA_LA_LL__independent_rms__s10,macro_f1,clean_only,0.6517073384795437,4.0
resnet,17,bandpass__combo_RA_LA_LL__independent_rms__s10,brier,clean_only,0.1190048605203628,2.0
resnet,17,bandpass__combo_RA_LA_LL__independent_rms__s10,ece,clean_only,0.0701082786880433,2.0
resnet,17,bandpass__train__independent_rms__s5,macro_auroc,clean_only,0.8550415302472679,4.0
resnet,17,bandpass__train__independent_rms__s5,macro_ap,clean_only,0.680062305296257,4.0
resnet,17,bandpass__train__independent_rms__s5,macro_f1,clean_only,0.6330516063524321,4.0
resnet,17,bandpass__train__independent_rms__s5,brier,clean_only,0.12461731284856796,2.0
resnet,17,bandpass__train__independent_rms__s5,ece,clean_only,0.07333519575059409,2.0
resnet,17,bandpass__combo_RA_LA_LL__independent_rms__s5,macro_auroc,clean_only,0.8566154436835898,4.0
resnet,17,bandpass__combo_RA_LA_LL__independent_rms__s5,macro_ap,clean_only,0.6777734754797219,4.0
resnet,17,bandpass__combo_RA_LA_LL__independent_rms__s5,macro_f1,clean_only,0.6312434396474526,3.0
resnet,17,bandpass__combo_RA_LA_LL__independent_rms__s5,brier,clean_only,0.1246184557676315,2.0
resnet,17,bandpass__combo_RA_LA_LL__independent_rms__s5,ece,clean_only,0.0719405262805521,2.0
resnet,17,bandpass__train__independent_rms__s0,macro_auroc,clean_only,0.8034800508000546,4.0
resnet,17,bandpass__train__independent_rms__s0,macro_ap,clean_only,0.587806819832706,4.0
resnet,17,bandpass__train__independent_rms__s0,macro_f1,clean_only,0.5477945344143084,4.0
resnet,17,bandpass__train__independent_rms__s0,brier,clean_only,0.1479067131876945,2.0
resnet,17,bandpass__train__independent_rms__s0,ece,clean_only,0.08414511866655197,1.0
resnet,17,bandpass__combo_RA_LA_LL__independent_rms__s0,macro_auroc,clean_only,0.809152747533491,4.0
resnet,17,bandpass__combo_RA_LA_LL__independent_rms__s0,macro_ap,clean_only,0.5917991257890304,4.0
resnet,17,bandpass__combo_RA_LA_LL__independent_rms__s0,macro_f1,clean_only,0.5551682874289652,2.0
resnet,17,bandpass__combo_RA_LA_LL__independent_rms__s0,brier,clean_only,0.1446412652730941,2.0
resnet,17,bandpass__combo_RA_LA_LL__independent_rms__s0,ece,clean_only,0.0755072215404362,1.0
resnet,17,bandpass__train__electrode__s10,macro_auroc,clean_only,0.866863329536009,4.0
resnet,17,bandpass__train__electrode__s10,macro_ap,clean_only,0.7057837538747097,4.0
resnet,17,bandpass__train__electrode__s10,macro_f1,clean_only,0.6542248714794197,4.0
resnet,17,bandpass__train__electrode__s10,brier,clean_only,0.11851879730820651,2.0
resnet,17,bandpass__train__electrode__s10,ece,clean_only,0.07287430863032116,2.0
resnet,17,bandpass__combo_RA_LA_LL__electrode__s10,macro_auroc,clean_only,0.8645402047944601,4.0
resnet,17,bandpass__combo_RA_LA_LL__electrode__s10,macro_ap,clean_only,0.7024361269764648,4.0
