model,snr,metric,condition,mode,estimate,seed_sd,seed_n,patient_ci_low,patient_ci_high,n_bootstrap,n_invalid,noise_sd,signed_mode_sd
resnet,0,ece,E,,0.1592244231589026,0.01691854743835191,3,0.15477611334191854,0.16747646533003568,2000,0,0.0013522931337519872,0.0
resnet,0,ece,I,,0.13576428823399808,0.00805729342801617,3,0.13151907876279728,0.14384391444662545,2000,0,0.000681207137377967,0.0
resnet,0,ece,S,,0.14069567071537348,0.00711534068811161,3,0.13663232185226795,0.14904845423792681,2000,0,0.00035041542708411896,0.012723228848873487
resnet,0,ece,S_00,S_00,0.1310648919424988,0.014361753356929562,3,0.12722638635179045,0.1393588623222638,2000,0,0.0007461530185817776,0.0
resnet,0,ece,S_01,S_01,0.154496877636208,0.014866006700916057,3,0.1498939142318051,0.16356517238400917,2000,0,0.0005274821855760644,0.0
resnet,0,ece,S_02,S_02,0.15476371428031754,0.013088677067364503,3,0.1502662895823828,0.16358551180193315,2000,0,0.0005479358816664045,0.0
resnet,0,ece,S_03,S_03,0.13175839936524147,0.0174020050670162,3,0.12794924259500756,0.1397124896403956,2000,0,0.0007865784821685501,0.0
resnet,0,ece,S_04,S_04,0.13139447035260163,0.02010106889668805,3,0.12748604531228952,0.13928934141470017,2000,0,0.0009205706095092348,0.0
resnet,0,macro_auroc,E,,0.8150564958682706,0.01639250975388493,3,0.8050365414984637,0.824307903022801,2000,0,0.0005407904086220803,0.0
resnet,0,macro_auroc,I,,0.834186459583666,0.013597836398764654,3,0.8244274208018727,0.8430542801134212,2000,0,0.0009189429166069593,0.0
resnet,0,macro_auroc,S,,0.8311848211434117,0.013624755175699596,3,0.8213856510158608,0.840173208535469,2000,0,0.00026587861555979307,0.011830636632937031
resnet,0,macro_auroc,S_00,S_00,0.8359065587502981,0.015587305394011198,3,0.826267344690977,0.8447484053288922,2000,0,0.0010441994858483225,0.0
resnet,0,macro_auroc,S_01,S_01,0.8169802038573047,0.012890707371771741,3,0.8068664397936806,0.8261658026202217,2000,0,0.0007569794266760692,0.0
resnet,0,macro_auroc,S_02,S_02,0.8202315743185457,0.014983938888537964,3,0.8101269374647464,0.8295197157243266,2000,0,0.0016103085596704386,0.0
resnet,0,macro_auroc,S_03,S_03,0.8432735320155795,0.010744042349772175,3,0.8337645688046695,0.8522350777078723,2000,0,0.001166153063329261,0.0
resnet,0,macro_auroc,S_04,S_04,0.8395322367753307,0.014850508439878753,3,0.82981037208607,0.8485900263854541,2000,0,0.001973542360624864,0.0
resnet,0,macro_f1,E,,0.4834940722154177,0.027395366404847504,3,0.468834291554395,0.49716593169440115,2000,0,0.0017127273067870606,0.0
resnet,0,macro_f1,I,,0.5470255756117797,0.027359483163446344,3,0.5323375212022738,0.5606131135424535,2000,0,0.0021943404812713495,0.0
resnet,0,macro_f1,S,,0.5332784660569962,0.030787329618658214,3,0.5187632806431078,0.5464486277735799,2000,0,0.0006633771049391062,0.03192328323201641
resnet,0,macro_f1,S_00,S_00,0.5502843629987996,0.04100435803924534,3,0.5351980372700991,0.5635043108067503,2000,0,0.0020220608061667232,0.0
resnet,0,macro_f1,S_01,S_01,0.4976133554074014,0.016194110563559294,3,0.48257081321620277,0.5108796276158856,2000,0,0.003344343324086066,0.0
resnet,0,macro_f1,S_02,S_02,0.49961284390028005,0.020738936338597164,3,0.48462794524861247,0.5132142750210528,2000,0,0.0018071024549091573,0.0
resnet,0,macro_f1,S_03,S_03,0.5619771274200414,0.039153212888299725,3,0.5472353128894696,0.5756812917658124,2000,0,0.004534488828825774,0.0
resnet,0,macro_f1,S_04,S_04,0.5569046405584589,0.04206555921864672,3,0.5417153396881036,0.5703769627495338,2000,0,0.00359564336780983,0.0
resnet,5,ece,E,,0.10616987788704375,0.006013302471517352,3,0.10250052610765172,0.11427287098902751,2000,0,0.0006935887705109495,0.0
resnet,5,ece,I,,0.08594939783946515,0.006016932741927255,3,0.083204177997802,0.09387874691060542,2000,0,0.0006964624788529159,0.0
resnet,5,ece,S,,0.08942216517664899,0.004030531889197518,3,0.08657237249769896,0.09724401461577181,2000,0,0.00016467470598111478,0.01189566646644162
resnet,5,ece,S_00,S_00,0.08293129654296712,0.004816317968592929,3,0.08033830719138513,0.09067756189501237,2000,0,0.0005525798365755476,0.0
resnet,5,ece,S_01,S_01,0.10463381910219373,0.007837178260512868,3,0.10083490846067893,0.11302193595963902,2000,0,0.0004877575606850022,0.0
resnet,5,ece,S_02,S_02,0.09986062418846754,0.0073061968970416155,3,0.09641940717576537,0.10845419417901966,2000,0,0.0007714836618880283,0.0
resnet,5,ece,S_03,S_03,0.07981104486971059,0.0064520974810434815,3,0.07721029112935697,0.0873314121472066,2000,0,0.0004154874246208488,0.0
resnet,5,ece,S_04,S_04,0.079874041179906,0.009632722809709405,3,0.07765434665107478,0.08764286137951396,2000,0,0.0007475615774203678,0.0
resnet,5,macro_auroc,E,,0.8753797867149392,0.0097618020469435,3,0.8663835927313924,0.8836082915922009,2000,0,0.0008548549828354597,0.0
resnet,5,macro_auroc,I,,0.8826874399359564,0.007082526998615259,3,0.8739699607301679,0.890677407848994,2000,0,0.0005721067393792016,0.0
resnet,5,macro_auroc,S,,0.8814389630915027,0.007041491426062778,3,0.872726031874184,0.8893972599542426,2000,0,0.0003687791170187358,0.004658463483837787
resnet,5,macro_auroc,S_00,S_00,0.8832923226876409,0.007289293649669059,3,0.8746740545383856,0.8911848951336814,2000,0,0.0007372939203439509,0.0
resnet,5,macro_auroc,S_01,S_01,0.8757624347691603,0.0073892912109729605,3,0.8669471938276814,0.8840398152217848,2000,0,0.0010963840468631262,0.0
resnet,5,macro_auroc,S_02,S_02,0.8772549158467912,0.009363564014672166,3,0.8683629841219349,0.8854425850224947,2000,0,0.0007331096180844257,0.0
resnet,5,macro_auroc,S_03,S_03,0.8863322922090088,0.005013001502673042,3,0.877849015474248,0.8942866524400015,2000,0,0.00037682399552951454,0.0
resnet,5,macro_auroc,S_04,S_04,0.8845528499449121,0.006317214099235145,3,0.8757366328118501,0.8926706207409509,2000,0,0.000921086188459488,0.0
resnet,5,macro_f1,E,,0.6288227617789003,0.017618067999778064,3,0.6142469300573458,0.6424558866706064,2000,0,0.0016827198054224677,0.0
resnet,5,macro_f1,I,,0.6555521177950809,0.014527233249993825,3,0.6414761266160695,0.6689120246111856,2000,0,0.0016862926412711961,0.0
resnet,5,macro_f1,S,,0.6499983192443279,0.015670602610021896,3,0.6358257003763667,0.6633725767082618,2000,0,0.001010784544220717,0.01610209173487478
resnet,5,macro_f1,S_00,S_00,0.6574432745195932,0.01686609238148054,3,0.6436935956569378,0.6707197824363019,2000,0,0.0012486962772218155,0.0
resnet,5,macro_f1,S_01,S_01,0.6307031188181123,0.017595257739657318,3,0.6164601505057011,0.6446789376502747,2000,0,0.0009454407729748543,0.0
resnet,5,macro_f1,S_02,S_02,0.6346082694191387,0.016160971848185608,3,0.6200224290488303,0.6484223782324224,2000,0,0.0023696454958466724,0.0
resnet,5,macro_f1,S_03,S_03,0.6644864660409815,0.014304912095808654,3,0.6503426131704109,0.6774609145764066,2000,0,0.0021251798721009358,0.0
resnet,5,macro_f1,S_04,S_04,0.6627504674238139,0.014151068705122,3,0.648468540087465,0.6761400375551258,2000,0,0.0030657787787844396,0.0
resnet,10,ece,E,,0.060976015073328706,0.017039100580298807,3,0.06034490031031523,0.06895520499723098,2000,0,0.0003150833565890717,0.0
