model,seed,case_id,condition,snr,noise_seed,mode,origin,prediction_path,prediction_sha256,prediction_case_id,checkpoint_sha256,input_sha256,cohort_sha256,ids_sha256,patient_ids_sha256,indices_sha256,y_sha256,thresholds_sha256,run_fingerprint,config_sha256,manifest_sha256,freeze_sha256,source_sha256,p_sha256,macro_auroc,macro_f1,ece
resnet,17,S_00__snr_0__noise_8128,S_00,0,8128,S_00,new,signed_control_mechanism/predictions/full/worker_resnet_0/seed_17/S_00__snr_0__noise_8128.npz,b81e5d7939c144360ee682b1bfdb69456b63108a8a6b41ff0acf3dcc6c2409b9,S_00__snr_0__noise_8128,ae1af3b6f26199f28384c78976613cac3bbf3b73d74995a9807710c0bc2f274f,d8002ce68750b6263e1550035c8d1e4ba6bdddad4553ab5abfdabf86d33d5832,bf8e9c8aae5066cf8e49d3f701dcc9b3236b12dfe38fe034c1194f261670e9e7,6d301c8a20ab02ba26f46bc23b36845c9fddb0bdd36eeffac2682590af3d0ccb,468803c21ba5d6b253ab96b82ce6d70f7e2579b3925ff5d086c357b4dc50a4be,ed2c59bd45c8182eae90ee65187a79a96948ae2d422c59246e2623271d4c78aa,b0545de7eab0013e91ce0e020fa47f653ed7e5485a73285ff464236de495755d,67a192f30cd01eaa272fc9818bd0dec87e03ed8b255caf38029ba66ff9129595,e7fc21827ebcb86bdf4701a9b0812f98850a2c7667b905856b06ab8e88678d78,529cd33fdb0927fc88124e6993cac44ecd5a4b4a01a0b814e8602dfbd99d70cd,35f6414a484e65227b04d3717f37e1f9b609e1020f1cf3513277e267c8f41d4a,992359abafe74141bc0f65ba122c0f0d5efbc1ea0eaeafac16c28f89576ad2cb,abf399d3e32dab7d6f1f035847ff1d5676bf0915004a2f30f4d46dc024f402cc,c68c968d152a0ad50657dc829858b6e540bae9a53e5da72071cfc97ec9a05706,0.8212612513995223,0.5435640918803086,0.1414671599505896
resnet,29,S_00__snr_0__noise_8128,S_00,0,8128,S_00,new,signed_control_mechanism/predictions/full/worker_resnet_0/seed_29/S_00__snr_0__noise_8128.npz,035547a5eee9faaf6ca653b0f29f097d9050d2c1b15421ba8a628171498cd755,S_00__snr_0__noise_8128,d88f9588b099e1dd5dddb32a3258f043ae873f62694eb9af5bcc9755ac8d2f5a,d8002ce68750b6263e1550035c8d1e4ba6bdddad4553ab5abfdabf86d33d5832,bf8e9c8aae5066cf8e49d3f701dcc9b3236b12dfe38fe034c1194f261670e9e7,6d301c8a20ab02ba26f46bc23b36845c9fddb0bdd36eeffac2682590af3d0ccb,468803c21ba5d6b253ab96b82ce6d70f7e2579b3925ff5d086c357b4dc50a4be,ed2c59bd45c8182eae90ee65187a79a96948ae2d422c59246e2623271d4c78aa,b0545de7eab0013e91ce0e020fa47f653ed7e5485a73285ff464236de495755d,6764877ad0aba668843ec6b3196643034675a64db9a5abf739f975a8b1e2b837,e7fc21827ebcb86bdf4701a9b0812f98850a2c7667b905856b06ab8e88678d78,529cd33fdb0927fc88124e6993cac44ecd5a4b4a01a0b814e8602dfbd99d70cd,35f6414a484e65227b04d3717f37e1f9b609e1020f1cf3513277e267c8f41d4a,992359abafe74141bc0f65ba122c0f0d5efbc1ea0eaeafac16c28f89576ad2cb,abf399d3e32dab7d6f1f035847ff1d5676bf0915004a2f30f4d46dc024f402cc,5ea7acba365d4ab617a1b7decc354b14fd9a3a7e195eb1b934124ab2cd7c65b4,0.8320323768147417,0.5077546259134816,0.13882074478989517
resnet,43,S_00__snr_0__noise_8128,S_00,0,8128,S_00,new,signed_control_mechanism/predictions/full/worker_resnet_0/seed_43/S_00__snr_0__noise_8128.npz,431f553ecfcc6d0807468889f5086f3780cfb1adf00eba441ce9ad84ea183e89,S_00__snr_0__noise_8128,d2486cf1fdf7bdb8e580e1e920522c530883a8da5246b52e2bdfa2a2d90b6cbd,d8002ce68750b6263e1550035c8d1e4ba6bdddad4553ab5abfdabf86d33d5832,bf8e9c8aae5066cf8e49d3f701dcc9b3236b12dfe38fe034c1194f261670e9e7,6d301c8a20ab02ba26f46bc23b36845c9fddb0bdd36eeffac2682590af3d0ccb,468803c21ba5d6b253ab96b82ce6d70f7e2579b3925ff5d086c357b4dc50a4be,ed2c59bd45c8182eae90ee65187a79a96948ae2d422c59246e2623271d4c78aa,b0545de7eab0013e91ce0e020fa47f653ed7e5485a73285ff464236de495755d,20ba05751abc015180d2a21a59d4d2b4ca7c43a951f89d8691185fa273b000c3,e7fc21827ebcb86bdf4701a9b0812f98850a2c7667b905856b06ab8e88678d78,529cd33fdb0927fc88124e6993cac44ecd5a4b4a01a0b814e8602dfbd99d70cd,35f6414a484e65227b04d3717f37e1f9b609e1020f1cf3513277e267c8f41d4a,992359abafe74141bc0f65ba122c0f0d5efbc1ea0eaeafac16c28f89576ad2cb,abf399d3e32dab7d6f1f035847ff1d5676bf0915004a2f30f4d46dc024f402cc,3ecddeb64074ca6d28c2f7a5c4712f69822869d60346ebf6a9060e449ea1e2fe,0.851105423297853,0.6013055293789795,0.11492267796257033
resnet,17,S_02__snr_0__noise_8128,S_02,0,8128,S_02,new,signed_control_mechanism/predictions/full/worker_resnet_0/seed_17/S_02__snr_0__noise_8128.npz,cd6850d7e7d14eae76a2962ba657be1fb425b0eef1f14c9410af8a9cf95f566f,S_02__snr_0__noise_8128,ae1af3b6f26199f28384c78976613cac3bbf3b73d74995a9807710c0bc2f274f,52a6eda45b5f7e5522b1c14e8947c74c778cc70bfe9dbe5e13fac08a229dbb73,bf8e9c8aae5066cf8e49d3f701dcc9b3236b12dfe38fe034c1194f261670e9e7,6d301c8a20ab02ba26f46bc23b36845c9fddb0bdd36eeffac2682590af3d0ccb,468803c21ba5d6b253ab96b82ce6d70f7e2579b3925ff5d086c357b4dc50a4be,ed2c59bd45c8182eae90ee65187a79a96948ae2d422c59246e2623271d4c78aa,b0545de7eab0013e91ce0e020fa47f653ed7e5485a73285ff464236de495755d,67a192f30cd01eaa272fc9818bd0dec87e03ed8b255caf38029ba66ff9129595,e7fc21827ebcb86bdf4701a9b0812f98850a2c7667b905856b06ab8e88678d78,529cd33fdb0927fc88124e6993cac44ecd5a4b4a01a0b814e8602dfbd99d70cd,35f6414a484e65227b04d3717f37e1f9b609e1020f1cf3513277e267c8f41d4a,992359abafe74141bc0f65ba122c0f0d5efbc1ea0eaeafac16c28f89576ad2cb,abf399d3e32dab7d6f1f035847ff1d5676bf0915004a2f30f4d46dc024f402cc,ae9c5ce01e7a764061d513125d906d706f62a8c65fd86c12eca6df2671484112,0.8043739713561282,0.4821340306846983,0.15942973899667987
resnet,29,S_02__snr_0__noise_8128,S_02,0,8128,S_02,new,signed_control_mechanism/predictions/full/worker_resnet_0/seed_29/S_02__snr_0__noise_8128.npz,7b161f0854a23c097dd226813c253aedbaefa2b1edd77057eef7b52b76c536db,S_02__snr_0__noise_8128,d88f9588b099e1dd5dddb32a3258f043ae873f62694eb9af5bcc9755ac8d2f5a,52a6eda45b5f7e5522b1c14e8947c74c778cc70bfe9dbe5e13fac08a229dbb73,bf8e9c8aae5066cf8e49d3f701dcc9b3236b12dfe38fe034c1194f261670e9e7,6d301c8a20ab02ba26f46bc23b36845c9fddb0bdd36eeffac2682590af3d0ccb,468803c21ba5d6b253ab96b82ce6d70f7e2579b3925ff5d086c357b4dc50a4be,ed2c59bd45c8182eae90ee65187a79a96948ae2d422c59246e2623271d4c78aa,b0545de7eab0013e91ce0e020fa47f653ed7e5485a73285ff464236de495755d,6764877ad0aba668843ec6b3196643034675a64db9a5abf739f975a8b1e2b837,e7fc21827ebcb86bdf4701a9b0812f98850a2c7667b905856b06ab8e88678d78,529cd33fdb0927fc88124e6993cac44ecd5a4b4a01a0b814e8602dfbd99d70cd,35f6414a484e65227b04d3717f37e1f9b609e1020f1cf3513277e267c8f41d4a,992359abafe74141bc0f65ba122c0f0d5efbc1ea0eaeafac16c28f89576ad2cb,abf399d3e32dab7d6f1f035847ff1d5676bf0915004a2f30f4d46dc024f402cc,e0e861cc3b367207faed79fb186d0a26e7ba78f9787d948f367f33862120ae7b,0.8258176195647732,0.49434516810379214,0.13871045627625206
resnet,43,S_02__snr_0__noise_8128,S_02,0,8128,S_02,new,signed_control_mechanism/predictions/full/worker_resnet_0/seed_43/S_02__snr_0__noise_8128.npz,0d68a6179813a2253c0df92cac2aec149838b5e29015e17236ef20c0f86eb52d,S_02__snr_0__noise_8128,d2486cf1fdf7bdb8e580e1e920522c530883a8da5246b52e2bdfa2a2d90b6cbd,52a6eda45b5f7e5522b1c14e8947c74c778cc70bfe9dbe5e13fac08a229dbb73,bf8e9c8aae5066cf8e49d3f701dcc9b3236b12dfe38fe034c1194f261670e9e7,6d301c8a20ab02ba26f46bc23b36845c9fddb0bdd36eeffac2682590af3d0ccb,468803c21ba5d6b253ab96b82ce6d70f7e2579b3925ff5d086c357b4dc50a4be,ed2c59bd45c8182eae90ee65187a79a96948ae2d422c59246e2623271d4c78aa,b0545de7eab0013e91ce0e020fa47f653ed7e5485a73285ff464236de495755d,20ba05751abc015180d2a21a59d4d2b4ca7c43a951f89d8691185fa273b000c3,e7fc21827ebcb86bdf4701a9b0812f98850a2c7667b905856b06ab8e88678d78,529cd33fdb0927fc88124e6993cac44ecd5a4b4a01a0b814e8602dfbd99d70cd,35f6414a484e65227b04d3717f37e1f9b609e1020f1cf3513277e267c8f41d4a,992359abafe74141bc0f65ba122c0f0d5efbc1ea0eaeafac16c28f89576ad2cb,abf399d3e32dab7d6f1f035847ff1d5676bf0915004a2f30f4d46dc024f402cc,13a911254fefbd1ab58411768d30e8fe2a3474d95e778e171b32a406481995d3,0.8354978780495312,0.5217885289233491,0.16386686681689516
resnet,17,S_04__snr_0__noise_8128,S_04,0,8128,S_04,new,signed_control_mechanism/predictions/full/worker_resnet_0/seed_17/S_04__snr_0__noise_8128.npz,7ca3ce8a9e2b3b6323466740585d10b20683c68ef7c1a01178a3ab17434dcfa2,S_04__snr_0__noise_8128,ae1af3b6f26199f28384c78976613cac3bbf3b73d74995a9807710c0bc2f274f,b8f21b8e699c0484d5d41c0f65f5e04a317c893ba24bc896773f541e7baec595,bf8e9c8aae5066cf8e49d3f701dcc9b3236b12dfe38fe034c1194f261670e9e7,6d301c8a20ab02ba26f46bc23b36845c9fddb0bdd36eeffac2682590af3d0ccb,468803c21ba5d6b253ab96b82ce6d70f7e2579b3925ff5d086c357b4dc50a4be,ed2c59bd45c8182eae90ee65187a79a96948ae2d422c59246e2623271d4c78aa,b0545de7eab0013e91ce0e020fa47f653ed7e5485a73285ff464236de495755d,67a192f30cd01eaa272fc9818bd0dec87e03ed8b255caf38029ba66ff9129595,e7fc21827ebcb86bdf4701a9b0812f98850a2c7667b905856b06ab8e88678d78,529cd33fdb0927fc88124e6993cac44ecd5a4b4a01a0b814e8602dfbd99d70cd,35f6414a484e65227b04d3717f37e1f9b609e1020f1cf3513277e267c8f41d4a,992359abafe74141bc0f65ba122c0f0d5efbc1ea0eaeafac16c28f89576ad2cb,abf399d3e32dab7d6f1f035847ff1d5676bf0915004a2f30f4d46dc024f402cc,9c6bb58b5d616a073b2e5cbe63314d704d2f2f2bab22b9f1c410c32d1cce993d,0.8248731405727664,0.5512379427471623,0.1461257465149209
resnet,29,S_04__snr_0__noise_8128,S_04,0,8128,S_04,new,signed_control_mechanism/predictions/full/worker_resnet_0/seed_29/S_04__snr_0__noise_8128.npz,bd48148ab3dc55c1bb3d57f455db3d80d33c94f65bed5367f5f60d231e02fad6,S_04__snr_0__noise_8128,d88f9588b099e1dd5dddb32a3258f043ae873f62694eb9af5bcc9755ac8d2f5a,b8f21b8e699c0484d5d41c0f65f5e04a317c893ba24bc896773f541e7baec595,bf8e9c8aae5066cf8e49d3f701dcc9b3236b12dfe38fe034c1194f261670e9e7,6d301c8a20ab02ba26f46bc23b36845c9fddb0bdd36eeffac2682590af3d0ccb,468803c21ba5d6b253ab96b82ce6d70f7e2579b3925ff5d086c357b4dc50a4be,ed2c59bd45c8182eae90ee65187a79a96948ae2d422c59246e2623271d4c78aa,b0545de7eab0013e91ce0e020fa47f653ed7e5485a73285ff464236de495755d,6764877ad0aba668843ec6b3196643034675a64db9a5abf739f975a8b1e2b837,e7fc21827ebcb86bdf4701a9b0812f98850a2c7667b905856b06ab8e88678d78,529cd33fdb0927fc88124e6993cac44ecd5a4b4a01a0b814e8602dfbd99d70cd,35f6414a484e65227b04d3717f37e1f9b609e1020f1cf3513277e267c8f41d4a,992359abafe74141bc0f65ba122c0f0d5efbc1ea0eaeafac16c28f89576ad2cb,abf399d3e32dab7d6f1f035847ff1d5676bf0915004a2f30f4d46dc024f402cc,1c8f85591a43392b20dee39dd9885ec3f44be6dea1483f0d95b2e9c712f1d847,0.842230977681371,0.5212031421477444,0.14116257779503913
resnet,43,S_04__snr_0__noise_8128,S_04,0,8128,S_04,new,signed_control_mechanism/predictions/full/worker_resnet_0/seed_43/S_04__snr_0__noise_8128.npz,e2e316798c136af5e107a24f8ff495382f34fd29978b3a5b1e1271401be2e1cd,S_04__snr_0__noise_8128,d2486cf1fdf7bdb8e580e1e920522c530883a8da5246b52e2bdfa2a2d90b6cbd,b8f21b8e699c0484d5d41c0f65f5e04a317c893ba24bc896773f541e7baec595,bf8e9c8aae5066cf8e49d3f701dcc9b3236b12dfe38fe034c1194f261670e9e7,6d301c8a20ab02ba26f46bc23b36845c9fddb0bdd36eeffac2682590af3d0ccb,468803c21ba5d6b253ab96b82ce6d70f7e2579b3925ff5d086c357b4dc50a4be,ed2c59bd45c8182eae90ee65187a79a96948ae2d422c59246e2623271d4c78aa,b0545de7eab0013e91ce0e020fa47f653ed7e5485a73285ff464236de495755d,20ba05751abc015180d2a21a59d4d2b4ca7c43a951f89d8691185fa273b000c3,e7fc21827ebcb86bdf4701a9b0812f98850a2c7667b905856b06ab8e88678d78,529cd33fdb0927fc88124e6993cac44ecd5a4b4a01a0b814e8602dfbd99d70cd,35f6414a484e65227b04d3717f37e1f9b609e1020f1cf3513277e267c8f41d4a,992359abafe74141bc0f65ba122c0f0d5efbc1ea0eaeafac16c28f89576ad2cb,abf399d3e32dab7d6f1f035847ff1d5676bf0915004a2f30f4d46dc024f402cc,6471b07b7f750752f2b23c0e2bff48e9dd1ac226d81a4b552653d82d238ac679,0.8496268869633621,0.5983497530819226,0.1102584038097221
resnet,17,S_01__snr_0__noise_101,S_01,0,101,S_01,new,signed_control_mechanism/predictions/full/worker_resnet_0/seed_17/S_01__snr_0__noise_101.npz,89d97020de0bd4174a9536e4dd80773ffec32eefca20c4d3686e59cb0c04a206,S_01__snr_0__noise_101,ae1af3b6f26199f28384c78976613cac3bbf3b73d74995a9807710c0bc2f274f,4ad0282d0762b557311cf9f985d2c81a54b7c9fafba60fbe893e56e380fd3455,bf8e9c8aae5066cf8e49d3f701dcc9b3236b12dfe38fe034c1194f261670e9e7,6d301c8a20ab02ba26f46bc23b36845c9fddb0bdd36eeffac2682590af3d0ccb,468803c21ba5d6b253ab96b82ce6d70f7e2579b3925ff5d086c357b4dc50a4be,ed2c59bd45c8182eae90ee65187a79a96948ae2d422c59246e2623271d4c78aa,b0545de7eab0013e91ce0e020fa47f653ed7e5485a73285ff464236de495755d,67a192f30cd01eaa272fc9818bd0dec87e03ed8b255caf38029ba66ff9129595,e7fc21827ebcb86bdf4701a9b0812f98850a2c7667b905856b06ab8e88678d78,529cd33fdb0927fc88124e6993cac44ecd5a4b4a01a0b814e8602dfbd99d70cd,35f6414a484e65227b04d3717f37e1f9b609e1020f1cf3513277e267c8f41d4a,992359abafe74141bc0f65ba122c0f0d5efbc1ea0eaeafac16c28f89576ad2cb,abf399d3e32dab7d6f1f035847ff1d5676bf0915004a2f30f4d46dc024f402cc,b9549505dc3706f3425aaa1687080b4e2ec9dff6e9bf1c4e8fde42ccca739579,0.8110939314013571,0.49605870501129284,0.15305534519110156
