model,seed,case_id,prediction_case_id,condition,snr,noise_seed,status,passed,reference_prediction_path,reference_prediction_sha256,reference_p_sha256,input_sha256,checkpoint_sha256,cohort_sha256,thresholds_sha256,original_run_fingerprint,original_source_sha256,all_original_metrics_recomputed,maximum_original_metric_abs_error,fresh_prediction_path,fresh_prediction_sha256,fresh_p_sha256,probabilities_max_abs,fixed_threshold_label_agreement,fresh_macro_auroc_difference,fresh_macro_f1_difference,fresh_ece_difference,numerical_comparison,cross_device_bridge,evidence_note
resnet,17,clean,clean,clean,,,verified_immutable_reuse,True,methodology_supplement/results/predictions/full/resnet/seed_17/clean.npz,c7242964d38e87f392fbc8298ebb835d26600ba1e4b3a83a1406855a96825c7b,86c42fc6c2dcc53258d787b470cef04a892eae2dec725909ef3be375c3961a8f,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,ae1af3b6f26199f28384c78976613cac3bbf3b73d74995a9807710c0bc2f274f,bf8e9c8aae5066cf8e49d3f701dcc9b3236b12dfe38fe034c1194f261670e9e7,67a192f30cd01eaa272fc9818bd0dec87e03ed8b255caf38029ba66ff9129595,8c34291679df86ee9005f5ec8dae8741de853475e1f2870299ee2226b8bb3c51,71d6ecf41388929ce16b6bdc71dda3c8519feac3aa4fb04538d7bf7b1d42fbc2,True,7.45058058304604e-09,signed_control_mechanism/predictions/full/worker_resnet_0/internal_clean/seed_17.npz,5d2a57d3233822751b4e0b5d8272b1395e38ef25ee9bd8f9e6c20040e9888395,86c42fc6c2dcc53258d787b470cef04a892eae2dec725909ef3be375c3961a8f,0.0,1.0,0.0,0.0,0.0,fresh_internal_clean_vs_immutable_original_clean_same_assigned_host,False,"Independent fresh clean computation, not a new condition; no claim of a cross-device comparison."
resnet,17,E__snr_0__noise_8128,standard__n8128__electrode__snr0,E,0,8128,verified_immutable_reuse,True,methodology_supplement/results/predictions/full/resnet/seed_17/standard__n8128__electrode__snr0.npz,4979fdb0a07d7abeda7d5534c4a9959f6b5743c95ec8f6cac7cfeba04fee92e2,b1925d7520fd840dd56e79bb7f172186dd2d7d4b2cbd37dc6928812971d4a620,b7f3d1fc39ef41f0c7e5fde19c9fdb33643f418220b5beae2b4a25b68357b149,ae1af3b6f26199f28384c78976613cac3bbf3b73d74995a9807710c0bc2f274f,bf8e9c8aae5066cf8e49d3f701dcc9b3236b12dfe38fe034c1194f261670e9e7,67a192f30cd01eaa272fc9818bd0dec87e03ed8b255caf38029ba66ff9129595,8c34291679df86ee9005f5ec8dae8741de853475e1f2870299ee2226b8bb3c51,71d6ecf41388929ce16b6bdc71dda3c8519feac3aa4fb04538d7bf7b1d42fbc2,True,5.960464477539063e-08,,,,,,,,,not_applicable_immutable_file_reused_no_fresh_E_I_inference,False,File SHA and stored probability SHA validate the immutable reference; no self-comparison is presented as a numerical bridge.
resnet,17,I__snr_0__noise_8128,standard__n8128__independent_rms__snr0,I,0,8128,verified_immutable_reuse,True,methodology_supplement/results/predictions/full/resnet/seed_17/standard__n8128__independent_rms__snr0.npz,b1b1f5695c3ce0059445292031a5d1931956476fb5780b17d7658c1ef624d226,22f0c8944a56cb0052b9b7186393eebce57eb6aecf9862a0782272c63ef9da99,25906cf56405bdae430b0cb33fc5c894b641d005d5e0638db02626962cf86f9b,ae1af3b6f26199f28384c78976613cac3bbf3b73d74995a9807710c0bc2f274f,bf8e9c8aae5066cf8e49d3f701dcc9b3236b12dfe38fe034c1194f261670e9e7,67a192f30cd01eaa272fc9818bd0dec87e03ed8b255caf38029ba66ff9129595,8c34291679df86ee9005f5ec8dae8741de853475e1f2870299ee2226b8bb3c51,71d6ecf41388929ce16b6bdc71dda3c8519feac3aa4fb04538d7bf7b1d42fbc2,True,1.1920928955078125e-07,,,,,,,,,not_applicable_immutable_file_reused_no_fresh_E_I_inference,False,File SHA and stored probability SHA validate the immutable reference; no self-comparison is presented as a numerical bridge.
resnet,17,E__snr_0__noise_101,standard__n101__electrode__snr0,E,0,101,verified_immutable_reuse,True,methodology_supplement/results/predictions/full/resnet/seed_17/standard__n101__electrode__snr0.npz,e4be91965cfcb2a30b9f2971d722bba562597f137f2e74f0c3cb246e6a702530,d11c2c3b86822976e2ab5c2565686a9217c82e6a53cc5cceb3e44d0e228993d8,e372ac625f7d1fdca9a8dbef6073c43da2445cc0f77fffa03ae2ab075bb8f2b5,ae1af3b6f26199f28384c78976613cac3bbf3b73d74995a9807710c0bc2f274f,bf8e9c8aae5066cf8e49d3f701dcc9b3236b12dfe38fe034c1194f261670e9e7,67a192f30cd01eaa272fc9818bd0dec87e03ed8b255caf38029ba66ff9129595,8c34291679df86ee9005f5ec8dae8741de853475e1f2870299ee2226b8bb3c51,71d6ecf41388929ce16b6bdc71dda3c8519feac3aa4fb04538d7bf7b1d42fbc2,True,2.9802322443206464e-08,,,,,,,,,not_applicable_immutable_file_reused_no_fresh_E_I_inference,False,File SHA and stored probability SHA validate the immutable reference; no self-comparison is presented as a numerical bridge.
resnet,17,I__snr_0__noise_101,standard__n101__independent_rms__snr0,I,0,101,verified_immutable_reuse,True,methodology_supplement/results/predictions/full/resnet/seed_17/standard__n101__independent_rms__snr0.npz,d7612e4d24ce1bff32d7269c0408801e1b4d2f7fc4d47840bbbd5d8a1aae5479,d79e6e763a32c60817b13e734b193b205950eae8712b048e158df3a0310fa211,645e88fea28f6de2c9c8bec7fe9f5dc382fd647d827b1a0a1dea643a9dcb6653,ae1af3b6f26199f28384c78976613cac3bbf3b73d74995a9807710c0bc2f274f,bf8e9c8aae5066cf8e49d3f701dcc9b3236b12dfe38fe034c1194f261670e9e7,67a192f30cd01eaa272fc9818bd0dec87e03ed8b255caf38029ba66ff9129595,8c34291679df86ee9005f5ec8dae8741de853475e1f2870299ee2226b8bb3c51,71d6ecf41388929ce16b6bdc71dda3c8519feac3aa4fb04538d7bf7b1d42fbc2,True,8.326672684688674e-17,,,,,,,,,not_applicable_immutable_file_reused_no_fresh_E_I_inference,False,File SHA and stored probability SHA validate the immutable reference; no self-comparison is presented as a numerical bridge.
resnet,17,E__snr_0__noise_202,standard__n202__electrode__snr0,E,0,202,verified_immutable_reuse,True,methodology_supplement/results/predictions/full/resnet/seed_17/standard__n202__electrode__snr0.npz,5a0ae714ffe945896bf40bbfc75a258c7ed6135325040bd27358acdd94b2b527,66a436f263b564197b4249fbdb8621b69d6c0fb32d0e81c28abd7304fb03e82b,ebb2e60939c20fbdc7021b503b4154d20dc64e8743aade8ff0162325fc376218,ae1af3b6f26199f28384c78976613cac3bbf3b73d74995a9807710c0bc2f274f,bf8e9c8aae5066cf8e49d3f701dcc9b3236b12dfe38fe034c1194f261670e9e7,67a192f30cd01eaa272fc9818bd0dec87e03ed8b255caf38029ba66ff9129595,8c34291679df86ee9005f5ec8dae8741de853475e1f2870299ee2226b8bb3c51,71d6ecf41388929ce16b6bdc71dda3c8519feac3aa4fb04538d7bf7b1d42fbc2,True,5.551115123125783e-17,,,,,,,,,not_applicable_immutable_file_reused_no_fresh_E_I_inference,False,File SHA and stored probability SHA validate the immutable reference; no self-comparison is presented as a numerical bridge.
resnet,17,I__snr_0__noise_202,standard__n202__independent_rms__snr0,I,0,202,verified_immutable_reuse,True,methodology_supplement/results/predictions/full/resnet/seed_17/standard__n202__independent_rms__snr0.npz,8d3fcdb6b704bf7548f72c9d4ba1ed17a3d49629ce28eec8e72cc1997ba54321,e818830d9d6ed3f52777c60abe40465320a99682367f821a0333da8fea68d32d,9a7b17eb56d13c02a6119fbf3ac49a8f4c072a45c83d59c83a6ebf5003739c85,ae1af3b6f26199f28384c78976613cac3bbf3b73d74995a9807710c0bc2f274f,bf8e9c8aae5066cf8e49d3f701dcc9b3236b12dfe38fe034c1194f261670e9e7,67a192f30cd01eaa272fc9818bd0dec87e03ed8b255caf38029ba66ff9129595,8c34291679df86ee9005f5ec8dae8741de853475e1f2870299ee2226b8bb3c51,71d6ecf41388929ce16b6bdc71dda3c8519feac3aa4fb04538d7bf7b1d42fbc2,True,5.960464477539063e-08,,,,,,,,,not_applicable_immutable_file_reused_no_fresh_E_I_inference,False,File SHA and stored probability SHA validate the immutable reference; no self-comparison is presented as a numerical bridge.
resnet,17,E__snr_0__noise_303,standard__n303__electrode__snr0,E,0,303,verified_immutable_reuse,True,methodology_supplement/results/predictions/full/resnet/seed_17/standard__n303__electrode__snr0.npz,f01c8de20b42636c3926d928e0e0ac8e282095d4402f46eb6e196a2ec98de86e,889dff42208e6f1549779921f3e2592856864192cce570d48a0b979cc0b486ea,b857ed34aea876a9ea653fb6930a38eb9b517ecf2c81adc409178a704a80ef37,ae1af3b6f26199f28384c78976613cac3bbf3b73d74995a9807710c0bc2f274f,bf8e9c8aae5066cf8e49d3f701dcc9b3236b12dfe38fe034c1194f261670e9e7,67a192f30cd01eaa272fc9818bd0dec87e03ed8b255caf38029ba66ff9129595,8c34291679df86ee9005f5ec8dae8741de853475e1f2870299ee2226b8bb3c51,71d6ecf41388929ce16b6bdc71dda3c8519feac3aa4fb04538d7bf7b1d42fbc2,True,8.326672684688674e-17,,,,,,,,,not_applicable_immutable_file_reused_no_fresh_E_I_inference,False,File SHA and stored probability SHA validate the immutable reference; no self-comparison is presented as a numerical bridge.
resnet,17,I__snr_0__noise_303,standard__n303__independent_rms__snr0,I,0,303,verified_immutable_reuse,True,methodology_supplement/results/predictions/full/resnet/seed_17/standard__n303__independent_rms__snr0.npz,d1731968871be2af5dfe05fba52ae729172e683270c0a331a27f3c05f01a8ec8,caaa5ab860c2d099d385a01fbb85ff4143fc95c21a57a5fffc1ad3ad741c55a6,e7d0b59426ed89bc126f168ab5470e76731871a876717d4759ed05591d438457,ae1af3b6f26199f28384c78976613cac3bbf3b73d74995a9807710c0bc2f274f,bf8e9c8aae5066cf8e49d3f701dcc9b3236b12dfe38fe034c1194f261670e9e7,67a192f30cd01eaa272fc9818bd0dec87e03ed8b255caf38029ba66ff9129595,8c34291679df86ee9005f5ec8dae8741de853475e1f2870299ee2226b8bb3c51,71d6ecf41388929ce16b6bdc71dda3c8519feac3aa4fb04538d7bf7b1d42fbc2,True,1.4901161138336505e-08,,,,,,,,,not_applicable_immutable_file_reused_no_fresh_E_I_inference,False,File SHA and stored probability SHA validate the immutable reference; no self-comparison is presented as a numerical bridge.
resnet,17,E__snr_0__noise_404,standard__n404__electrode__snr0,E,0,404,verified_immutable_reuse,True,methodology_supplement/results/predictions/full/resnet/seed_17/standard__n404__electrode__snr0.npz,13ecd8476d3021aefbeb1b4a5447d520b1339b99b4465bb3bc98f42bce49bad5,3b9d133211101245ce33134a829be9a261cc32b3f8b780a6f4ca2efa2f845e9f,0cbfd65142656d2a4539e8a5e14d4477612faf9c6c24ff0f5d758e573cb0c418,ae1af3b6f26199f28384c78976613cac3bbf3b73d74995a9807710c0bc2f274f,bf8e9c8aae5066cf8e49d3f701dcc9b3236b12dfe38fe034c1194f261670e9e7,67a192f30cd01eaa272fc9818bd0dec87e03ed8b255caf38029ba66ff9129595,8c34291679df86ee9005f5ec8dae8741de853475e1f2870299ee2226b8bb3c51,71d6ecf41388929ce16b6bdc71dda3c8519feac3aa4fb04538d7bf7b1d42fbc2,True,1.1920928955078125e-07,,,,,,,,,not_applicable_immutable_file_reused_no_fresh_E_I_inference,False,File SHA and stored probability SHA validate the immutable reference; no self-comparison is presented as a numerical bridge.
