model,snr,metric,contrast,seed,noise_seed,estimate
resnet,0,ece,E-I,17,101,0.028977182078534225
resnet,0,ece,E-I,17,202,0.02365167881773006
resnet,0,ece,E-I,17,303,0.02609575648027007
resnet,0,ece,E-I,17,404,0.02480511930686005
resnet,0,ece,E-I,17,505,0.02230191474739246
resnet,0,ece,E-I,17,8128,0.023763763960358036
resnet,0,ece,E-I,29,101,0.008043782713177183
resnet,0,ece,E-I,29,202,0.007283351262429599
resnet,0,ece,E-I,29,303,0.005308401827832376
resnet,0,ece,E-I,29,404,0.009223214022435755
resnet,0,ece,E-I,29,505,0.007625612273405108
resnet,0,ece,E-I,29,8128,0.007741872987242104
resnet,0,ece,E-I,43,101,0.03824556961747058
resnet,0,ece,E-I,43,202,0.04016627263562361
resnet,0,ece,E-I,43,303,0.03370739646929957
resnet,0,ece,E-I,43,404,0.04113521834796152
resnet,0,ece,E-I,43,505,0.03763358871893627
resnet,0,ece,E-I,43,8128,0.03657273238132214
resnet,0,ece,E-S,17,101,0.025213975187766004
resnet,0,ece,E-S,17,202,0.021337675406065165
resnet,0,ece,E-S,17,303,0.021484036989357285
resnet,0,ece,E-S,17,404,0.022075932963394912
resnet,0,ece,E-S,17,505,0.01974846678914156
resnet,0,ece,E-S,17,8128,0.02126488916242767
resnet,0,ece,E-S,29,101,0.001431972647219809
resnet,0,ece,E-S,29,202,-0.0015927498917055194
resnet,0,ece,E-S,29,303,-0.0025249841713418987
resnet,0,ece,E-S,29,404,0.001914185849471678
resnet,0,ece,E-S,29,505,-0.0015642161943667354
resnet,0,ece,E-S,29,8128,-0.00022376777533244518
resnet,0,ece,E-S,43,101,0.032080281907688656
resnet,0,ece,E-S,43,202,0.03503939808545953
resnet,0,ece,E-S,43,303,0.03182443371777255
resnet,0,ece,E-S,43,404,0.03595159729199886
resnet,0,ece,E-S,43,505,0.03569734361126785
resnet,0,ece,E-S,43,8128,0.03435907240723858
resnet,0,ece,S-I,17,101,0.0037632068907682225
resnet,0,ece,S-I,17,202,0.0023140034116648943
resnet,0,ece,S-I,17,303,0.0046117194909127855
resnet,0,ece,S-I,17,404,0.0027291863434651398
resnet,0,ece,S-I,17,505,0.0025534479582508983
resnet,0,ece,S-I,17,8128,0.002498874797930367
resnet,0,ece,S-I,29,101,0.006611810065957374
resnet,0,ece,S-I,29,202,0.008876101154135119
resnet,0,ece,S-I,29,303,0.007833385999174275
resnet,0,ece,S-I,29,404,0.0073090281729640775
resnet,0,ece,S-I,29,505,0.009189828467771843
resnet,0,ece,S-I,29,8128,0.00796564076257455
resnet,0,ece,S-I,43,101,0.006165287709781924
resnet,0,ece,S-I,43,202,0.0051268745501640844
resnet,0,ece,S-I,43,303,0.001882962751527023
resnet,0,ece,S-I,43,404,0.005183621055962659
resnet,0,ece,S-I,43,505,0.0019362451076684133
resnet,0,ece,S-I,43,8128,0.002213659974083554
resnet,0,macro_auroc,E-I,17,101,-0.02096111326185668
resnet,0,macro_auroc,E-I,17,202,-0.0239009048832326
resnet,0,macro_auroc,E-I,17,303,-0.019624906194396163
resnet,0,macro_auroc,E-I,17,404,-0.02168823785854046
resnet,0,macro_auroc,E-I,17,505,-0.024362918757866003
resnet,0,macro_auroc,E-I,17,8128,-0.019958407401558187
resnet,0,macro_auroc,E-I,29,101,-0.01753083901400021
resnet,0,macro_auroc,E-I,29,202,-0.019435210078629583
resnet,0,macro_auroc,E-I,29,303,-0.020099838629770828
resnet,0,macro_auroc,E-I,29,404,-0.019464557578637298
resnet,0,macro_auroc,E-I,29,505,-0.016895030507090625
resnet,0,macro_auroc,E-I,29,8128,-0.023783738400937393
resnet,0,macro_auroc,E-I,43,101,-0.015727508684955982
resnet,0,macro_auroc,E-I,43,202,-0.015147896535243066
resnet,0,macro_auroc,E-I,43,303,-0.01532477905681906
resnet,0,macro_auroc,E-I,43,404,-0.016434738853789654
resnet,0,macro_auroc,E-I,43,505,-0.015478450430467583
resnet,0,macro_auroc,E-I,43,8128,-0.018520270749328605
resnet,0,macro_auroc,E-S,17,101,-0.01910432759950913
resnet,0,macro_auroc,E-S,17,202,-0.018111975590891928
resnet,0,macro_auroc,E-S,17,303,-0.01740845214018827
resnet,0,macro_auroc,E-S,17,404,-0.021389181755581733
resnet,0,macro_auroc,E-S,17,505,-0.02132489833040021
resnet,0,macro_auroc,E-S,17,8128,-0.018072928116758313
resnet,0,macro_auroc,E-S,29,101,-0.014166156755848225
resnet,0,macro_auroc,E-S,29,202,-0.017415007674383733
resnet,0,macro_auroc,E-S,29,303,-0.017642049984500852
resnet,0,macro_auroc,E-S,29,404,-0.014057044621983539
resnet,0,macro_auroc,E-S,29,505,-0.013933344257333991
resnet,0,macro_auroc,E-S,29,8128,-0.015290438482603674
resnet,0,macro_auroc,E-S,43,101,-0.013233181031330754
resnet,0,macro_auroc,E-S,43,202,-0.014520450296561172
resnet,0,macro_auroc,E-S,43,303,-0.012074513009283217
resnet,0,macro_auroc,E-S,43,404,-0.012996072417946092
resnet,0,macro_auroc,E-S,43,505,-0.01473381775678495
resnet,0,macro_auroc,E-S,43,8128,-0.01483601513065178
resnet,0,macro_auroc,S-I,17,101,-0.0018567856623475487
resnet,0,macro_auroc,S-I,17,202,-0.0057889292923406725
resnet,0,macro_auroc,S-I,17,303,-0.0022164540542078948
resnet,0,macro_auroc,S-I,17,404,-0.000299056102958728
resnet,0,macro_auroc,S-I,17,505,-0.003038020427465793
resnet,0,macro_auroc,S-I,17,8128,-0.0018854792847998736
resnet,0,macro_auroc,S-I,29,101,-0.0033646822581519854
resnet,0,macro_auroc,S-I,29,202,-0.002020202404245852
resnet,0,macro_auroc,S-I,29,303,-0.002457788645269976
resnet,0,macro_auroc,S-I,29,404,-0.005407512956653759
resnet,0,macro_auroc,S-I,29,505,-0.0029616862497566345
resnet,0,macro_auroc,S-I,29,8128,-0.008493299918333719
resnet,0,macro_auroc,S-I,43,101,-0.002494327653625228
resnet,0,macro_auroc,S-I,43,202,-0.0006274462386818946
resnet,0,macro_auroc,S-I,43,303,-0.0032502660475358437
resnet,0,macro_auroc,S-I,43,404,-0.0034386664358435626
resnet,0,macro_auroc,S-I,43,505,-0.0007446326736826325
resnet,0,macro_auroc,S-I,43,8128,-0.0036842556186768237
resnet,0,macro_f1,E-I,17,101,-0.06330287743146423
resnet,0,macro_f1,E-I,17,202,-0.07212086755746716
resnet,0,macro_f1,E-I,17,303,-0.07551358812913683
resnet,0,macro_f1,E-I,17,404,-0.06195046497415413
resnet,0,macro_f1,E-I,17,505,-0.07500704524935542
resnet,0,macro_f1,E-I,17,8128,-0.061744110459984736
resnet,0,macro_f1,E-I,29,101,-0.052223411147861554
resnet,0,macro_f1,E-I,29,202,-0.05777461513812299
resnet,0,macro_f1,E-I,29,303,-0.06182270625366576
resnet,0,macro_f1,E-I,29,404,-0.05592396148760148
resnet,0,macro_f1,E-I,29,505,-0.06006875731004424
resnet,0,macro_f1,E-I,29,8128,-0.06826259763521364
resnet,0,macro_f1,E-I,43,101,-0.06299834461853315
resnet,0,macro_f1,E-I,43,202,-0.07130089290907604
resnet,0,macro_f1,E-I,43,303,-0.05140019875263602
resnet,0,macro_f1,E-I,43,404,-0.07533033992508442
resnet,0,macro_f1,E-I,43,505,-0.06203918252211971
resnet,0,macro_f1,E-I,43,8128,-0.05478309963299455
resnet,0,macro_f1,E-S,17,101,-0.05614659466934783
resnet,0,macro_f1,E-S,17,202,-0.05367395812343352
resnet,0,macro_f1,E-S,17,303,-0.06010542888102455
resnet,0,macro_f1,E-S,17,404,-0.058265605825421354
resnet,0,macro_f1,E-S,17,505,-0.054792381827238376
resnet,0,macro_f1,E-S,17,8128,-0.05405903405101877
resnet,0,macro_f1,E-S,29,101,-0.04110723180523085
resnet,0,macro_f1,E-S,29,202,-0.04169790666106106
resnet,0,macro_f1,E-S,29,303,-0.03915145462998263
resnet,0,macro_f1,E-S,29,404,-0.04093066266512048
resnet,0,macro_f1,E-S,29,505,-0.04166476046747759
resnet,0,macro_f1,E-S,29,8128,-0.039970256517958005
resnet,0,macro_f1,E-S,43,101,-0.052960373462794606
resnet,0,macro_f1,E-S,43,202,-0.05979863547922486
resnet,0,macro_f1,E-S,43,303,-0.046535062445465944
resnet,0,macro_f1,E-S,43,404,-0.05432326265238876
