model,snr,metric,contrast,seed,estimate
resnet,0,ece,E-I,17,0.024932569231857483
resnet,0,ece,E-I,29,0.007537705847753688
resnet,0,ece,E-I,43,0.03791012969510228
resnet,0,ece,E-S,17,0.0218541627496921
resnet,0,ece,E-S,29,-0.0004265932560091852
resnet,0,ece,E-S,43,0.03415868783690434
resnet,0,ece,S-I,17,0.0030784064821653846
resnet,0,ece,S-I,29,0.007964299103762873
resnet,0,ece,S-I,43,0.003751441858197943
resnet,0,macro_auroc,E-I,17,-0.021749414726241683
resnet,0,macro_auroc,E-I,29,-0.01953486903484432
resnet,0,macro_auroc,E-I,43,-0.016105607385100657
resnet,0,macro_auroc,E-S,17,-0.019235293922221595
resnet,0,macro_auroc,E-S,29,-0.015417340296109002
resnet,0,macro_auroc,E-S,43,-0.013732341607092996
resnet,0,macro_auroc,S-I,17,-0.002514120804020085
resnet,0,macro_auroc,S-I,29,-0.004117528738735321
resnet,0,macro_auroc,S-I,43,-0.002373265778007664
resnet,0,macro_f1,E-I,17,-0.06827315896692708
resnet,0,macro_f1,E-I,29,-0.05934600816208494
resnet,0,macro_f1,E-I,43,-0.06297534306007398
resnet,0,macro_f1,E-S,17,-0.056173833896247395
resnet,0,macro_f1,E-S,29,-0.040753712124471764
resnet,0,macro_f1,E-S,43,-0.05242563550401647
resnet,0,macro_f1,S-I,17,-0.012099325070679685
resnet,0,macro_f1,S-I,29,-0.018592296037613174
resnet,0,macro_f1,S-I,43,-0.010549707556057502
resnet,5,ece,E-I,17,0.01777046152090894
resnet,5,ece,E-I,29,0.019780413579372248
resnet,5,ece,E-I,43,0.023110565042454723
resnet,5,ece,E-S,17,0.01577182709612415
resnet,5,ece,E-S,29,0.013946026230116633
resnet,5,ece,E-S,43,0.020525284804943554
resnet,5,ece,S-I,17,0.0019986344247847868
resnet,5,ece,S-I,29,0.005834387349255617
resnet,5,ece,S-I,43,0.002585280237511174
resnet,5,macro_auroc,E-I,17,-0.01050018631243621
resnet,5,macro_auroc,E-I,29,-0.005269974446882227
resnet,5,macro_auroc,E-I,43,-0.006152798903733214
resnet,5,macro_auroc,E-S,17,-0.009290117481175501
resnet,5,macro_auroc,E-S,29,-0.004047365683811669
resnet,5,macro_auroc,E-S,43,-0.004840045964702892
resnet,5,macro_auroc,S-I,17,-0.0012100688312607097
resnet,5,macro_auroc,S-I,29,-0.0012226087630705577
resnet,5,macro_auroc,S-I,43,-0.0013127529390303224
resnet,5,macro_f1,E-I,17,-0.025852722492039182
resnet,5,macro_f1,E-I,29,-0.031030588173127704
resnet,5,macro_f1,E-I,43,-0.023304757383375507
resnet,5,macro_f1,E-S,17,-0.020814680578168623
resnet,5,macro_f1,E-S,29,-0.023652819213668002
resnet,5,macro_f1,E-S,43,-0.019059172604446457
resnet,5,macro_f1,S-I,17,-0.005038041913870562
resnet,5,macro_f1,S-I,29,-0.0073777689594597025
resnet,5,macro_f1,S-I,43,-0.004245584778929049
resnet,10,ece,E-I,17,0.007142953133706183
resnet,10,ece,E-I,29,0.006040199864539821
resnet,10,ece,E-I,43,0.007521434414166343
resnet,10,ece,E-S,17,0.007123180210532497
resnet,10,ece,E-S,29,0.006559369266432257
resnet,10,ece,E-S,43,0.00613565924618819
resnet,10,ece,S-I,17,1.9772923173687346e-05
resnet,10,ece,S-I,29,-0.0005191694018924364
resnet,10,ece,S-I,43,0.0013857751679781517
resnet,10,macro_auroc,E-I,17,-0.0038440805285994695
resnet,10,macro_auroc,E-I,29,-0.001731622989435207
resnet,10,macro_auroc,E-I,43,-0.0016434206694991664
resnet,10,macro_auroc,E-S,17,-0.0031025962778667687
resnet,10,macro_auroc,E-S,29,-0.0014724302536153866
resnet,10,macro_auroc,E-S,43,-0.0013099422206468202
resnet,10,macro_auroc,S-I,17,-0.0007414842507327009
resnet,10,macro_auroc,S-I,29,-0.00025919273581982054
resnet,10,macro_auroc,S-I,43,-0.00033347844885234603
resnet,10,macro_f1,E-I,17,-0.009948935500016779
resnet,10,macro_f1,E-I,29,-0.0060478415777281596
resnet,10,macro_f1,E-I,43,-0.004701643764780217
resnet,10,macro_f1,E-S,17,-0.00721910419741754
resnet,10,macro_f1,E-S,29,-0.006171192315854023
resnet,10,macro_f1,E-S,43,-0.0022088827469864993
resnet,10,macro_f1,S-I,17,-0.0027298313025992393
resnet,10,macro_f1,S-I,29,0.0001233507381258639
resnet,10,macro_f1,S-I,43,-0.0024927610177937175
tcn,0,ece,E-I,17,0.04003405537713183
tcn,0,ece,E-I,29,0.061288851872306795
tcn,0,ece,E-I,43,0.06925281862273928
tcn,0,ece,E-S,17,0.03667663320026973
tcn,0,ece,E-S,29,0.07412708498024262
tcn,0,ece,E-S,43,0.06756929059000984
tcn,0,ece,S-I,17,0.0033574221768620915
tcn,0,ece,S-I,29,-0.01283823310793583
tcn,0,ece,S-I,43,0.0016835280327294453
tcn,0,macro_auroc,E-I,17,-0.008280136774866423
tcn,0,macro_auroc,E-I,29,-0.016613159627569613
tcn,0,macro_auroc,E-I,43,-0.012559087576594649
tcn,0,macro_auroc,E-S,17,-0.007885844837768366
tcn,0,macro_auroc,E-S,29,-0.01782871285747521
tcn,0,macro_auroc,E-S,43,-0.013847298599422853
tcn,0,macro_auroc,S-I,17,-0.0003942919370980569
tcn,0,macro_auroc,S-I,29,0.0012155532299055936
tcn,0,macro_auroc,S-I,43,0.0012882110228282044
tcn,0,macro_f1,E-I,17,-0.07341767954843155
tcn,0,macro_f1,E-I,29,-0.0924850217451284
tcn,0,macro_f1,E-I,43,-0.12961788092238347
tcn,0,macro_f1,E-S,17,-0.06695813160401308
tcn,0,macro_f1,E-S,29,-0.11025144818337125
tcn,0,macro_f1,E-S,43,-0.134358030237103
tcn,0,macro_f1,S-I,17,-0.0064595479444184796
tcn,0,macro_f1,S-I,29,0.017766426438242864
tcn,0,macro_f1,S-I,43,0.004740149314719514
tcn,5,ece,E-I,17,0.008001247208903104
tcn,5,ece,E-I,29,0.03875107868020634
tcn,5,ece,E-I,43,0.008181525306243864
tcn,5,ece,E-S,17,0.008881848252909167
tcn,5,ece,E-S,29,0.039885094536879266
tcn,5,ece,E-S,43,0.004562395945198072
tcn,5,ece,S-I,17,-0.0008806010440060644
tcn,5,ece,S-I,29,-0.0011340158566729211
tcn,5,ece,S-I,43,0.0036191293610457905
tcn,5,macro_auroc,E-I,17,-0.0014345054664356427
tcn,5,macro_auroc,E-I,29,-0.005051852983146014
tcn,5,macro_auroc,E-I,43,-0.003366124950954249
tcn,5,macro_auroc,E-S,17,-0.001402692340299309
tcn,5,macro_auroc,E-S,29,-0.005335843223985529
tcn,5,macro_auroc,E-S,43,-0.003898809692246641
tcn,5,macro_auroc,S-I,17,-3.181312613633378e-05
tcn,5,macro_auroc,S-I,29,0.0002839902408395156
tcn,5,macro_auroc,S-I,43,0.0005326847412923922
tcn,5,macro_f1,E-I,17,-0.015533935381630245
tcn,5,macro_f1,E-I,29,-0.04238050775305097
tcn,5,macro_f1,E-I,43,-0.028769288490930817
tcn,5,macro_f1,E-S,17,-0.01662794961137559
tcn,5,macro_f1,E-S,29,-0.04328129762191874
tcn,5,macro_f1,E-S,43,-0.030810809166685365
tcn,5,macro_f1,S-I,17,0.0010940142297453436
tcn,5,macro_f1,S-I,29,0.0009007898688677796
tcn,5,macro_f1,S-I,43,0.002041520675754549
tcn,10,ece,E-I,17,-0.0017890587138232837
tcn,10,ece,E-I,29,0.0024474184328040134
tcn,10,ece,E-I,43,-0.008116478953753782
tcn,10,ece,E-S,17,-0.0015092807342636705
tcn,10,ece,E-S,29,0.0031110217856808835
tcn,10,ece,E-S,43,-0.008730996367266689
tcn,10,ece,S-I,17,-0.00027977797955961353
tcn,10,ece,S-I,29,-0.0006636033528768702
tcn,10,ece,S-I,43,0.0006145174135129062
tcn,10,macro_auroc,E-I,17,-0.00016487868265478248
tcn,10,macro_auroc,E-I,29,-0.0009977825778203497
tcn,10,macro_auroc,E-I,43,-0.0006789930870345443
tcn,10,macro_auroc,E-S,17,-0.0002193316357553487
tcn,10,macro_auroc,E-S,29,-0.001224929911620672
tcn,10,macro_auroc,E-S,43,-0.0009627374495937757
tcn,10,macro_auroc,S-I,17,5.445295310056627e-05
tcn,10,macro_auroc,S-I,29,0.00022714733380032234
tcn,10,macro_auroc,S-I,43,0.0002837443625592314
tcn,10,macro_f1,E-I,17,-0.0015822300195780608
tcn,10,macro_f1,E-I,29,-0.008447868891557242
tcn,10,macro_f1,E-I,43,-0.006666601593686668
tcn,10,macro_f1,E-S,17,-0.0026278984032326574
tcn,10,macro_f1,E-S,29,-0.009104206890689684
tcn,10,macro_f1,E-S,43,-0.007828180330228758
tcn,10,macro_f1,S-I,17,0.0010456683836545962
tcn,10,macro_f1,S-I,29,0.0006563379991324429
tcn,10,macro_f1,S-I,43,0.0011615787365420905
