model,snr,metric,contrast,estimate,seed_sd,seed_n,patient_ci_low,patient_ci_high,n_bootstrap,n_invalid,noise_sd,signed_mode_sd
resnet,0,ece,E-I,0.023460134924904483,0.015239654841300262,3,0.022037686779060324,0.024905905745503443,2000,0,0.0014006426230539035,0.0
resnet,0,ece,E-S,0.018528752443529084,0.017530806665616155,3,0.017129825962043495,0.019635692729550784,2000,0,0.0011103517851637215,0.01272322884887348
resnet,0,ece,S-I,0.0049313824813754,0.0026480524132111694,3,0.004212606938962544,0.006014481380864522,2000,0,0.0005052602485906905,0.01272322884887348
resnet,0,macro_auroc,E-I,-0.01912996371539555,0.0028436071395795456,3,-0.021133051476837188,-0.017016624338772993,2000,0,0.0009537489019201791,0.0
resnet,0,macro_auroc,E-S,-0.016128325275141197,0.002819529353624796,3,-0.01771190868113388,-0.014460960798073111,2000,0,0.0004832999385917371,0.01183063663293706
resnet,0,macro_auroc,S-I,-0.003001638440254357,0.0009689522192921543,3,-0.004286560383746835,-0.001678907609763035,2000,0,0.0008675198598216685,0.011830636632937062
resnet,0,macro_f1,E-I,-0.063531503396362,0.0044894867315589,3,-0.06810862456220365,-0.05898354321433014,2000,0,0.0027671016089657495,0.0
resnet,0,macro_f1,E-S,-0.04978439384157854,0.0080422109524462,3,-0.053700864550146186,-0.045786924696304895,2000,0,0.0016265510329674083,0.0319232832320164
resnet,0,macro_f1,S-I,-0.013747109554783454,0.004266989881690937,3,-0.01630938981116966,-0.011311082563525688,2000,0,0.002305539316223293,0.031923283232016396
resnet,5,ece,E-I,0.020220480047578634,0.0026971133230800953,3,0.01856903182993663,0.021223770759541936,2000,0,0.0007897970101154012,0.0
resnet,5,ece,E-S,0.01674771271039478,0.0033964577721081217,3,0.015297029502242428,0.017567433677139158,2000,0,0.0006208481808953794,0.01189566646644162
resnet,5,ece,S-I,0.0034727673371838593,0.002066149834465233,3,0.0027578739201601465,0.00417557302082867,2000,0,0.0006038800052093217,0.011895666466441622
resnet,5,macro_auroc,E-I,-0.007307653221017217,0.002799829532356844,3,-0.008493063309994577,-0.006104533458376162,2000,0,0.0013747110831875244,9.69739903612216e-19
resnet,5,macro_auroc,E-S,-0.006059176376563354,0.0028260079304617525,3,-0.007046791895180259,-0.005055649639753295,2000,0,0.0009299588649003249,0.004658463483837757
resnet,5,macro_auroc,S-I,-0.0012484768444538635,5.6016736096905435e-05,3,-0.0019501691445752306,-0.0005004865842913346,2000,0,0.0005567373190045844,0.004658463483837758
resnet,5,macro_f1,E-I,-0.0267293560161808,0.003936810904743518,3,-0.029866830729758726,-0.023531118546670976,2000,0,0.0019015764575674964,0.0
resnet,5,macro_f1,E-S,-0.021175557465427694,0.002317988651486779,3,-0.023799280715467976,-0.018477628731493386,2000,0,0.0017146392434021546,0.01610209173487477
resnet,5,macro_f1,S-I,-0.005553798550753105,0.0016285417147122495,3,-0.007324246039550785,-0.003712597190180595,2000,0,0.002020424726748813,0.016102091734874775
resnet,10,ece,E-I,0.006901529137470782,0.0007695635823117699,3,0.004903548094588565,0.008211857012739274,2000,0,0.000787845765184813,9.69739903612216e-19
resnet,10,ece,E-S,0.006606069574384314,0.0004954140720922145,3,0.0046787926337233275,0.007510077233438949,2000,0,0.0003165951420679357,0.003730454286028251
resnet,10,ece,S-I,0.00029545956308646757,0.0009819398128906166,3,-0.0002938715855140223,0.001169802757117866,2000,0,0.0008234727519373079,0.003730454286028251
resnet,10,macro_auroc,E-I,-0.002406374729177948,0.001245870533634307,3,-0.0030608120344059013,-0.0017404223074512645,2000,0,0.0010928011493934015,0.0
resnet,10,macro_auroc,E-S,-0.0019616562507096583,0.000991417520216104,3,-0.0025680943777265284,-0.0013983864820379134,2000,0,0.0007809957395100602,0.0016319853197483585
resnet,10,macro_auroc,S-I,-0.0004447184784682891,0.00025967678849091847,3,-0.0008692375050428181,-2.2140819859281943e-05,2000,0,0.00034663957589628084,0.0016319853197483587
resnet,10,macro_f1,E-I,-0.006899473614175052,0.0027253395169771952,3,-0.00890933182881986,-0.00483292487182612,2000,0,0.0014695450630660717,0.0
resnet,10,macro_f1,E-S,-0.005199726420086021,0.0026426103071716944,3,-0.007028265882118722,-0.0034240509126546013,2000,0,0.0008749052343307811,0.004923459390706622
resnet,10,macro_f1,S-I,-0.001699747194089031,0.0015832924975566303,3,-0.0030503920654813966,-0.0003499629904589956,2000,0,0.0017129694241315623,0.004923459390706623
tcn,0,ece,E-I,0.056858575290725966,0.015104785478208316,3,0.053969889679484774,0.05863167820948249,2000,0,0.0009489179268754846,0.0
tcn,0,ece,E-S,0.05945766959017407,0.01999957202203965,3,0.05605535395841611,0.061276808168689606,2000,0,0.0005859147089918158,0.03613740052403917
tcn,0,ece,S-I,-0.0025990942994480975,0.008906764454955014,3,-0.0033497280435631194,-0.0013047260116160763,2000,0,0.0004299553073190605,0.03613740052403918
tcn,0,macro_auroc,E-I,-0.012484127993010229,0.0041670171190309226,3,-0.014189009098689255,-0.01079793897958676,2000,0,0.0011355460459958092,0.0
tcn,0,macro_auroc,E-S,-0.013187285431555477,0.005004185163505245,3,-0.014947603904454881,-0.011493847906756739,2000,0,0.0009628788503159066,0.006035034492325407
tcn,0,macro_auroc,S-I,0.0007031574385452469,0.0009511131046268915,3,-8.349960059641236e-05,0.0014529889812050789,2000,0,0.0007197512794345563,0.006035034492325408
tcn,0,macro_f1,E-I,-0.0985068607386478,0.028579932947193732,3,-0.10356053045582671,-0.09346616671118627,2000,0,0.002252587408020254,0.0
tcn,0,macro_f1,E-S,-0.10385587000816243,0.03415207386212592,3,-0.10910522526103937,-0.09839488590084267,2000,0,0.0017051147811993892,0.04927701986366188
tcn,0,macro_f1,S-I,0.005349009269514632,0.012124458401543376,3,0.003134159159042445,0.007583102364013386,2000,0,0.0015493536765836763,0.04927701986366188
tcn,5,ece,E-I,0.018311283731784436,0.017701611175207903,3,0.014607737258815,0.02067558373153686,2000,0,0.0008004710198791573,0.0
tcn,5,ece,E-S,0.0177764462449955,0.01926807369796755,3,0.013740135118752682,0.020188557812610353,2000,0,0.0007592035697298351,0.009506165279329864
tcn,5,ece,S-I,0.0005348374867889349,0.0026740787275293327,3,-0.0001911899857668303,0.0014577886541047,2000,0,0.0005899207637877781,0.009506165279329865
tcn,5,macro_auroc,E-I,-0.0032841611335119683,0.001810066107823125,3,-0.004195488812957201,-0.002352907569355875,2000,0,0.0007594023779596062,0.0
tcn,5,macro_auroc,E-S,-0.00354578175217716,0.0019901986115241615,3,-0.004434850810663353,-0.0026275971352811463,2000,0,0.0005500549786670514,0.0019176094314832096
tcn,5,macro_auroc,S-I,0.00026162061866519135,0.0002829129911829101,3,-0.0001835141595149171,0.0006862183287942756,2000,0,0.0003212064452023692,0.0019176094314832094
