model,snr,metric,contrast,seed,mode,redundant_contrast,estimate
resnet,0,ece,E-I,17,S_00,True,0.024932569231857483
resnet,0,ece,E-I,17,S_01,True,0.024932569231857483
resnet,0,ece,E-I,17,S_02,True,0.024932569231857483
resnet,0,ece,E-I,17,S_03,True,0.024932569231857483
resnet,0,ece,E-I,17,S_04,True,0.024932569231857483
resnet,0,ece,E-I,29,S_00,True,0.007537705847753688
resnet,0,ece,E-I,29,S_01,True,0.007537705847753688
resnet,0,ece,E-I,29,S_02,True,0.007537705847753688
resnet,0,ece,E-I,29,S_03,True,0.007537705847753688
resnet,0,ece,E-I,29,S_04,True,0.007537705847753688
resnet,0,ece,E-I,43,S_00,True,0.03791012969510228
resnet,0,ece,E-I,43,S_01,True,0.03791012969510228
resnet,0,ece,E-I,43,S_02,True,0.03791012969510228
resnet,0,ece,E-I,43,S_03,True,0.03791012969510228
resnet,0,ece,E-I,43,S_04,True,0.03791012969510228
resnet,0,ece,E-S,17,S_00,False,0.029133692259352927
resnet,0,ece,E-S,17,S_01,False,0.017243508944340263
resnet,0,ece,E-S,17,S_02,False,0.009819979408474436
resnet,0,ece,E-S,17,S_03,False,0.02947360817175355
resnet,0,ece,E-S,17,S_04,False,0.02360002496453932
resnet,0,ece,E-S,29,S_00,False,0.0018843913044862502
resnet,0,ece,E-S,29,S_01,False,-0.0009032266117949226
resnet,0,ece,E-S,29,S_02,False,-0.0001299720845526949
resnet,0,ece,E-S,29,S_03,False,-0.003382756636279608
resnet,0,ece,E-S,29,S_04,False,0.0003985977480950494
resnet,0,ece,E-S,43,S_00,False,0.05346051008537218
resnet,0,ece,E-S,43,S_01,False,-0.0021576457644616
resnet,0,ece,E-S,43,S_02,False,0.0036921193118333445
resnet,0,ece,E-S,43,S_03,False,0.05630721984550933
resnet,0,ece,E-S,43,S_04,False,0.05949123570626844
resnet,0,ece,S-I,17,S_00,False,-0.004201123027495442
resnet,0,ece,S-I,17,S_01,False,0.00768906028751722
resnet,0,ece,S-I,17,S_02,False,0.015112589823383047
resnet,0,ece,S-I,17,S_03,False,-0.004541038939896065
resnet,0,ece,S-I,17,S_04,False,0.0013325442673181632
resnet,0,ece,S-I,29,S_00,False,0.0056533145432674375
resnet,0,ece,S-I,29,S_01,False,0.008440932459548611
resnet,0,ece,S-I,29,S_02,False,0.007667677932306383
resnet,0,ece,S-I,29,S_03,False,0.010920462484033297
resnet,0,ece,S-I,29,S_04,False,0.007139108099658638
resnet,0,ece,S-I,43,S_00,False,-0.015550380390269895
resnet,0,ece,S-I,43,S_01,False,0.04006777545956388
resnet,0,ece,S-I,43,S_02,False,0.03421801038326894
resnet,0,ece,S-I,43,S_03,False,-0.018397090150407042
resnet,0,ece,S-I,43,S_04,False,-0.021581106011166168
resnet,0,macro_auroc,E-I,17,S_00,True,-0.021749414726241683
resnet,0,macro_auroc,E-I,17,S_01,True,-0.021749414726241683
resnet,0,macro_auroc,E-I,17,S_02,True,-0.021749414726241683
resnet,0,macro_auroc,E-I,17,S_03,True,-0.021749414726241683
resnet,0,macro_auroc,E-I,17,S_04,True,-0.021749414726241683
resnet,0,macro_auroc,E-I,29,S_00,True,-0.01953486903484432
resnet,0,macro_auroc,E-I,29,S_01,True,-0.01953486903484432
resnet,0,macro_auroc,E-I,29,S_02,True,-0.01953486903484432
resnet,0,macro_auroc,E-I,29,S_03,True,-0.01953486903484432
resnet,0,macro_auroc,E-I,29,S_04,True,-0.01953486903484432
resnet,0,macro_auroc,E-I,43,S_00,True,-0.016105607385100657
resnet,0,macro_auroc,E-I,43,S_01,True,-0.016105607385100657
resnet,0,macro_auroc,E-I,43,S_02,True,-0.016105607385100657
resnet,0,macro_auroc,E-I,43,S_03,True,-0.016105607385100657
resnet,0,macro_auroc,E-I,43,S_04,True,-0.016105607385100657
resnet,0,macro_auroc,E-S,17,S_00,False,-0.02259899807112033
resnet,0,macro_auroc,E-S,17,S_01,False,-0.0085674709094082
resnet,0,macro_auroc,E-S,17,S_02,False,-0.005866650615474589
resnet,0,macro_auroc,E-S,17,S_03,False,-0.033689772286892315
resnet,0,macro_auroc,E-S,17,S_04,False,-0.02545357772821255
resnet,0,macro_auroc,E-S,29,S_00,False,-0.01897826001583743
resnet,0,macro_auroc,E-S,29,S_01,False,0.003274204055294642
resnet,0,macro_auroc,E-S,29,S_02,False,-0.006915361076602807
resnet,0,macro_auroc,E-S,29,S_03,False,-0.02865187330977753
resnet,0,macro_auroc,E-S,29,S_04,False,-0.025815411133621884
resnet,0,macro_auroc,E-S,43,S_00,False,-0.020972930559124674
resnet,0,macro_auroc,E-S,43,S_01,False,-0.00047785711298894046
