model,snr,metric,contrast,mode,estimate,seed_sd,seed_n,patient_ci_low,patient_ci_high,n_bootstrap,n_invalid,redundant_contrast,noise_sd
resnet,0,ece,E-I,S_00,0.023460134924904483,0.015239654841300262,3,0.022037686779060324,0.024905905745503443,2000,0,True,0.0014006426230539035
resnet,0,ece,E-I,S_01,0.023460134924904483,0.015239654841300262,3,0.022037686779060324,0.024905905745503443,2000,0,True,0.0014006426230539035
resnet,0,ece,E-I,S_02,0.023460134924904483,0.015239654841300262,3,0.022037686779060324,0.024905905745503443,2000,0,True,0.0014006426230539035
resnet,0,ece,E-I,S_03,0.023460134924904483,0.015239654841300262,3,0.022037686779060324,0.024905905745503443,2000,0,True,0.0014006426230539035
resnet,0,ece,E-I,S_04,0.023460134924904483,0.015239654841300262,3,0.022037686779060324,0.024905905745503443,2000,0,True,0.0014006426230539035
resnet,0,ece,E-S,S_00,0.028159531216403785,0.02580185554234837,3,0.026372616504553015,0.02931176517698448,2000,0,False,0.0012017356056147753
resnet,0,ece,E-S,S_01,0.00472754552269458,0.010857273927262948,3,0.0027573717328079938,0.006328037121231291,2000,0,False,0.000973132664578
resnet,0,ece,E-S,S_02,0.004460708878585028,0.005019305840451234,3,0.002886517227975335,0.005765324844606107,2000,0,False,0.001532573239890042
resnet,0,ece,E-S,S_03,0.027466023793661087,0.0298955869548584,3,0.025614045990498605,0.02919387588442585,2000,0,False,0.0010660651870101584
resnet,0,ece,E-S,S_04,0.027829952806300937,0.02977254074434732,3,0.02614791670410578,0.02963029653757828,2000,0,False,0.0015084398160001738
resnet,0,ece,S-I,S_00,-0.004699396291499299,0.010610625659820678,3,-0.005415417920567105,-0.0032723270010239897,2000,0,False,0.00037952340077361996
resnet,0,ece,S-I,S_01,0.0187325894022099,0.018480637191861174,3,0.01722620429488137,0.020755160743702934,2000,0,False,0.0009717279663627402
resnet,0,ece,S-I,S_02,0.018999426046319455,0.013695278755180807,3,0.017675794937301544,0.02059818594897092,2000,0,False,0.0008883766342013916
resnet,0,ece,S-I,S_03,-0.004005888868756604,0.01466610078777844,3,-0.005234649666549881,-0.002615648113408343,2000,0,False,0.001026901811411269
resnet,0,ece,S-I,S_04,-0.004369817881396456,0.015185531772026457,3,-0.005536554748098251,-0.0032182949942293616,2000,0,False,0.0005760404316322123
resnet,0,macro_auroc,E-I,S_00,-0.01912996371539555,0.0028436071395795456,3,-0.021133051476837188,-0.017016624338772993,2000,0,True,0.0009537489019201791
resnet,0,macro_auroc,E-I,S_01,-0.01912996371539555,0.0028436071395795456,3,-0.021133051476837188,-0.017016624338772993,2000,0,True,0.0009537489019201791
resnet,0,macro_auroc,E-I,S_02,-0.01912996371539555,0.0028436071395795456,3,-0.021133051476837188,-0.017016624338772993,2000,0,True,0.0009537489019201791
resnet,0,macro_auroc,E-I,S_03,-0.01912996371539555,0.0028436071395795456,3,-0.021133051476837188,-0.017016624338772993,2000,0,True,0.0009537489019201791
resnet,0,macro_auroc,E-I,S_04,-0.01912996371539555,0.0028436071395795456,3,-0.021133051476837188,-0.017016624338772993,2000,0,True,0.0009537489019201791
resnet,0,macro_auroc,E-S,S_00,-0.020850062882027478,0.0018134934148763535,3,-0.022967210086655844,-0.01870509321732063,2000,0,False,0.0010001708993477648
resnet,0,macro_auroc,E-S,S_01,-0.0019237079890341664,0.006051791475194604,3,-0.0038167559811620754,4.613203314381366e-05,2000,0,False,0.0006948419130669558
resnet,0,macro_auroc,E-S,S_02,-0.0051750784502750755,0.0021703425312898077,3,-0.006908795837182481,-0.00347796140016945,2000,0,False,0.002027578361169556
resnet,0,macro_auroc,E-S,S_03,-0.02821703614730899,0.005702602323960572,3,-0.030452893912445586,-0.025900420079317192,2000,0,False,0.0012657665598308624
resnet,0,macro_auroc,E-S,S_04,-0.02447574090706028,0.0020151575721193997,3,-0.026532531330056938,-0.022248947954463034,2000,0,False,0.001768982008875786
resnet,0,macro_auroc,S-I,S_00,0.0017200991666319239,0.002814801672514664,3,5.198503379998673e-05,0.003452954380359184,2000,0,False,0.0016456645672957586
resnet,0,macro_auroc,S-I,S_01,-0.017206255726361388,0.005003914878678074,3,-0.019256112972635964,-0.01524407946600267,2000,0,False,0.001370129467642276
resnet,0,macro_auroc,S-I,S_02,-0.01395488526512048,0.0017104103993868071,3,-0.01578827049151821,-0.011996204114546898,2000,0,False,0.001460006594810522
resnet,0,macro_auroc,S-I,S_03,0.009087072431913435,0.002868368181329483,3,0.007415032502126296,0.010746868253753376,2000,0,False,0.0008617652656230253
resnet,0,macro_auroc,S-I,S_04,0.005345777191664723,0.0014262395464400745,3,0.0036794355464200676,0.007035480605089082,2000,0,False,0.0023368820212163314
resnet,0,macro_f1,E-I,S_00,-0.063531503396362,0.0044894867315589,3,-0.06810862456220365,-0.05898354321433014,2000,0,True,0.0027671016089657495
resnet,0,macro_f1,E-I,S_01,-0.063531503396362,0.0044894867315589,3,-0.06810862456220365,-0.05898354321433014,2000,0,True,0.0027671016089657495
resnet,0,macro_f1,E-I,S_02,-0.063531503396362,0.0044894867315589,3,-0.06810862456220365,-0.05898354321433014,2000,0,True,0.0027671016089657495
resnet,0,macro_f1,E-I,S_03,-0.063531503396362,0.0044894867315589,3,-0.06810862456220365,-0.05898354321433014,2000,0,True,0.0027671016089657495
resnet,0,macro_f1,E-I,S_04,-0.063531503396362,0.0044894867315589,3,-0.06810862456220365,-0.05898354321433014,2000,0,True,0.0027671016089657495
resnet,0,macro_f1,E-S,S_00,-0.06679029078338186,0.01670409684779935,3,-0.0715787983092394,-0.061931556155667644,2000,0,False,0.0029336632374159276
resnet,0,macro_f1,E-S,S_01,-0.014119283191983722,0.011248019569946754,3,-0.018328112163644057,-0.009931546676629092,2000,0,False,0.004802143229145783
resnet,0,macro_f1,E-S,S_02,-0.016118771684862348,0.00932827786134429,3,-0.019740932132389363,-0.012604799306749735,2000,0,False,0.002925920408189658
resnet,0,macro_f1,E-S,S_03,-0.07848305520462368,0.022015477098945236,3,-0.08357063697827105,-0.07344502041744408,2000,0,False,0.003865193346686895
resnet,0,macro_f1,E-S,S_04,-0.07341056834304112,0.01682379540250245,3,-0.07872350027205749,-0.06827228710457099,2000,0,False,0.0028088302893328307
resnet,0,macro_f1,S-I,S_00,0.0032587873870198584,0.014280336842340926,3,-0.00015252897354821196,0.006391372974397537,2000,0,False,0.003987274545029176
resnet,0,macro_f1,S-I,S_01,-0.04941222020437828,0.011426766579412617,3,-0.05328540184591157,-0.04581908651429601,2000,0,False,0.004315876459955489
resnet,0,macro_f1,S-I,S_02,-0.04741273171149965,0.012310012144786423,3,-0.05127763443069486,-0.043947958898584265,2000,0,False,0.0015953450826920645
resnet,0,macro_f1,S-I,S_03,0.01495155180826168,0.01784498015828951,3,0.01161447479221905,0.01827107626348935,2000,0,False,0.005012268107794449
resnet,0,macro_f1,S-I,S_04,0.009879064946679124,0.01494839071046967,3,0.006636765443015369,0.013170800334509777,2000,0,False,0.0037700567591357134
resnet,5,ece,E-I,S_00,0.020220480047578634,0.0026971133230800953,3,0.01856903182993663,0.021223770759541936,2000,0,True,0.0007897970101154012
resnet,5,ece,E-I,S_01,0.020220480047578634,0.0026971133230800953,3,0.01856903182993663,0.021223770759541936,2000,0,True,0.0007897970101154012
resnet,5,ece,E-I,S_02,0.020220480047578634,0.0026971133230800953,3,0.01856903182993663,0.021223770759541936,2000,0,True,0.0007897970101154012
resnet,5,ece,E-I,S_03,0.020220480047578634,0.0026971133230800953,3,0.01856903182993663,0.021223770759541936,2000,0,True,0.0007897970101154012
