object,snr,noise_seed,mode,n_valid,n_null,mean,sd,median,q1,q3,iqr,min,max
clean,,,,2158,0,1.3662119222710647e-06,8.896300041519708e-07,1.1973709964185677e-06,7.81988307767661e-07,1.7405169328016194e-06,9.585286250339584e-07,2.4953678499437863e-08,1.1905967552934596e-05
E_noise,0,8128,,2158,0,6.184417593330739e-16,6.950330234298348e-17,6.081998285756236e-16,5.697184017681971e-16,6.579882050273478e-16,8.826980325915072e-17,4.524859606422407e-16,9.221570854893175e-16
E_input,0,8128,,2158,0,6.831682512225041e-07,4.4465908330336916e-07,5.993991124780795e-07,3.9016406187152115e-07,8.682386892156896e-07,4.780746273441684e-07,1.2456462601930515e-08,5.894167469859572e-06
I_noise,0,8128,,2158,0,0.3743007734352041,0.00871986732544731,0.37417626517279134,0.3684311489148296,0.3801765412295413,0.011745392314711722,0.34622078714689597,0.40167365975082503
I_input,0,8128,,2158,0,0.18717176415730005,0.004759908011001965,0.18712263392074335,0.18397449913986902,0.19041933445939824,0.0064448353195292185,0.17071195662533706,0.20310952884776845
S_noise,0,8128,S_00,2158,0,0.4528198855946259,0.00876404951750418,0.4528418150874587,0.4467879166628469,0.45878628040899516,0.011998363746148266,0.42481906828120314,0.4846383642654077
S_input,0,8128,S_00,2158,0,0.22644546215873018,0.004723559302188481,0.22648822624570475,0.22322304605204912,0.229727564136504,0.0065045180844548744,0.21153543086732357,0.24465176877140968
S_noise,0,8128,S_01,2158,0,0.31380502885637185,0.009475940719905955,0.31380411393841035,0.30709393644673233,0.32024738390270013,0.013153447455967804,0.2847844091671715,0.3519805601247275
S_input,0,8128,S_01,2158,0,0.15691149005737454,0.004954335549124998,0.15692536890300685,0.15349960437520177,0.16018849287859016,0.0066888885033883905,0.14174517206428988,0.17467030856122528
S_noise,0,8128,S_02,2158,0,0.23149961587193593,0.009169662957326737,0.23134235316387813,0.22538644866854515,0.23780541518837073,0.012418966519825575,0.19369852194636314,0.2624489635459034
S_input,0,8128,S_02,2158,0,0.11575680274996569,0.00476368324488513,0.11569534615957469,0.1125406546929819,0.11897761879496976,0.006436964101987866,0.09684606604242951,0.13266921340479348
S_noise,0,8128,S_03,2158,0,0.5557534029831849,0.009898647871719062,0.5559934377952256,0.5488968633357066,0.5624437090907257,0.013546845755019077,0.5236868071327957,0.5921514621116537
S_input,0,8128,S_03,2158,0,0.2779262107816841,0.005354619162377257,0.2779557911684908,0.2743827477472057,0.2815294068876268,0.007146659140421063,0.26009468387922263,0.29776865628561033
S_noise,0,8128,S_04,2158,0,0.4991588922342591,0.00896241908235948,0.49924960207393965,0.49292796450923426,0.5051608701644501,0.012232905655215842,0.4699301783036634,0.5314114765032473
S_input,0,8128,S_04,2158,0,0.24961940556915824,0.0048795997266663765,0.24971573811731884,0.24631742626886213,0.25291708147065733,0.0065996552017952015,0.2335283222399797,0.26894701154351647
E_noise,0,101,,2158,0,6.187195400921171e-16,6.898305807119978e-17,6.115981119072021e-16,5.69853350374672e-16,6.569066924256378e-16,8.705334205096577e-17,4.612627863965421e-16,9.22829228890115e-16
E_input,0,101,,2158,0,6.831052144195813e-07,4.44988796243338e-07,5.992569059790614e-07,3.9020542795473576e-07,8.684674896666022e-07,4.782620617118665e-07,1.2491608366350173e-08,5.9308189820287335e-06
