model,seed,case_id,condition,snr,noise_seed,mode,origin,prediction_path,prediction_sha256,prediction_case_id,checkpoint_sha256,input_sha256,cohort_sha256,ids_sha256,patient_ids_sha256,indices_sha256,y_sha256,thresholds_sha256,run_fingerprint,config_sha256,manifest_sha256,freeze_sha256,source_sha256,p_sha256,macro_auroc,macro_f1,ece
tcn,17,S_00__snr_0__noise_8128,S_00,0,8128,S_00,new,signed_control_mechanism/predictions/smoke/worker_tcn_0/seed_17/S_00__snr_0__noise_8128.npz,4184a60604cf3a2017e5775692f431e801f4b4b47f49be292247cd2d5ddc45d5,S_00__snr_0__noise_8128,6ab54c8261689377c6c10f99db394501b9049ed832793c6ff2ebd827b5d95eec,2995f9f2fad1b79b034904bc95804c9d616e77edadd76a7f72c29f87a755cc76,9bd0540133d6fb65ab677f36eaec2dff8f0b6ff9a0de6b7e2dbbc30586b9b2a4,d982c17eef71728a0ec7ace66f66c459093faa60dea2213ef298c87eb473631a,89cb4ad26f237314d06a10a0b2263c1664dbf6d6ff6b4cf769926c35d82c1f09,79c497c403be63f17f085ca97eb931c814d5eb5110a1524e62f299f437b1ae68,e483faf3bfe164979b9ec07a62333a3ff2e327f1d73cc5ce931d425deeb90de7,45f3681b1729b5e5f5c33afb1cf9f102055966aa1f79952b616b848eebe0c690,9c7c3ad41475ef6831adffffbdad1594a5b55f61e87e7d3315d360977a23eded,529cd33fdb0927fc88124e6993cac44ecd5a4b4a01a0b814e8602dfbd99d70cd,39694c8be8cef4624b3a4c11da2fcd60015031fe1df517ea5bc12ba2b62728a4,cec58257294ec1907e3a3f2d6379a53dba205308fb08dd36321ab08f9b56edd8,8bc398b85696aba056c612dc8bf263c77e68951fa03dd82d6543727f6f4315a6,4e9b147cabba19ae1fc3865119303a4ae2f4b3538a90e8f087609893f4b48a81,0.9042435605652355,0.6115211075729239,0.1551537922136485
tcn,29,S_00__snr_0__noise_8128,S_00,0,8128,S_00,new,signed_control_mechanism/predictions/smoke/worker_tcn_0/seed_29/S_00__snr_0__noise_8128.npz,f3c885117f9ea918075f6715c004d7c0ecc0085bdbdf17d6ce945e3483c8e8e2,S_00__snr_0__noise_8128,e95999147596689babf082839394d52f32c1e6b8b8204a588e76311861f895f9,2995f9f2fad1b79b034904bc95804c9d616e77edadd76a7f72c29f87a755cc76,9bd0540133d6fb65ab677f36eaec2dff8f0b6ff9a0de6b7e2dbbc30586b9b2a4,d982c17eef71728a0ec7ace66f66c459093faa60dea2213ef298c87eb473631a,89cb4ad26f237314d06a10a0b2263c1664dbf6d6ff6b4cf769926c35d82c1f09,79c497c403be63f17f085ca97eb931c814d5eb5110a1524e62f299f437b1ae68,e483faf3bfe164979b9ec07a62333a3ff2e327f1d73cc5ce931d425deeb90de7,791fbf0318d34ae78a0ec30037e1ddda0a253c2d224d63d3663aeb6d0daac956,9c7c3ad41475ef6831adffffbdad1594a5b55f61e87e7d3315d360977a23eded,529cd33fdb0927fc88124e6993cac44ecd5a4b4a01a0b814e8602dfbd99d70cd,39694c8be8cef4624b3a4c11da2fcd60015031fe1df517ea5bc12ba2b62728a4,cec58257294ec1907e3a3f2d6379a53dba205308fb08dd36321ab08f9b56edd8,8bc398b85696aba056c612dc8bf263c77e68951fa03dd82d6543727f6f4315a6,d479b6db51b6c138935b7d4854a0689835f38f0878ffb61cb85916f576e0291d,0.9131909201352524,0.5892498278038941,0.18797903031110774
tcn,43,S_00__snr_0__noise_8128,S_00,0,8128,S_00,new,signed_control_mechanism/predictions/smoke/worker_tcn_0/seed_43/S_00__snr_0__noise_8128.npz,d24ef90cfe9e2a401a9986d608b0f27dd94e81815881cfdfa2d61c4122f53008,S_00__snr_0__noise_8128,c7477dff0207ea4b9f85d3d8896a531d71c253bc3616e0bc8daa8bd7370add0b,2995f9f2fad1b79b034904bc95804c9d616e77edadd76a7f72c29f87a755cc76,9bd0540133d6fb65ab677f36eaec2dff8f0b6ff9a0de6b7e2dbbc30586b9b2a4,d982c17eef71728a0ec7ace66f66c459093faa60dea2213ef298c87eb473631a,89cb4ad26f237314d06a10a0b2263c1664dbf6d6ff6b4cf769926c35d82c1f09,79c497c403be63f17f085ca97eb931c814d5eb5110a1524e62f299f437b1ae68,e483faf3bfe164979b9ec07a62333a3ff2e327f1d73cc5ce931d425deeb90de7,e92dc663a5eb620b3a8d6af62b6da3cc0c45e5b900d15fd223e5b392f07c1f0b,9c7c3ad41475ef6831adffffbdad1594a5b55f61e87e7d3315d360977a23eded,529cd33fdb0927fc88124e6993cac44ecd5a4b4a01a0b814e8602dfbd99d70cd,39694c8be8cef4624b3a4c11da2fcd60015031fe1df517ea5bc12ba2b62728a4,cec58257294ec1907e3a3f2d6379a53dba205308fb08dd36321ab08f9b56edd8,8bc398b85696aba056c612dc8bf263c77e68951fa03dd82d6543727f6f4315a6,f2900774222dba7d0c549b935c23080e7715cc52c5a1b336ed417d88d9dd879a,0.9184517950832989,0.6568517661200588,0.09987213039770722
tcn,17,S_01__snr_0__noise_8128,S_01,0,8128,S_01,new,signed_control_mechanism/predictions/smoke/worker_tcn_0/seed_17/S_01__snr_0__noise_8128.npz,7df450a5f5d12b59d2899e74ed0cdafc023e531225d802441bef90d9e5885efe,S_01__snr_0__noise_8128,6ab54c8261689377c6c10f99db394501b9049ed832793c6ff2ebd827b5d95eec,bc6c0a48ba8083d7602f9bed32da1e33a128a64f5b15e3d9049afbd1ce462f00,9bd0540133d6fb65ab677f36eaec2dff8f0b6ff9a0de6b7e2dbbc30586b9b2a4,d982c17eef71728a0ec7ace66f66c459093faa60dea2213ef298c87eb473631a,89cb4ad26f237314d06a10a0b2263c1664dbf6d6ff6b4cf769926c35d82c1f09,79c497c403be63f17f085ca97eb931c814d5eb5110a1524e62f299f437b1ae68,e483faf3bfe164979b9ec07a62333a3ff2e327f1d73cc5ce931d425deeb90de7,45f3681b1729b5e5f5c33afb1cf9f102055966aa1f79952b616b848eebe0c690,9c7c3ad41475ef6831adffffbdad1594a5b55f61e87e7d3315d360977a23eded,529cd33fdb0927fc88124e6993cac44ecd5a4b4a01a0b814e8602dfbd99d70cd,39694c8be8cef4624b3a4c11da2fcd60015031fe1df517ea5bc12ba2b62728a4,cec58257294ec1907e3a3f2d6379a53dba205308fb08dd36321ab08f9b56edd8,8bc398b85696aba056c612dc8bf263c77e68951fa03dd82d6543727f6f4315a6,801174a9512fcfcc14b49603d9fa43a7daf081c9203ee757498982fd22476948,0.9104210546274265,0.6082433704168337,0.14062091843038793
tcn,29,S_01__snr_0__noise_8128,S_01,0,8128,S_01,new,signed_control_mechanism/predictions/smoke/worker_tcn_0/seed_29/S_01__snr_0__noise_8128.npz,bf58aa7de01edbdadaf1ed28d76f499c1411cde1e73db7e622b577808b146f5a,S_01__snr_0__noise_8128,e95999147596689babf082839394d52f32c1e6b8b8204a588e76311861f895f9,bc6c0a48ba8083d7602f9bed32da1e33a128a64f5b15e3d9049afbd1ce462f00,9bd0540133d6fb65ab677f36eaec2dff8f0b6ff9a0de6b7e2dbbc30586b9b2a4,d982c17eef71728a0ec7ace66f66c459093faa60dea2213ef298c87eb473631a,89cb4ad26f237314d06a10a0b2263c1664dbf6d6ff6b4cf769926c35d82c1f09,79c497c403be63f17f085ca97eb931c814d5eb5110a1524e62f299f437b1ae68,e483faf3bfe164979b9ec07a62333a3ff2e327f1d73cc5ce931d425deeb90de7,791fbf0318d34ae78a0ec30037e1ddda0a253c2d224d63d3663aeb6d0daac956,9c7c3ad41475ef6831adffffbdad1594a5b55f61e87e7d3315d360977a23eded,529cd33fdb0927fc88124e6993cac44ecd5a4b4a01a0b814e8602dfbd99d70cd,39694c8be8cef4624b3a4c11da2fcd60015031fe1df517ea5bc12ba2b62728a4,cec58257294ec1907e3a3f2d6379a53dba205308fb08dd36321ab08f9b56edd8,8bc398b85696aba056c612dc8bf263c77e68951fa03dd82d6543727f6f4315a6,a2ad46e0f302c97b85618f22855e5c652c7b30537a53c27e530d9ed05320bfca,0.8987082054265703,0.4124674619923338,0.29398423510789873
tcn,43,S_01__snr_0__noise_8128,S_01,0,8128,S_01,new,signed_control_mechanism/predictions/smoke/worker_tcn_0/seed_43/S_01__snr_0__noise_8128.npz,149810844d381428ec1626b0aca3a284c843a96eb7ce557bda5fa2feea019a7a,S_01__snr_0__noise_8128,c7477dff0207ea4b9f85d3d8896a531d71c253bc3616e0bc8daa8bd7370add0b,bc6c0a48ba8083d7602f9bed32da1e33a128a64f5b15e3d9049afbd1ce462f00,9bd0540133d6fb65ab677f36eaec2dff8f0b6ff9a0de6b7e2dbbc30586b9b2a4,d982c17eef71728a0ec7ace66f66c459093faa60dea2213ef298c87eb473631a,89cb4ad26f237314d06a10a0b2263c1664dbf6d6ff6b4cf769926c35d82c1f09,79c497c403be63f17f085ca97eb931c814d5eb5110a1524e62f299f437b1ae68,e483faf3bfe164979b9ec07a62333a3ff2e327f1d73cc5ce931d425deeb90de7,e92dc663a5eb620b3a8d6af62b6da3cc0c45e5b900d15fd223e5b392f07c1f0b,9c7c3ad41475ef6831adffffbdad1594a5b55f61e87e7d3315d360977a23eded,529cd33fdb0927fc88124e6993cac44ecd5a4b4a01a0b814e8602dfbd99d70cd,39694c8be8cef4624b3a4c11da2fcd60015031fe1df517ea5bc12ba2b62728a4,cec58257294ec1907e3a3f2d6379a53dba205308fb08dd36321ab08f9b56edd8,8bc398b85696aba056c612dc8bf263c77e68951fa03dd82d6543727f6f4315a6,654aea3bd2d0431c24790323f22b36af540122fa058a3c1e674249adf781013a,0.9126903624332954,0.600944867556392,0.13373005640506744
tcn,17,S_02__snr_0__noise_8128,S_02,0,8128,S_02,new,signed_control_mechanism/predictions/smoke/worker_tcn_0/seed_17/S_02__snr_0__noise_8128.npz,1a66808757ccff77188a4a9110f69d0bab8a4bba81599ae8e7ce3b4cae0721b7,S_02__snr_0__noise_8128,6ab54c8261689377c6c10f99db394501b9049ed832793c6ff2ebd827b5d95eec,837ddca2c7424691c78f24a58ee80808c1f94a7f46f1360f72aa7c8ec63c2810,9bd0540133d6fb65ab677f36eaec2dff8f0b6ff9a0de6b7e2dbbc30586b9b2a4,d982c17eef71728a0ec7ace66f66c459093faa60dea2213ef298c87eb473631a,89cb4ad26f237314d06a10a0b2263c1664dbf6d6ff6b4cf769926c35d82c1f09,79c497c403be63f17f085ca97eb931c814d5eb5110a1524e62f299f437b1ae68,e483faf3bfe164979b9ec07a62333a3ff2e327f1d73cc5ce931d425deeb90de7,45f3681b1729b5e5f5c33afb1cf9f102055966aa1f79952b616b848eebe0c690,9c7c3ad41475ef6831adffffbdad1594a5b55f61e87e7d3315d360977a23eded,529cd33fdb0927fc88124e6993cac44ecd5a4b4a01a0b814e8602dfbd99d70cd,39694c8be8cef4624b3a4c11da2fcd60015031fe1df517ea5bc12ba2b62728a4,cec58257294ec1907e3a3f2d6379a53dba205308fb08dd36321ab08f9b56edd8,8bc398b85696aba056c612dc8bf263c77e68951fa03dd82d6543727f6f4315a6,d3a12472afee715ee3263bc63740a3b47fd3f0b67fea8e8c0f5086c482d9172e,0.9074078986776423,0.5965305089954459,0.1718483250774443
tcn,29,S_02__snr_0__noise_8128,S_02,0,8128,S_02,new,signed_control_mechanism/predictions/smoke/worker_tcn_0/seed_29/S_02__snr_0__noise_8128.npz,47b9f465deda156a69d43199122f4fa46f866e721edde8336a8d0ab145ace6c1,S_02__snr_0__noise_8128,e95999147596689babf082839394d52f32c1e6b8b8204a588e76311861f895f9,837ddca2c7424691c78f24a58ee80808c1f94a7f46f1360f72aa7c8ec63c2810,9bd0540133d6fb65ab677f36eaec2dff8f0b6ff9a0de6b7e2dbbc30586b9b2a4,d982c17eef71728a0ec7ace66f66c459093faa60dea2213ef298c87eb473631a,89cb4ad26f237314d06a10a0b2263c1664dbf6d6ff6b4cf769926c35d82c1f09,79c497c403be63f17f085ca97eb931c814d5eb5110a1524e62f299f437b1ae68,e483faf3bfe164979b9ec07a62333a3ff2e327f1d73cc5ce931d425deeb90de7,791fbf0318d34ae78a0ec30037e1ddda0a253c2d224d63d3663aeb6d0daac956,9c7c3ad41475ef6831adffffbdad1594a5b55f61e87e7d3315d360977a23eded,529cd33fdb0927fc88124e6993cac44ecd5a4b4a01a0b814e8602dfbd99d70cd,39694c8be8cef4624b3a4c11da2fcd60015031fe1df517ea5bc12ba2b62728a4,cec58257294ec1907e3a3f2d6379a53dba205308fb08dd36321ab08f9b56edd8,8bc398b85696aba056c612dc8bf263c77e68951fa03dd82d6543727f6f4315a6,58f9aadfb57b481525bcf125ae065ec3af0a711c2d5abebab371a665d8ab4df4,0.8992450711734168,0.4328437072165531,0.301647667273879
tcn,43,S_02__snr_0__noise_8128,S_02,0,8128,S_02,new,signed_control_mechanism/predictions/smoke/worker_tcn_0/seed_43/S_02__snr_0__noise_8128.npz,f03b41e42369845e46a115334e85bfd9cea80bf73881b04a78d6397218d521db,S_02__snr_0__noise_8128,c7477dff0207ea4b9f85d3d8896a531d71c253bc3616e0bc8daa8bd7370add0b,837ddca2c7424691c78f24a58ee80808c1f94a7f46f1360f72aa7c8ec63c2810,9bd0540133d6fb65ab677f36eaec2dff8f0b6ff9a0de6b7e2dbbc30586b9b2a4,d982c17eef71728a0ec7ace66f66c459093faa60dea2213ef298c87eb473631a,89cb4ad26f237314d06a10a0b2263c1664dbf6d6ff6b4cf769926c35d82c1f09,79c497c403be63f17f085ca97eb931c814d5eb5110a1524e62f299f437b1ae68,e483faf3bfe164979b9ec07a62333a3ff2e327f1d73cc5ce931d425deeb90de7,e92dc663a5eb620b3a8d6af62b6da3cc0c45e5b900d15fd223e5b392f07c1f0b,9c7c3ad41475ef6831adffffbdad1594a5b55f61e87e7d3315d360977a23eded,529cd33fdb0927fc88124e6993cac44ecd5a4b4a01a0b814e8602dfbd99d70cd,39694c8be8cef4624b3a4c11da2fcd60015031fe1df517ea5bc12ba2b62728a4,cec58257294ec1907e3a3f2d6379a53dba205308fb08dd36321ab08f9b56edd8,8bc398b85696aba056c612dc8bf263c77e68951fa03dd82d6543727f6f4315a6,992c51f84346955d2c00e99da0dcdab2b47c69d6f9c828a0cdcdb4fc57ac4703,0.907660995874048,0.5793848348810304,0.15429324968904262
tcn,17,S_03__snr_0__noise_8128,S_03,0,8128,S_03,new,signed_control_mechanism/predictions/smoke/worker_tcn_0/seed_17/S_03__snr_0__noise_8128.npz,71301931749dda381510420228251039aeee2dd9c36b79c20dfa1c3cc28f71d5,S_03__snr_0__noise_8128,6ab54c8261689377c6c10f99db394501b9049ed832793c6ff2ebd827b5d95eec,54bc154929e53856ccbd1c7d1f33ec77223ad40a8f96eb21a153a14e115c7139,9bd0540133d6fb65ab677f36eaec2dff8f0b6ff9a0de6b7e2dbbc30586b9b2a4,d982c17eef71728a0ec7ace66f66c459093faa60dea2213ef298c87eb473631a,89cb4ad26f237314d06a10a0b2263c1664dbf6d6ff6b4cf769926c35d82c1f09,79c497c403be63f17f085ca97eb931c814d5eb5110a1524e62f299f437b1ae68,e483faf3bfe164979b9ec07a62333a3ff2e327f1d73cc5ce931d425deeb90de7,45f3681b1729b5e5f5c33afb1cf9f102055966aa1f79952b616b848eebe0c690,9c7c3ad41475ef6831adffffbdad1594a5b55f61e87e7d3315d360977a23eded,529cd33fdb0927fc88124e6993cac44ecd5a4b4a01a0b814e8602dfbd99d70cd,39694c8be8cef4624b3a4c11da2fcd60015031fe1df517ea5bc12ba2b62728a4,cec58257294ec1907e3a3f2d6379a53dba205308fb08dd36321ab08f9b56edd8,8bc398b85696aba056c612dc8bf263c77e68951fa03dd82d6543727f6f4315a6,d10f84d6dd68c65bc3cb8de670630327c5e819971017834ba316dcaf86b565c5,0.908727901934639,0.6623537762739293,0.13228187004476782
