object,snr,noise_seed,mode,n_valid,n_null,mean,sd,median,q1,q3,iqr,min,max
clean,,,,100,0,1.2188700761083082e-06,7.226765628677606e-07,1.175946066607108e-06,7.776088058911654e-07,1.4546931731261286e-06,6.770843672349632e-07,6.139160142639693e-08,4.02696829319e-06
E_noise,0,8128,,100,0,6.059671705764475e-16,6.056805845124688e-17,5.968609349045989e-16,5.683864090820669e-16,6.449354929530416e-16,7.654908387097478e-17,4.524859606422407e-16,8.352607225020884e-16
E_input,0,8128,,100,0,6.106319640552127e-07,3.617656874655318e-07,5.787595237809173e-07,3.869730875387236e-07,7.270949715873732e-07,3.4012188404864956e-07,3.094588445172848e-08,2.03202727572714e-06
I_noise,0,8128,,100,0,0.3742375376147835,0.0077838719768797485,0.3754429288448784,0.3684132110541328,0.37972760036871633,0.011314389314583506,0.35518359546957984,0.3908207979055761
I_input,0,8128,,100,0,0.1872675540614689,0.004151105723181343,0.18737700229149762,0.18416244255883835,0.1900310786547634,0.005868636095925056,0.17707831630235715,0.19508603273055472
S_noise,0,8128,S_00,100,0,0.4527903655976381,0.007535438374102734,0.4526144286113664,0.44848824459163406,0.45870194255259095,0.010213697960956891,0.4317034117920007,0.4709011171503757
S_input,0,8128,S_00,100,0,0.22624275083416698,0.004257413300384447,0.22610958036663314,0.2236519107063761,0.22949168122484792,0.005839770518471815,0.2144499352128124,0.23520715490722932
S_noise,0,8128,S_01,100,0,0.3139155246535891,0.008738081696199246,0.314009966959515,0.3083741011787067,0.3191788810669122,0.010804779888205496,0.2937491826594633,0.34166498083003316
S_input,0,8128,S_01,100,0,0.1571095077670535,0.0046081296705768,0.15680450428720766,0.15427556189017083,0.15984359063783352,0.005568028747662684,0.1458304108530997,0.1702844833074318
S_noise,0,8128,S_02,100,0,0.23215272399640802,0.008856471578581694,0.23161388664867905,0.2273133224315825,0.23785893529590135,0.010545612864318848,0.21076762312079209,0.25431409152740975
S_input,0,8128,S_02,100,0,0.11613277543925044,0.00482369556729627,0.1159260282895445,0.11338912335817211,0.11915721957887693,0.005768096220704816,0.10644596801850062,0.12929039005259715
S_noise,0,8128,S_03,100,0,0.5562966453324346,0.00885923616266665,0.5571223906421872,0.5503756014169385,0.5630784036506952,0.012702802233756638,0.5360887580667828,0.5772565894273171
S_input,0,8128,S_03,100,0,0.278273532919719,0.004882995507345337,0.2779361167526415,0.2751871472994798,0.2823972592501652,0.007210111950685383,0.2668539446993063,0.29083913087123403
S_noise,0,8128,S_04,100,0,0.499580419870687,0.007821916968433769,0.5003721258873495,0.49402454243527505,0.5053631541035531,0.011338611668278098,0.48276113583635083,0.518998646709196
S_input,0,8128,S_04,100,0,0.24987290289933634,0.0042666907751256495,0.25034864092194986,0.24690950642689807,0.25260430707446146,0.005694800647563392,0.23717334887701932,0.25905443720599397
E_noise,0,101,,100,0,6.095087510615582e-16,6.347318743174443e-17,6.063950589149574e-16,5.712786694175603e-16,6.421624112295487e-16,7.088374181198845e-17,4.737292941850703e-16,8.610254612743039e-16
E_input,0,101,,100,0,6.096767140672994e-07,3.6306246179734685e-07,5.866362733710138e-07,3.8720708324627175e-07,7.243815364747647e-07,3.371744532284929e-07,3.103781903697823e-08,2.0555865658117288e-06
I_noise,0,101,,100,0,0.3744265367885232,0.008731497590809979,0.37509844948507576,0.36840371269032746,0.3793671608631205,0.010963448172793044,0.3554823158063648,0.40078410086079025
I_input,0,101,,100,0,0.18770742363114287,0.004684556942572969,0.18777896746036593,0.18475031074577303,0.190537512747585,0.0057872020018119585,0.17671705793207823,0.2013925651983815
S_noise,0,101,S_00,100,0,0.45361607753934224,0.009649291058133209,0.45296906375056145,0.4487064357464209,0.45882976323957303,0.010123327493152146,0.43358821512163065,0.4831615974717542
S_input,0,101,S_00,100,0,0.22700497076719495,0.005340143578561872,0.2268181454856743,0.22408049669492147,0.22991986973882994,0.005839373043908469,0.21522657590336208,0.24462978227043064
S_noise,0,101,S_01,100,0,0.31310971841010776,0.010695301093199177,0.3119500844499573,0.3059127956939649,0.31887608022477676,0.012963284530811858,0.2928241275056602,0.341162241708959
S_input,0,101,S_01,100,0,0.1564980871246888,0.005392519832838037,0.15618149381962626,0.1529136526041462,0.1598683348326599,0.006954682228513698,0.14546158361597325,0.17262383432665016
S_noise,0,101,S_02,100,0,0.2304910577954771,0.009874084089512014,0.23085027317691792,0.22374618075982966,0.2358239486999021,0.012077767940072426,0.21026171267191632,0.25711746846136796
S_input,0,101,S_02,100,0,0.1153435940990193,0.004982084260857679,0.11521553975681309,0.1117961659244161,0.11765685792111819,0.005860691996702083,0.10484694951701487,0.12809598193923982
S_noise,0,101,S_03,100,0,0.5564446918897429,0.010050432361009776,0.5557146028195853,0.5502148649067968,0.5624393443846205,0.01222447947782368,0.5342531159619911,0.5864622543860509
S_input,0,101,S_03,100,0,0.2783771416221095,0.0053550293909893935,0.27805755602951265,0.2746619381434131,0.28161593656396267,0.006953998420549556,0.2655798215523651,0.29266228442371145
S_noise,0,101,S_04,100,0,0.4999814646719727,0.00902863221623346,0.49872513375812755,0.4946926744906064,0.5058840701739844,0.011191395683378014,0.4798608406543883,0.5267720860716485
S_input,0,101,S_04,100,0,0.24999896694955442,0.0049003456713159945,0.2498050335957666,0.24685905473288533,0.2529269616377767,0.006067906904891396,0.23926716149810254,0.26553059824778613
E_noise,0,202,,100,0,6.090692722493064e-16,6.685951720219558e-17,6.056464075359428e-16,5.595522044323704e-16,6.463537346817352e-16,8.680153024936482e-17,4.918351666467268e-16,8.81503629232531e-16
E_input,0,202,,100,0,6.109415679605991e-07,3.651183095258784e-07,5.839525807756024e-07,3.821343770302252e-07,7.259460486816355e-07,3.4381167165141035e-07,3.159221922215028e-08,2.0796430036108876e-06
I_noise,0,202,,100,0,0.37319065843438187,0.009772988806451449,0.3721873735873367,0.36651080804054104,0.3795688264706458,0.01305801843010479,0.3509192024515307,0.39780466085274396
I_input,0,202,,100,0,0.18663962529406475,0.005560092050706254,0.18647922418151702,0.18285330318457077,0.19128210904935333,0.008428805864782563,0.17305894829127683,0.2009608425096707
S_noise,0,202,S_00,100,0,0.4515268558547313,0.010335661653400528,0.4522029435060524,0.4439926258051874,0.45866985983511815,0.014677234029930764,0.42885517432730114,0.47820891009998656
S_input,0,202,S_00,100,0,0.2258748935924771,0.005102344596317256,0.22632404747116147,0.22260114914924467,0.22907048003104458,0.006469330881799906,0.21105609035528072,0.24093242164515793
S_noise,0,202,S_01,100,0,0.3132780912046218,0.010705652624293965,0.3120112930879584,0.30690991461608563,0.3205895867013396,0.013679672085253947,0.28614914202829317,0.34322285216940285
S_input,0,202,S_01,100,0,0.15659473346402922,0.005380869391159611,0.15612237155747896,0.15289873398958886,0.15998856842048179,0.007089834430892922,0.1443861284867933,0.1717844133536862
S_noise,0,202,S_02,100,0,0.23107058327562066,0.008916739139364952,0.2304076966636791,0.2255132007705306,0.23655057358242898,0.011037372811898372,0.2087047067782515,0.256761024371321
S_input,0,202,S_02,100,0,0.11559895608820613,0.004611455930936164,0.11497021373539876,0.1125403101996189,0.11871208906285767,0.006171778863238775,0.1046435141183504,0.12999688629203118
S_noise,0,202,S_03,100,0,0.5540533034259475,0.011436307728185846,0.554652139533415,0.5463666878552946,0.5624043314261006,0.01603764357080595,0.5296836731878213,0.5796436091862438
S_input,0,202,S_03,100,0,0.2769560089621368,0.006480053159025829,0.27710060034750617,0.27265282374552824,0.2814504361912995,0.008797612445771263,0.26383934899594796,0.29074890887491217
S_noise,0,202,S_04,100,0,0.4975884978227432,0.010287226077354753,0.4987072383905532,0.4907644715592725,0.5045488155370699,0.013784343977797375,0.47588206427539187,0.5208186850350522
S_input,0,202,S_04,100,0,0.2489129112794442,0.005870942740299611,0.24900970087786756,0.24495962612382607,0.2528058440011203,0.007846217877294198,0.23440390261877442,0.25997694376713915
E_noise,0,303,,100,0,6.115358934266711e-16,6.185300555850725e-17,6.026529858383688e-16,5.722558513599824e-16,6.502252676798696e-16,7.796941631988723e-17,4.583461611161843e-16,8.498864954607877e-16
E_input,0,303,,100,0,6.091186737186622e-07,3.6240045501381974e-07,5.869321473987754e-07,3.8270033476768274e-07,7.19898931284323e-07,3.371985965166403e-07,3.054793323594694e-08,2.0074409792599097e-06
I_noise,0,303,,100,0,0.37368649797570574,0.008316736257589174,0.3733776718494305,0.369135232987924,0.37832763100988936,0.009192398021965364,0.3486161573180701,0.39784006587306353
I_input,0,303,,100,0,0.18669400776986456,0.004717952731617145,0.18621278321805523,0.18434157621519265,0.18965165930840527,0.005310083093212625,0.17582791502949893,0.19819209071001834
S_noise,0,303,S_00,100,0,0.45211653832504395,0.009013357944685203,0.4528098704194329,0.44624735155211126,0.45775345171658793,0.011506100164476674,0.42263734107090245,0.4733838064149553
S_input,0,303,S_00,100,0,0.22600798755286275,0.0048782740396976255,0.2259419653053208,0.22242508032211666,0.2294746812359402,0.007049600913823534,0.21074768643657754,0.23772266133543402
S_noise,0,303,S_01,100,0,0.31472153941967834,0.0114336074314742,0.31410686282624867,0.30622352200328423,0.3234238251922886,0.017200303189004396,0.28631950269057505,0.3449556879134451
S_input,0,303,S_01,100,0,0.15739942507672566,0.0060116699450267095,0.1570866503785952,0.15347367124659347,0.16157093624139043,0.00809726499479696,0.14141613713201553,0.17432628704159028
S_noise,0,303,S_02,100,0,0.2329587103911606,0.010925434542702167,0.23165493469987503,0.22516791783528164,0.23999683373420258,0.014828915898920936,0.21117604839900803,0.2622347627449602
S_input,0,303,S_02,100,0,0.11654485191923618,0.005679258364196263,0.11636680491708919,0.11265516145930808,0.12019372262742582,0.007538561168117741,0.10303778606790372,0.13108221845004364
S_noise,0,303,S_03,100,0,0.5554499881061781,0.011036806512258374,0.555112090806763,0.5485229872524383,0.563697166424276,0.01517417917183772,0.5202230051646839,0.5801466681514659
S_input,0,303,S_03,100,0,0.2778488726283339,0.005863518114209476,0.2778019873742582,0.2741935458906579,0.28241297776722285,0.008219431876564931,0.25989673466045426,0.2906107062701408
S_noise,0,303,S_04,100,0,0.49863974467328537,0.009578582113320806,0.49861321925304597,0.49281425704583165,0.505905071792459,0.013090814746627377,0.4680605944650282,0.5178676797861148
S_input,0,303,S_04,100,0,0.24921483556732427,0.004982192084475676,0.24955060896470083,0.24617942172504592,0.25266594484325966,0.006486523118213738,0.23544367996878188,0.2589491936698402
E_noise,0,404,,100,0,6.146858413235893e-16,6.413067405727351e-17,6.077553378505743e-16,5.737811642149874e-16,6.575578227755169e-16,8.377665856052958e-17,4.627893466790326e-16,8.877569554972585e-16
E_input,0,404,,100,0,6.099983700399831e-07,3.641001481294076e-07,5.857823547954068e-07,3.8704300418709486e-07,7.281392495961966e-07,3.410962454091017e-07,3.060195844336023e-08,2.004789698203146e-06
I_noise,0,404,,100,0,0.37460292625182506,0.008874770889267775,0.37405763939589715,0.36869981015516845,0.3801803770871074,0.01148056693193894,0.35221400174873696,0.39869884266825323
I_input,0,404,,100,0,0.18729421814788538,0.004882094921387702,0.18717737027080875,0.18441439792697673,0.19037521172315464,0.005960813796177911,0.17385831806305785,0.19876396273981856
S_noise,0,404,S_00,100,0,0.453286201688659,0.00898815035340038,0.45449132272826726,0.4469135913534294,0.4597380214107952,0.012824430057365777,0.43001490873175935,0.473271266201875
S_input,0,404,S_00,100,0,0.22686873944780073,0.004632329560991575,0.22671374044373824,0.22399836153032154,0.23000230219507037,0.006003940664748825,0.21630312047149072,0.23750888492233108
S_noise,0,404,S_01,100,0,0.31533553273343984,0.009502974459857382,0.31418817611471506,0.30951949001794093,0.3224864621729703,0.012966972155029344,0.2875067315498466,0.3345725838823616
S_input,0,404,S_01,100,0,0.1579752332847684,0.00488693170402513,0.1574444542647351,0.15550666630173993,0.16112892675901333,0.005622260457273404,0.14320841282422342,0.168108196644169
S_noise,0,404,S_02,100,0,0.23300169430067044,0.008567968867688019,0.23305044787008605,0.22626903171249518,0.23875493488557348,0.012485903173078294,0.20876964018471317,0.24988244160432405
S_input,0,404,S_02,100,0,0.11637888497091943,0.00465034668808416,0.11638799609996689,0.11304640703494687,0.11948645909071444,0.006440052055767573,0.10469374315968866,0.12564016130791206
S_noise,0,404,S_03,100,0,0.5564895268104524,0.01028284642966435,0.5577432983234902,0.5483129791644518,0.5637928594519567,0.01547988028750491,0.532987957374893,0.5789986460030097
S_input,0,404,S_03,100,0,0.27811699391138306,0.005816335029950558,0.2785016158799437,0.274648424782124,0.2827356448475644,0.008087220065440437,0.2655654499910714,0.29038773699449655
S_noise,0,404,S_04,100,0,0.4996340956405656,0.009268598330798737,0.5007769421123502,0.49283142006800534,0.5063440206934515,0.01351260062544618,0.47632262914655915,0.5195700089840448
S_input,0,404,S_04,100,0,0.2493154574556056,0.005178819881687739,0.24946297470157666,0.2458135526205649,0.2525830236777733,0.006769471057208404,0.23503868096303399,0.25993786615215636
E_noise,0,505,,100,0,6.111858846811969e-16,6.411943039704926e-17,6.077213099441159e-16,5.615480088373628e-16,6.491499715094022e-16,8.760196267203945e-17,4.887942791994683e-16,8.796395154149171e-16
E_input,0,505,,100,0,6.093220655430471e-07,3.610410857391052e-07,5.829360780895606e-07,3.896660269345016e-07,7.299148467104966e-07,3.40248819775995e-07,3.060912016543595e-08,2.0178424121038688e-06
I_noise,0,505,,100,0,0.37371617265297347,0.008567587409558227,0.37346930581672044,0.36785154382776664,0.3797302427565939,0.011878698928827258,0.35317049430570957,0.3951259320148669
I_input,0,505,,100,0,0.18697654238909978,0.00444268913431424,0.18657831390072005,0.18418914439181644,0.1901605355570449,0.005971391165228462,0.17615532456821253,0.1965746598433119
S_noise,0,505,S_00,100,0,0.45278323441623103,0.009594688497197587,0.4523207640284568,0.44654734135368257,0.45910967147950266,0.012562330125820087,0.43350204838476375,0.47727017953587153
S_input,0,505,S_00,100,0,0.2265802805949163,0.005196407919260718,0.22667844767097306,0.22276664506326432,0.23005182813493624,0.007285183071671919,0.21538675076355893,0.2374404827193034
